Angle;Time_Minutes;Counts_34f
1;70.6288;2
2;109.504;6
3;125.993;9
4;126.692;3
5;125.489;6
6;125.799;9
7;126.381;7
8;125.77;11
9;125.13;13
10;127.054;12
11;125.19;8
12;126.592;4
13;125.32;12
14;125.893;8
15;126.765;8
16;125.241;5
17;126.757;8
18;125.437;6
19;126.728;5
20;124.191;3
21;122.857;9
22;123.175;8
23;121.983;13
24;123.126;11
25;123.288;3
26;123.854;5
27;122.954;4
28;122.197;4
29;122.718;6
30;123.981;11
31;122.566;7
32;122.379;4
33;123.56;9
34;122.055;12
35;123.95;7
36;122.792;4
37;123.354;7
38;122.276;7
39;124.015;6
40;123.011;12
41;121.834;8
42;123.584;11
43;124.008;8
44;122.596;4
45;122.35;11
46;123.173;8
47;124.128;8
48;121.984;9
49;123.228;7
50;122.871;9
51;122.346;5
52;123.572;4
53;124.008;5
54;121.581;13
55;122.88;9
56;123.718;4
57;122.725;6
58;122.986;4
59;123.836;6
60;122.243;4
61;122.217;8
62;124.121;8
63;122.754;7
64;122.848;8
65;122.785;7
66;122.711;6
67;123.671;9
68;121.942;5
69;123.486;3
70;123.517;4
71;122.833;8
72;122.975;7
73;123.324;0
74;123.002;7
75;122.751;10
76;123.037;11
77;122.499;9
78;123.488;9
79;123.265;11
80;122.484;11
81;122.071;11
82;120.995;8
83;119.225;6
84;119.657;7
85;121.421;4
86;119.033;9
87;119.835;9
88;119.993;10
89;121.283;5
90;118.896;8
91;119.332;3
92;120.825;1
93;120.161;4
94;119.302;5
95;120.639;8
96;119.997;6
97;119.369;8
98;119.994;12
99;120.001;12
100;120.964;3
101;118.986;6
102;119.769;4
103;120.294;4
104;119.515;5
105;120.908;3
106;119.835;8
107;120.361;9
108;120.553;3
109;119.51;6
110;119.365;6
111;120.561;8
112;119.653;7
113;119.816;10
114;120.297;8
115;119.326;4
116;120.441;8
117;120.618;5
118;119.368;6
119;120.166;4
120;119.774;4
121;119.932;14
122;118.546;13
123;116.374;7
124;117.52;5
125;117.076;15
126;115.95;9
127;118.274;8
128;116.368;6
129;116.972;7
130;117.372;9
131;116.526;10
132;117.261;6
133;118.207;5
134;116.604;6
135;116.558;9
136;113.113;10
137;114.297;9
138;113.84;10
139;114.988;10
140;113.59;7
141;115.101;7
142;117.55;6
143;117.002;11
144;117.359;12
145;116.42;6
146;117.504;6
147;117.536;5
148;116.402;10
149;116.696;11
150;116.832;8
151;117.189;13
152;117.413;11
153;117.145;11
154;117.267;8
155;116.536;10
156;116.469;14
157;117.85;4
158;116.681;3
159;117.254;8
160;116.178;8
161;116.985;11
162;117.198;9
163;117.047;4
164;117.601;9
165;116.42;7
166;116.867;4
167;117.058;6
168;117.395;3
169;117.239;7
170;116.757;4
171;117.259;8
172;117.053;7
173;116.475;8
174;118.969;7
175;120.091;5
176;119.885;12
177;120.587;6
178;119.347;7
179;104.089;4
180;64.8987;4
