Angle;Time_Minutes;Counts
0;20.5178;0
1;294.4076;12
2;451.3633;28
3;515.6330;29
4;518.0582;16
5;513.5842;24
6;516.7088;33
7;515.8993;28
8;515.9575;41
9;513.7563;33
10;518.4360;31
11;515.0542;26
12;516.7332;23
13;513.3065;38
14;517.8070;36
15;516.7998;38
16;514.9044;37
17;516.3960;30
18;515.5481;31
19;517.7161;25
20;513.3804;31
21;510.2012;28
22;510.1513;27
23;508.6118;46
24;511.2461;28
25;509.8017;31
26;510.4707;31
27;509.7142;24
28;508.7494;23
29;509.8685;31
30;511.5288;42
31;507.6480;27
32;512.2160;22
33;512.6276;36
34;513.2439;39
35;514.7087;28
36;509.9333;32
37;514.9009;28
38;513.3500;24
39;512.5381;27
40;514.2693;41
41;509.7057;30
42;515.4676;46
43;513.4552;41
44;513.5390;29
45;512.2350;45
46;512.7020;32
47;515.4680;44
48;510.5190;36
49;514.5321;31
50;511.2335;39
51;512.8293;26
52;514.2466;30
53;513.1212;24
54;512.3177;42
55;511.8656;31
56;515.0376;22
57;512.0135;30
58;513.1278;30
59;514.3363;37
60;510.9487;22
61;512.0663;34
62;514.3837;30
63;514.2503;28
64;511.4870;43
65;513.2810;27
66;511.8096;31
67;515.1210;32
68;512.3346;26
69;511.5569;23
70;513.8064;34
71;513.9636;42
72;513.0795;27
73;512.7971;19
74;512.2037;28
75;513.4076;29
76;512.7795;35
77;512.6373;29
78;513.1053;41
79;514.3203;44
80;511.8078;37
81;511.1173;42
82;508.8867;38
83;504.7182;28
84;506.3990;35
85;509.1602;22
86;505.5269;40
87;507.2747;26
88;507.0222;30
89;509.0914;23
90;503.7306;32
91;509.0394;29
92;508.4437;23
93;505.8835;28
94;505.5159;25
95;508.3802;31
96;507.1582;24
97;506.4306;42
98;505.2531;46
99;507.1307;44
100;508.4511;20
101;506.9014;25
102;505.2195;19
103;506.9639;22
104;507.3888;31
105;508.1551;24
106;507.2131;39
107;508.9000;28
108;506.9360;27
109;507.8342;27
110;504.7003;33
111;507.0302;34
112;506.8282;28
113;506.6636;35
114;507.1977;35
115;505.1892;31
116;508.9972;35
117;506.7189;21
118;508.0904;29
119;505.7680;27
120;506.3086;33
121;501.9144;42
122;500.1191;47
123;494.9853;37
124;493.7474;30
125;495.7681;46
126;492.7317;43
127;497.9403;30
128;497.2138;22
129;497.8059;22
130;499.7376;38
131;496.0269;37
132;499.7324;30
133;501.4275;29
134;499.9465;30
135;501.4070;37
136;497.1642;37
137;497.9114;39
138;497.4805;46
139;499.5815;27
140;498.2221;36
141;499.6929;30
142;506.2542;37
143;503.8929;46
144;504.2384;36
145;502.9672;30
146;505.1043;32
147;503.9642;37
148;502.6274;36
149;503.9234;42
150;503.7701;30
151;504.9216;39
152;504.5386;45
153;504.1660;35
154;503.6481;30
155;505.7859;38
156;500.8821;37
157;505.1604;24
158;503.7742;23
159;505.0462;41
160;501.6929;38
161;504.0019;44
162;504.5514;37
163;504.9898;34
164;503.4625;40
165;504.0281;28
166;503.3776;28
167;504.5331;29
168;504.6407;24
169;502.6351;31
170;506.0212;24
171;503.0322;42
172;506.6040;33
173;500.3995;29
174;508.5853;25
175;510.1216;22
176;506.0303;40
177;508.7074;26
178;505.3093;26
179;442.8929;25
180;279.5186;18
