Angle;Time_Minutes;Counts
0;17.6350;0
1;303.3054;13
2;471.8135;30
3;539.0608;30
4;541.9805;17
5;537.8830;26
6;540.7964;32
7;539.6020;29
8;540.0992;42
9;537.9461;34
10;542.3669;32
11;539.3036;26
12;540.7606;25
13;536.7192;39
14;541.8106;37
15;541.0693;44
16;538.5530;43
17;540.8171;31
18;539.3866;33
19;541.7576;27
20;537.5213;30
21;534.4505;32
22;533.5327;27
23;532.6206;46
24;535.5573;30
25;533.8154;32
26;534.4020;35
27;533.9865;26
28;532.8225;24
29;533.6009;32
30;535.1931;44
31;532.3702;30
32;535.4100;26
33;537.2648;37
34;536.5395;41
35;538.8199;29
36;534.3469;34
37;538.6273;29
38;537.2859;27
39;536.7810;28
40;538.5650;42
41;533.5466;32
42;539.3588;50
43;537.6490;39
44;537.3802;33
45;536.4423;50
46;536.2264;34
47;539.7306;50
48;534.5770;36
49;537.9435;34
50;535.6385;39
51;537.0243;29
52;538.0666;29
53;537.0463;28
54;536.4488;43
55;535.8873;33
56;538.7168;22
57;536.2745;34
58;537.2471;32
59;537.9870;37
60;535.2723;25
61;536.1750;35
62;538.3070;33
63;538.2633;32
64;535.5370;46
65;536.8037;30
66;535.8691;31
67;539.0931;35
68;536.5645;25
69;535.5080;23
70;538.4649;37
71;537.2606;46
72;537.0633;32
73;536.8702;23
74;536.4406;32
75;537.1939;32
76;536.5251;37
77;536.6808;34
78;537.6084;41
79;537.5816;46
80;536.3793;39
81;535.0989;39
82;532.9735;38
83;528.9632;28
84;529.4388;39
85;534.0487;26
86;529.4050;41
87;531.3779;29
88;530.8181;34
89;533.1909;24
90;527.8578;32
91;533.2860;32
92;531.6276;24
93;530.0940;29
94;529.3827;25
95;532.3631;33
96;531.0529;26
97;531.1108;42
98;528.7372;48
99;530.8832;44
100;532.6081;25
101;531.5817;26
102;529.1796;23
103;530.4513;22
104;531.3908;31
105;532.3927;24
106;530.9026;40
107;533.2247;29
108;530.6935;27
109;531.3671;27
110;529.6431;35
111;530.5845;35
112;531.4184;30
113;529.9529;36
114;531.5723;36
115;528.7810;36
116;533.3930;36
117;530.5492;25
118;532.2902;33
119;529.4941;27
120;530.2934;34
121;525.7142;47
122;527.4937;56
123;521.7335;38
124;520.5088;28
125;522.9358;50
126;520.0445;42
127;525.1290;30
128;523.4620;23
129;525.7928;27
130;526.3858;42
131;522.7324;45
132;526.6747;32
133;528.3565;30
134;526.8058;32
135;528.5465;37
136;523.8459;38
137;525.2597;40
138;525.2223;48
139;525.3329;30
140;525.6546;38
141;526.7123;28
142;533.0771;37
143;530.7880;49
144;531.3154;38
145;530.0342;35
146;531.8372;34
147;531.3820;38
148;529.4607;42
149;530.8984;44
150;530.8181;32
151;531.7006;41
152;531.6053;45
153;531.1187;37
154;530.9116;29
155;533.0765;40
156;527.6375;40
157;532.1306;26
158;530.4989;24
159;532.0467;44
160;529.0823;43
161;530.9937;47
162;531.5095;37
163;531.8980;37
164;530.7628;47
165;531.1045;28
166;530.3803;29
167;531.1288;31
168;531.6595;26
169;529.9360;35
170;532.2847;25
171;530.5476;43
172;533.6278;35
173;527.1142;35
174;535.7356;25
175;537.3118;25
176;532.8603;40
177;535.7988;28
178;532.5405;27
179;465.4095;28
180;291.9426;18
