Angle;Time_Minutes;Counts
0;2.9317;0
1;226.8181;6
2;344.6807;10
3;417.2039;13
4;413.1112;10
5;415.5283;12
6;413.8326;11
7;413.5879;8
8;417.2788;9
9;415.7367;16
10;415.4184;15
11;416.7371;12
12;416.9063;8
13;415.7612;12
14;418.2125;12
15;416.8067;8
16;416.3377;20
17;416.4802;7
18;415.1004;9
19;409.6916;14
20;417.2932;8
21;415.7317;15
22;412.6338;15
23;415.5130;11
24;413.6719;8
25;413.4007;6
26;414.0825;9
27;414.1104;19
28;414.5568;11
29;413.2587;11
30;414.9105;11
31;412.9918;10
32;413.8876;7
33;415.1924;3
34;412.7413;14
35;414.6589;8
36;410.7218;19
37;418.2883;15
38;411.9808;16
39;413.7569;8
40;413.9421;6
41;415.6491;5
42;415.0103;7
43;413.7726;11
44;412.6027;10
45;412.7478;14
46;413.9615;9
47;415.2287;10
48;410.6295;16
49;415.0049;11
50;416.0372;11
51;414.6462;11
52;415.0342;5
53;412.5707;11
54;416.4112;9
55;411.8800;13
56;412.2450;12
57;415.7408;12
58;414.1597;14
59;413.7422;14
60;414.7579;15
61;412.7674;17
62;413.7541;10
63;415.2725;10
64;414.7108;17
65;413.3246;6
66;414.5317;11
67;411.4694;10
68;416.9610;15
69;411.1794;15
70;416.3018;15
71;411.3216;9
72;415.4741;14
73;413.5009;17
74;414.7103;13
75;411.8538;9
76;416.3543;7
77;410.3765;9
78;416.3886;9
79;415.3551;12
80;410.4079;12
81;419.3635;17
82;411.5194;9
83;413.0706;11
84;414.2635;13
85;414.4605;13
86;411.8531;10
87;417.4661;13
88;412.5881;12
89;413.9194;16
90;414.9160;13
91;414.1085;10
92;410.9609;15
93;413.7665;10
94;415.5894;14
95;413.5841;15
96;416.4395;11
97;413.4205;9
98;407.6356;8
99;419.8459;8
100;414.6723;8
101;412.3042;8
102;414.6769;10
103;414.1906;16
104;413.5915;10
105;410.6292;8
106;417.8467;8
107;412.4378;21
108;415.0725;14
109;415.1899;7
110;414.5910;14
111;414.4604;5
112;410.4812;10
113;415.6940;8
114;414.4681;15
115;414.7322;7
116;414.9020;6
117;411.5977;7
118;414.5169;12
119;418.6844;9
120;418.5280;15
121;416.5035;13
122;414.4642;18
123;416.8928;9
124;414.8299;7
125;411.2001;9
126;415.1670;14
127;411.6938;11
128;415.0545;11
129;414.4856;12
130;413.0326;12
131;416.3347;12
132;415.8933;10
133;411.1327;13
134;413.5079;14
135;413.9199;14
136;412.9585;8
137;415.4113;11
138;414.9892;9
139;414.0719;9
140;413.3980;7
141;413.1835;11
142;414.3527;7
143;413.1400;10
144;413.1807;13
145;418.2973;9
146;412.0891;11
147;414.6828;22
148;413.0460;14
149;413.1046;10
150;415.2187;8
151;412.6824;12
152;414.5178;13
153;414.5610;16
154;415.7658;10
155;413.1016;13
156;408.9350;10
157;414.2698;13
158;407.6856;11
159;411.7468;11
160;409.7757;14
161;412.4377;7
162;411.1108;14
163;412.1525;14
164;409.7770;10
165;412.4951;8
166;410.1237;14
167;412.3497;10
168;412.0993;21
169;405.3595;10
170;412.8654;13
171;412.8454;11
172;409.4094;14
173;410.7763;9
174;413.5970;12
175;411.1952;12
176;410.4930;10
177;412.3446;9
178;406.0885;8
179;346.4859;7
180;214.3929;8
