Angle;Time_Minutes;Counts_34f
0;0;0
1;18.2234;1
2;31.4665;2
3;35.4358;1
4;36.0725;1
5;36.083;2
6;36.2314;0
7;35.715;2
8;35.7422;2
9;36.3791;2
10;36.0639;1
11;36.2686;1
12;35.5656;2
13;35.6762;1
14;36.1996;1
15;36.2673;6
16;35.834;6
17;36.1851;1
18;36.0216;3
19;35.9856;2
20;36.2123;1
21;35.8555;6
22;35.7117;0
23;35.8826;1
24;36.4803;3
25;35.9274;1
26;35.88;4
27;36.0465;2
28;36.2235;2
29;35.7109;2
30;35.7411;2
31;36.2292;4
32;35.843;4
33;36.4928;3
34;35.4995;3
35;36.0899;1
36;36.1849;2
37;35.8923;2
38;36.0849;3
39;35.906;1
40;36.162;1
41;35.9926;4
42;35.7838;4
43;36.011;1
44;36.3242;4
45;35.9103;5
46;35.6604;2
47;36.3466;6
48;35.639;1
49;35.7345;3
50;36.4455;1
51;36.1363;3
52;35.9066;1
53;35.8693;4
54;36.3788;3
55;35.8363;3
56;35.6048;2
57;36.3695;4
58;36.0801;2
59;35.685;2
60;36.3913;3
61;35.893;2
62;35.8;3
63;36.2503;5
64;35.824;4
65;35.8717;3
66;35.9801;1
67;36.1381;4
68;35.9135;0
69;36.232;0
70;36.2759;3
71;35.4126;5
72;36.3053;5
73;35.7842;4
74;36.2616;4
75;35.7659;3
76;35.9901;2
77;35.8878;5
78;36.3754;0
79;35.2456;3
80;36.5363;3
81;36.2139;1
82;35.9475;1
83;36.2522;1
84;35.1588;5
85;36.6617;4
86;35.975;2
87;36.0649;3
88;35.8531;4
89;36.0389;1
90;36.1258;0
91;36.151;3
92;35.4566;2
93;36.096;2
94;35.8337;4
95;36.1891;2
96;36.0139;2
97;36.4188;2
98;35.4982;2
99;35.8292;1
100;36.0881;5
101;36.5407;1
102;36.0986;5
103;35.4843;1
104;35.9738;2
105;36.0877;0
106;35.8316;1
107;36.3957;3
108;35.5395;1
109;36.0541;1
110;36.5051;3
111;35.4905;1
112;36.4854;2
113;35.5309;1
114;36.3583;1
115;35.729;5
116;36.346;3
117;35.7472;4
118;36.4712;4
119;35.5601;1
120;35.8134;1
121;35.8782;5
122;36.4077;9
123;35.7875;1
124;35.8588;0
125;36.1658;4
126;36.1875;1
127;36.116;0
128;35.144;1
129;37.1828;5
130;35.6128;5
131;35.8024;8
132;36.1547;3
133;35.7575;1
134;36.1678;3
135;36.0705;0
136;35.7979;2
137;36.1977;2
138;36.4383;2
139;35.0229;3
140;36.3666;3
141;36.1063;0
142;35.8261;0
143;36.031;3
144;35.9144;2
145;36.1062;5
146;35.6182;3
147;36.575;2
148;35.8497;6
149;36.0144;2
150;35.9941;3
151;35.7136;2
152;36.2483;0
153;35.9017;2
154;36.1766;1
155;36.2575;2
156;35.7695;4
157;35.8526;2
158;35.9249;1
159;35.9667;4
160;36.2583;5
161;35.9757;4
162;36.0245;0
163;35.927;4
164;36.3128;7
165;35.9705;1
166;36.1173;2
167;35.6848;3
168;35.8895;2
169;36.244;4
170;35.2447;3
171;36.5586;3
172;36.0878;2
173;35.7562;6
174;35.9316;1
175;36.4858;4
176;35.7233;1
177;35.9198;2
178;36.4155;1
179;30.6025;3
180;18.6786;1
