Angle;Time_Minutes;Counts
0;17.635;0
1;285.082;9
2;440.347;19
3;503.625;19
4;505.908;12
5;501.8;16
6;504.565;28
7;503.887;23
8;504.357;26
9;501.567;21
10;506.303;22
11;503.035;16
12;505.195;16
13;501.043;27
14;505.611;34
15;504.802;29
16;502.719;31
17;504.632;25
18;503.365;19
19;505.772;14
20;501.309;26
21;498.595;20
22;497.821;18
23;496.738;33
24;499.077;20
25;497.888;22
26;498.522;27
27;497.94;21
28;496.599;17
29;497.89;19
30;499.452;34
31;496.141;19
32;499.567;18
33;500.772;27
34;501.04;22
35;502.73;21
36;498.162;27
37;502.735;22
38;501.201;22
39;500.875;18
40;502.403;23
41;497.554;23
42;503.575;31
43;501.638;27
44;501.056;21
45;500.532;26
46;500.566;30
47;503.384;34
48;498.938;26
49;502.209;16
50;499.193;35
51;500.888;15
52;502.16;19
53;501.177;23
54;500.07;30
55;500.051;21
56;503.112;17
57;499.905;25
58;501.167;24
59;502.302;24
60;498.881;16
61;500.282;22
62;502.507;27
63;502.013;20
64;499.713;31
65;500.932;18
66;499.889;15
67;502.955;24
68;500.651;18
69;499.276;16
70;502.189;24
71;501.848;32
72;500.758;20
73;501.086;16
74;500.179;22
75;501.428;20
76;500.535;26
77;500.793;18
78;501.233;36
79;502.336;31
80;499.843;31
81;498.885;26
82;497.026;31
83;492.711;17
84;494.28;26
85;497.387;18
86;493.43;26
87;495.313;19
88;494.965;23
89;497.152;20
90;491.732;25
91;497.135;18
92;496.171;16
93;493.998;19
94;493.549;12
95;496.174;21
96;495.039;16
97;494.692;29
98;493.239;32
99;495.054;39
100;496.52;15
101;495.041;17
102;493.081;17
103;494.967;17
104;495.417;25
105;496.305;19
106;495.071;30
107;496.829;21
108;495.154;19
109;495.313;17
110;493.138;20
111;495.094;24
112;494.933;24
113;494.422;26
114;495.214;25
115;493.052;20
116;497.047;24
117;494.802;13
118;495.819;20
119;493.934;16
120;494.48;24
121;489.836;30
122;491.086;34
123;485.946;25
124;484.65;19
125;486.77;34
126;483.857;24
127;489.013;21
128;488.318;12
129;488.61;15
130;490.773;23
131;486.93;27
132;490.52;24
133;492.599;23
134;490.638;18
135;492.476;26
136;488.048;26
137;489.062;30
138;488.784;30
139;490.31;23
140;489.288;29
141;490.606;20
142;497.251;30
143;494.757;28
144;495.401;25
145;493.928;21
146;496.219;25
147;494.807;29
148;493.611;27
149;494.884;37
150;494.824;21
151;495.987;28
152;495.357;34
153;495.217;23
154;494.735;22
155;496.819;30
156;491.868;28
157;496.278;18
158;494.574;19
159;496.08;33
160;492.824;31
161;495.018;33
162;495.485;27
163;495.971;28
164;494.45;21
165;495.134;16
166;494.263;21
167;495.444;23
168;495.77;13
169;493.692;23
170;497.04;18
171;493.989;25
172;497.54;20
173;491.358;23
174;499.804;19
175;500.826;11
176;497.137;22
177;499.879;21
178;496.125;23
179;434.807;18
180;273.264;16
