Angle;Time_Minutes;Counts
0;17.635;0
1;285.082;11
2;440.347;21
3;503.625;19
4;505.908;9
5;501.8;20
6;504.565;20
7;503.887;17
8;504.357;33
9;501.567;19
10;506.303;21
11;503.035;18
12;505.195;20
13;501.043;26
14;505.611;22
15;504.802;24
16;502.719;30
17;504.632;20
18;503.365;24
19;505.772;22
20;501.309;18
21;498.595;19
22;497.821;17
23;496.738;34
24;499.077;19
25;497.888;22
26;498.522;17
27;497.94;16
28;496.599;16
29;497.89;24
30;499.452;32
31;496.141;18
32;499.567;15
33;500.772;27
34;501.04;32
35;502.73;14
36;498.162;23
37;502.735;24
38;501.201;19
39;500.875;23
40;502.403;31
41;497.554;23
42;503.575;33
43;501.638;27
44;501.056;22
45;500.532;33
46;500.566;19
47;503.384;29
48;498.938;24
49;502.209;26
50;499.193;27
51;500.888;22
52;502.16;23
53;501.177;14
54;500.07;26
55;500.051;23
56;503.112;10
57;499.905;20
58;501.167;21
59;502.302;29
60;498.881;15
61;500.282;24
62;502.507;19
63;502.013;20
64;499.713;29
65;500.932;21
66;499.889;27
67;502.955;20
68;500.651;16
69;499.276;18
70;502.189;27
71;501.848;27
72;500.758;18
73;501.086;15
74;500.179;24
75;501.428;23
76;500.535;26
77;500.793;22
78;501.233;28
79;502.336;36
80;499.843;24
81;498.885;33
82;497.026;26
83;492.711;21
84;494.28;21
85;497.387;12
86;493.43;27
87;495.313;19
88;494.965;12
89;497.152;14
90;491.732;24
91;497.135;25
92;496.171;15
93;493.998;23
94;493.549;16
95;496.174;23
96;495.039;18
97;494.692;29
98;493.239;34
99;495.054;25
100;496.52;15
101;495.041;22
102;493.081;12
103;494.967;18
104;495.417;18
105;496.305;12
106;495.071;28
107;496.829;23
108;495.154;20
109;495.313;21
110;493.138;26
111;495.094;28
112;494.933;17
113;494.422;29
114;495.214;26
115;493.052;24
116;497.047;25
117;494.802;15
118;495.819;19
119;493.934;17
120;494.48;28
121;489.836;30
122;491.086;32
123;485.946;32
124;484.65;16
125;486.77;36
126;483.857;31
127;489.013;21
128;488.318;16
129;488.61;16
130;490.773;32
131;486.93;34
132;490.52;22
133;492.599;23
134;490.638;25
135;492.476;32
136;488.048;26
137;489.062;22
138;488.784;34
139;490.31;24
140;489.288;25
141;490.606;22
142;497.251;32
143;494.757;34
144;495.401;28
145;493.928;24
146;496.219;22
147;494.807;28
148;493.611;28
149;494.884;24
150;494.824;25
151;495.987;30
152;495.357;27
153;495.217;23
154;494.735;11
155;496.819;28
156;491.868;26
157;496.278;22
158;494.574;17
159;496.08;28
160;492.824;29
161;495.018;35
162;495.485;28
163;495.971;22
164;494.45;33
165;495.134;17
166;494.263;18
167;495.444;20
168;495.77;22
169;493.692;25
170;497.04;15
171;493.989;32
172;497.54;23
173;491.358;23
174;499.804;16
175;500.826;18
176;497.137;28
177;499.879;24
178;496.125;24
179;434.807;19
180;273.264;10
