Angle;Time_Minutes;Counts_34f
1;249.802;9
2;390.805;20
3;467.471;17
4;464.327;11
5;465.022;17
6;465.205;15
7;464.542;15
8;468.146;16
9;468.416;22
10;465.328;16
11;467.162;13
12;470.059;7
13;465.826;18
14;468.856;20
15;468.941;21
16;466.623;27
17;466.109;11
18;466.412;13
19;461.443;16
20;467.573;16
21;467.65;22
22;463.557;17
23;465.687;13
24;467.274;10
25;463.886;15
26;463.746;19
27;465.155;18
28;466.15;16
29;463.437;15
30;465.275;16
31;464.462;13
32;466.329;18
33;469.798;12
34;465.737;18
35;469.125;14
36;465.65;22
37;470.795;16
38;467.055;18
39;466.691;13
40;468.506;11
41;469.489;12
42;469.79;18
43;467.06;17
44;466.798;21
45;467.006;22
46;468.492;13
47;467.71;23
48;465.851;20
49;469.121;17
50;468.693;21
51;468.917;18
52;469.138;7
53;465.916;21
54;471.693;14
55;465.415;20
56;466.177;14
57;469.436;20
58;468.656;19
59;466.71;24
60;469.91;20
61;467.49;23
62;466.652;17
63;470.009;17
64;467.743;29
65;466.426;13
66;469.761;16
67;465.444;19
68;471.084;19
69;466.545;19
70;468.806;23
71;466.149;16
72;468.393;20
73;468.351;26
74;468.388;19
75;465.996;15
76;470.118;14
77;463.904;20
78;471.115;16
79;469.042;17
80;464.522;16
81;472.597;18
82;466.772;12
83;466.33;17
84;467.346;22
85;468.629;17
86;466.223;18
87;471.724;16
88;465.803;21
89;470.66;18
90;466.773;13
91;468.976;19
92;464.409;21
93;468.208;17
94;469.163;20
95;467.892;19
96;469.899;14
97;467.878;13
98;462.917;14
99;471.792;11
100;468.265;13
101;468.61;13
102;468.112;13
103;467.969;18
104;468.406;14
105;464.54;13
106;469.814;20
107;467.83;22
108;469.572;15
109;468.24;11
110;469.149;25
111;466.53;13
112;466.164;17
113;470.242;11
114;467.022;17
115;469.213;18
116;468.868;14
117;465.962;17
118;469.532;24
119;471.663;11
120;472.977;22
121;468.7;26
122;469.231;34
123;470.71;15
124;469.126;14
125;466.474;18
126;467.963;20
127;467.574;16
128;467.385;14
129;468.908;13
130;468.364;25
131;467.859;23
132;470.474;14
133;464.999;13
134;467.126;22
135;469.084;19
136;466.625;15
137;469.716;20
138;469.472;17
139;467.363;14
140;467.095;15
141;467.778;16
142;467.18;14
143;468.296;18
144;466.629;18
145;471.957;13
146;465.598;20
147;469.944;25
148;466.217;26
149;467.447;17
150;468.828;14
151;466.368;14
152;468.88;21
153;468.317;18
154;470.908;15
155;468.426;17
156;465.193;14
157;469.84;18
158;463.672;18
159;470.024;19
160;466.712;23
161;469.1;14
162;468.822;21
163;467.934;22
164;468.039;24
165;469.871;14
166;467.128;20
167;467.883;14
168;469.444;27
169;462.716;19
170;470.053;18
171;468.732;21
172;467.938;17
173;466.713;13
174;471.54;15
175;467.941;18
176;466.868;14
177;469.325;14
178;465.231;10
179;393.999;14
180;241.978;11
