Angle;Time_Minutes;Counts
1;249.802;9
2;390.805;15
3;467.471;15
4;464.327;7
5;465.022;17
6;465.205;12
7;464.542;13
8;468.146;15
9;468.416;17
10;465.328;14
11;467.162;12
12;470.059;6
13;465.826;16
14;468.856;16
15;468.941;15
16;466.623;25
17;466.109;7
18;466.412;12
19;461.443;13
20;467.573;13
21;467.65;20
22;463.557;15
23;465.687;12
24;467.274;9
25;463.886;8
26;463.746;13
27;465.155;17
28;466.15;14
29;463.437;14
30;465.275;14
31;464.462;12
32;466.329;12
33;469.798;11
34;465.737;15
35;469.125;9
36;465.65;19
37;470.795;15
38;467.055;16
39;466.691;12
40;468.506;11
41;469.489;7
42;469.79;16
43;467.06;16
44;466.798;17
45;467.006;19
46;468.492;10
47;467.71;18
48;465.851;19
49;469.121;15
50;468.693;17
51;468.917;18
52;469.138;6
53;465.916;17
54;471.693;13
55;465.415;17
56;466.177;9
57;469.436;18
58;468.656;18
59;466.71;22
60;469.91;19
61;467.49;17
62;466.652;13
63;470.009;16
64;467.743;23
65;466.426;11
66;469.761;16
67;465.444;17
68;471.084;16
69;466.545;16
70;468.806;20
71;466.149;14
72;468.393;16
73;468.351;19
74;468.388;17
75;465.996;14
76;470.118;13
77;463.904;17
78;471.115;12
79;469.042;15
80;464.522;14
81;472.597;17
82;466.772;10
83;466.33;17
84;467.346;18
85;468.629;15
86;466.223;14
87;471.724;14
88;465.803;18
89;470.66;16
90;466.773;12
91;468.976;18
92;464.409;19
93;468.208;15
94;469.163;20
95;467.892;18
96;469.899;13
97;467.878;12
98;462.917;12
99;471.792;9
100;468.265;11
101;468.61;10
102;468.112;9
103;467.969;16
104;468.406;11
105;464.54;11
106;469.814;15
107;467.83;20
108;469.572;13
109;468.24;11
110;469.149;23
111;466.53;12
112;466.164;12
113;470.242;10
114;467.022;14
115;469.213;15
116;468.868;11
117;465.962;14
118;469.532;20
119;471.663;10
120;472.977;21
121;468.7;17
122;469.231;27
123;470.71;13
124;469.126;13
125;466.474;15
126;467.963;16
127;467.574;16
128;467.385;13
129;468.908;12
130;468.364;20
131;467.859;20
132;470.474;14
133;464.999;12
134;467.126;22
135;469.084;17
136;466.625;10
137;469.716;16
138;469.472;13
139;467.363;11
140;467.095;14
141;467.778;16
142;467.18;11
143;468.296;14
144;466.629;16
145;471.957;11
146;465.598;18
147;469.944;23
148;466.217;21
149;467.447;11
150;468.828;11
151;466.368;14
152;468.88;16
153;468.317;15
154;470.908;13
155;468.426;14
156;465.193;13
157;469.84;18
158;463.672;15
159;470.024;13
160;466.712;19
161;469.1;12
162;468.822;18
163;467.934;21
164;468.039;18
165;469.871;10
166;467.128;17
167;467.883;12
168;469.444;26
169;462.716;16
170;470.053;15
171;468.732;17
172;467.938;16
173;466.713;11
174;471.54;15
175;467.941;16
176;466.868;12
177;469.325;11
178;465.231;10
179;393.999;13
180;241.978;10
