Angle;Time_Minutes;Counts
1;249.802;0
2;390.805;5
3;467.471;2
4;464.327;4
5;465.022;0
6;465.205;3
7;464.542;2
8;468.146;1
9;468.416;5
10;465.328;2
11;467.162;1
12;470.059;1
13;465.826;2
14;468.856;4
15;468.941;6
16;466.623;2
17;466.109;4
18;466.412;1
19;461.443;3
20;467.573;3
21;467.65;2
22;463.557;2
23;465.687;1
24;467.274;1
25;463.886;7
26;463.746;6
27;465.155;1
28;466.15;2
29;463.437;1
30;465.275;2
31;464.462;1
32;466.329;6
33;469.798;1
34;465.737;3
35;469.125;5
36;465.65;3
37;470.795;1
38;467.055;2
39;466.691;1
40;468.506;0
41;469.489;5
42;469.79;2
43;467.06;1
44;466.798;4
45;467.006;3
46;468.492;3
47;467.71;5
48;465.851;1
49;469.121;2
50;468.693;4
51;468.917;0
52;469.138;1
53;465.916;4
54;471.693;1
55;465.415;3
56;466.177;5
57;469.436;2
58;468.656;1
59;466.71;2
60;469.91;1
61;467.49;6
62;466.652;4
63;470.009;1
64;467.743;6
65;466.426;2
66;469.761;0
67;465.444;2
68;471.084;3
69;466.545;3
70;468.806;3
71;466.149;2
72;468.393;4
73;468.351;7
74;468.388;2
75;465.996;1
76;470.118;1
77;463.904;3
78;471.115;4
79;469.042;2
80;464.522;2
81;472.597;1
82;466.772;2
83;466.33;0
84;467.346;4
85;468.629;2
86;466.223;4
87;471.724;2
88;465.803;3
89;470.66;2
90;466.773;1
91;468.976;1
92;464.409;2
93;468.208;2
94;469.163;0
95;467.892;1
96;469.899;1
97;467.878;1
98;462.917;2
99;471.792;2
100;468.265;2
101;468.61;3
102;468.112;4
103;467.969;2
104;468.406;3
105;464.54;2
106;469.814;5
107;467.83;2
108;469.572;2
109;468.24;0
110;469.149;2
111;466.53;1
112;466.164;5
113;470.242;1
114;467.022;3
115;469.213;3
116;468.868;3
117;465.962;3
118;469.532;4
119;471.663;1
120;472.977;1
121;468.7;9
122;469.231;7
123;470.71;2
124;469.126;1
125;466.474;3
126;467.963;4
127;467.574;0
128;467.385;1
129;468.908;1
130;468.364;5
131;467.859;3
132;470.474;0
133;464.999;1
134;467.126;0
135;469.084;2
136;466.625;5
137;469.716;4
138;469.472;4
139;467.363;3
140;467.095;1
141;467.778;0
142;467.18;3
143;468.296;4
144;466.629;2
145;471.957;2
146;465.598;2
147;469.944;2
148;466.217;5
149;467.447;6
150;468.828;3
151;466.368;0
152;468.88;5
153;468.317;3
154;470.908;2
155;468.426;3
156;465.193;1
157;469.84;0
158;463.672;3
159;470.024;6
160;466.712;4
161;469.1;2
162;468.822;3
163;467.934;1
164;468.039;6
165;469.871;4
166;467.128;3
167;467.883;2
168;469.444;1
169;462.716;3
170;470.053;3
171;468.732;4
172;467.938;1
173;466.713;2
174;471.54;0
175;467.941;2
176;466.868;2
177;469.325;3
178;465.231;0
179;393.999;1
180;241.978;1
