Angle;Time_Minutes;Counts
0;2.93173;0
1;179.107;0
2;274.254;0
3;332.775;1
4;329.444;0
5;330.586;0
6;331.095;1
7;329.627;0
8;332.119;1
9;331.986;1
10;332.216;0
11;331.72;1
12;333.389;1
13;331.956;2
14;333.555;0
15;332.917;1
16;332.875;2
17;332.67;0
18;330.308;0
19;327.017;0
20;332.293;0
21;331.487;0
22;329.065;0
23;331.726;1
24;329.057;1
25;328.828;0
26;330.88;0
27;330.359;0
28;330.703;0
29;329.239;1
30;330.987;0
31;328.134;1
32;330.231;1
33;330.686;1
34;330.512;0
35;329.167;0
36;326.682;0
37;333.904;1
38;328.194;0
39;330.967;0
40;329.525;0
41;331.392;0
42;330.75;0
43;329.199;1
44;330.022;0
45;328.139;1
46;329.252;0
47;332.409;1
48;327.321;0
49;331.036;0
50;330.355;0
51;330.794;0
52;330.014;0
53;330.7;1
54;331.027;3
55;327.653;0
56;329.307;1
57;331.007;1
58;330.678;0
59;330.096;0
60;330.822;1
61;328.515;0
62;329.526;0
63;330.276;0
64;332.274;1
65;329.398;0
66;328.733;0
67;329.046;0
68;331.553;1
69;328.841;1
70;331.768;0
71;326.935;2
72;331.592;2
73;329.293;0
74;331.123;0
75;328.203;0
76;331.747;0
77;328.138;0
78;331.876;0
79;329.774;0
80;327.502;0
81;334.335;0
82;328.758;0
83;327.922;0
84;331.591;0
85;330.691;1
86;326.725;0
87;332.701;0
88;328.829;0
89;330.173;0
90;329.834;0
91;331.571;0
92;327.4;0
93;329.728;0
94;332.148;0
95;328.531;0
96;331.738;0
97;330.316;0
98;323.881;0
99;334.941;0
100;331.26;0
101;328.305;0
102;330.393;1
103;330.377;1
104;329.732;0
105;326.078;0
106;335.869;1
107;326.939;0
108;330.029;0
109;332.233;1
110;330.752;0
111;330.461;0
112;325.233;1
113;332.109;0
114;331.173;2
115;330.607;1
116;329.931;0
117;328.13;0
118;330.107;0
119;331.246;0
120;330.912;0
121;329.827;0
122;328.021;0
123;332.659;0
124;328.885;1
125;327.205;0
126;331.658;1
127;328.101;0
128;331.187;0
129;330.265;0
130;327.928;0
131;333.436;0
132;331.671;0
133;328.615;1
134;328.382;0
135;330.515;0
136;328.967;0
137;330.656;2
138;330.203;1
139;330.644;0
140;329.328;0
141;329.729;1
142;330.567;0
143;328.064;0
144;330.692;1
145;333.296;0
146;328.043;1
147;330.063;1
148;329.955;0
149;329.127;0
150;330.3;0
151;330.186;1
152;329.479;0
153;332.465;1
154;329.454;0
155;329.746;0
156;324.993;0
157;330.563;1
158;324.525;1
159;326.019;2
160;328.309;0
161;326.574;1
162;326.91;1
163;328.429;1
164;324.761;1
165;328.912;1
166;327.091;0
167;327.486;1
168;328.036;1
169;322.071;0
170;329.063;1
171;328.326;0
172;326.723;1
173;326.137;0
174;328.764;1
175;327.116;0
176;326.349;0
177;328.37;0
178;323.243;0
179;275.848;1
180;170.44;0
