Angle;Time_Minutes;Counts_34f
0;0;0
1;3.0861;0
2;2.95155;0
3;2.9893;0
4;3.01987;0
5;3.01628;0
6;2.96693;0
7;3.01002;0
8;3.16552;2
9;2.79825;0
10;3.00558;0
11;3.0113;0
12;3.18482;0
13;2.89018;0
14;2.95503;0
15;3.00977;0
16;2.95762;0
17;3.04705;0
18;3.00485;0
19;3.00678;0
20;2.96707;1
21;3.07763;0
22;2.95217;0
23;3.0571;0
24;2.8711;0
25;3.14278;0
26;2.87008;0
27;3.06188;2
28;3.00137;0
29;2.98585;0
30;2.94228;0
31;3.02383;0
32;2.99523;0
33;3.00102;0
34;2.9799;0
35;3.10187;0
36;2.92235;0
37;3.13267;0
38;2.8481;0
39;3.06138;0
40;3.16133;0
41;2.91907;0
42;2.87308;1
43;2.99032;0
44;3.05265;0
45;3.01585;0
46;2.93737;0
47;3.02862;0
48;2.999;0
49;3.06233;0
50;2.99378;0
51;3.1014;0
52;2.8596;0
53;3.03677;0
54;2.9669;0
55;2.99577;0
56;2.9624;0
57;3.11437;0
58;3.15162;1
59;2.73993;0
60;2.9788;0
61;2.98832;0
62;3.00852;0
63;3.00475;0
64;3.1285;0
65;2.8831;0
66;2.97597;1
67;3.26077;0
68;2.77482;0
69;2.97878;0
70;3.09327;0
71;3.03248;0
72;2.92095;0
73;2.95067;1
74;3.01177;0
75;3.0064;0
76;2.96912;0
77;3.00078;0
78;3.0033;0
79;3.08128;1
80;2.93235;0
81;2.99082;0
82;3.03177;2
83;2.98472;0
84;3.1584;0
85;2.90577;0
86;2.97003;0
87;3.05933;0
88;2.90665;1
89;2.98923;0
90;3.23918;0
91;2.78773;0
92;2.9821;0
93;3.01567;1
94;2.9682;0
95;3.12407;0
96;2.98018;1
97;3.045;0
98;2.88058;0
99;2.98233;0
100;3.00532;0
101;2.98332;0
102;3.00183;0
103;3.01172;1
104;3.04843;0
105;3.0143;0
106;2.9162;1
107;3.16283;0
108;2.87263;1
109;2.96902;0
110;3.00088;0
111;3.0978;0
112;2.90125;0
113;3.0121;0
114;3.00415;0
115;2.99227;0
116;3.105;0
117;2.92725;1
118;3.04523;0
119;2.95208;0
120;2.99745;0
121;3.15005;0
122;2.83338;1
123;3.01008;0
124;2.9998;0
125;3.15957;0
126;2.81368;0
127;3.05003;0
128;2.97288;1
129;3.03793;0
130;3.03657;0
131;2.9229;1
132;3.04767;0
133;2.98747;0
134;3.09232;0
135;2.87083;0
136;3.20747;0
137;2.8328;0
138;2.94033;1
139;3.00683;0
140;3.06487;0
141;3.06922;1
142;2.85488;0
143;3.07583;0
144;2.98357;1
145;2.98517;0
146;3.09943;0
147;3.00367;1
148;2.8675;0
149;3.03122;1
150;3.03443;0
151;2.93848;1
152;3.0017;0
153;3.01005;0
154;2.98383;1
155;3.01005;0
156;2.97753;0
157;3.14687;0
158;2.85173;0
159;3.0121;0
160;3.12155;1
161;2.9111;1
162;2.9874;0
163;3.16492;1
164;2.89783;0
165;3.01297;0
166;2.90115;0
167;3.03353;0
168;2.964;0
169;3.00807;1
170;3.14715;0
171;2.85132;0
172;3.03502;0
173;2.97483;1
174;2.98068;0
175;3.04697;0
176;3.00273;0
177;2.98875;0
178;2.95757;0
179;2.3169;0
180;0;0
