Angle;Time_Minutes;Counts
1;80.1318;7
2;123.809;6
3;140.245;6
4;141.989;3
5;140.27;4
6;141.464;9
7;139.997;7
8;141.458;9
9;140.763;6
10;140.976;7
11;140.901;8
12;141.181;12
13;140.478;10
14;142.439;7
15;140.142;9
16;141.209;18
17;141.373;5
18;140.472;12
19;141.17;9
20;141.4;8
21;140.794;6
22;141.225;10
23;141.373;16
24;140.12;9
25;141.256;13
26;140.689;9
27;141.318;8
28;140.653;9
29;141.106;6
30;140.699;12
31;141.468;6
32;141.144;5
33;140.345;10
34;141.469;11
35;141.663;4
36;139.563;17
37;141.132;6
38;141.625;6
39;141.265;6
40;141.053;10
41;140.196;9
42;141.607;13
43;141.27;12
44;141.254;10
45;140.689;15
46;140.666;10
47;141.691;15
48;140.398;9
49;141.994;9
50;139.651;9
51;141.252;10
52;140.595;14
53;141.925;4
54;141.106;12
55;140.365;6
56;141.669;6
57;141.13;8
58;141.028;8
59;140.46;12
60;140.121;11
61;142.236;8
62;140.675;11
63;144.391;7
64;142.426;8
65;145.355;6
66;143.831;11
67;143.948;6
68;145.252;8
69;142.68;9
70;143.565;12
71;144.783;15
72;144.027;7
73;143.531;5
74;143.22;7
75;145.078;4
76;143.49;8
77;144.078;6
78;143.619;8
79;144.668;12
80;143.927;7
81;144.208;11
82;144.762;14
83;142.618;7
84;144.063;7
85;144.046;13
86;143.47;16
87;144.693;6
88;143.599;7
89;144.845;10
90;142.258;14
91;146.542;10
92;143.22;6
93;143.429;7
94;144.013;6
95;144.143;10
96;143.493;7
97;144.94;14
98;142.644;17
99;144.618;11
100;144.023;9
101;145.169;10
102;143.149;4
103;143.865;6
104;143.425;14
105;144.278;9
106;144.275;8
107;144.824;8
108;143.269;8
109;144.622;7
110;143.579;8
111;144.427;11
112;143.892;9
113;143.603;11
114;144.437;11
115;143.084;9
116;144.231;11
117;143.89;5
118;141.753;7
119;140.266;6
120;140.487;15
121;137.607;9
122;136.88;11
123;134.956;11
124;133.737;9
125;136.02;13
126;134.44;7
127;134.976;6
128;138.89;6
129;137.763;7
130;138.607;8
131;137.151;12
132;137.978;9
133;137.957;15
134;137.673;8
135;138.361;12
136;137.799;14
137;138.141;12
138;139.101;12
139;137.165;9
140;138.769;13
141;136.791;9
142;140.183;14
143;136.914;11
144;137.456;9
145;137.011;10
146;139.585;8
147;136.685;10
148;138.352;9
149;137.98;14
150;138.386;7
151;137.702;10
152;138.575;11
153;137.904;9
154;137.511;8
155;139.225;10
156;136.874;10
157;138.173;11
158;138.84;6
159;137.243;15
160;137.19;9
161;138.853;14
162;137.711;7
163;138.569;14
164;137.3;11
165;137.452;7
166;138.026;10
167;139.085;9
168;137.823;9
169;137.426;10
170;138.929;11
171;137.545;9
172;139.012;11
173;137.084;7
174;137.59;7
175;138.136;6
176;138.462;8
177;137.721;3
178;137.669;8
179;119.94;7
180;70.7866;2
