Radius_m BinSize_deg Chi2 DF Reduced_Chi2 P_Value
10.00 1 562.98 179 3.1451 2.810703e-41
10.00 2 312.81 89 3.5147 1.156206e-26
10.00 3 218.97 59 3.7114 3.074559e-20
10.00 4 173.14 44 3.9349 3.154291e-17
10.00 5 163.68 35 4.6767 1.528635e-18
10.00 6 145.80 29 5.0277 1.622667e-17
10.00 7 148.01 25 5.9206 1.957187e-19
10.00 8 114.51 22 5.2051 1.714007e-14
10.00 9 85.44 19 4.4971 2.105503e-10
10.00 10 117.89 17 6.9349 3.881013e-17
10.00 11 124.43 16 7.7770 7.688518e-19
10.00 12 79.54 14 5.6811 3.449508e-11
10.00 13 99.13 13 7.6252 2.447522e-15
10.00 14 89.12 12 7.4268 7.302841e-14
10.00 15 98.26 11 8.9328 3.944423e-16
10.00 16 43.40 11 3.9452 9.262127e-06
10.00 17 87.78 10 8.7784 1.471314e-14
10.00 18 65.25 9 7.2497 1.291315e-10
10.00 19 46.42 9 5.1577 5.033657e-07
10.00 20 69.55 8 8.6938 6.038789e-12
10.00 30 64.26 5 12.8528 1.592762e-12
10.00 36 22.42 4 5.6056 1.651296e-04
10.00 45 44.20 3 14.7346 1.366039e-09
10.00 60 21.63 2 10.8134 2.012817e-05
10.00 90 0.04 1 0.0394 8.425966e-01
15.00 1 576.67 179 3.2216 2.478397e-43
15.00 2 298.28 89 3.3514 2.125989e-24
15.00 3 212.68 59 3.6047 3.153652e-19
15.00 4 164.16 44 3.7309 9.330951e-16
15.00 5 169.97 35 4.8564 1.214760e-19
15.00 6 131.34 29 4.5289 5.611415e-15
15.00 7 136.40 25 5.4559 2.586017e-17
15.00 8 100.23 22 4.5558 5.883877e-12
15.00 9 87.02 19 4.5802 1.111735e-10
15.00 10 112.75 17 6.6321 3.664416e-16
15.00 11 106.82 16 6.6762 1.799617e-15
15.00 12 57.74 14 4.1241 2.914127e-07
15.00 13 94.72 13 7.2863 1.734934e-14
15.00 14 84.55 12 7.0458 5.555848e-13
15.00 15 94.61 11 8.6007 2.074268e-15
15.00 16 39.96 11 3.6331 3.628505e-05
15.00 17 66.46 10 6.6456 2.132089e-10
15.00 18 71.86 9 7.9841 6.577777e-12
15.00 19 38.77 9 4.3082 1.265628e-05
15.00 20 49.70 8 6.2119 4.676333e-08
15.00 30 55.22 5 11.0441 1.175961e-10
15.00 36 12.76 4 3.1910 1.248911e-02
15.00 45 35.58 3 11.8609 9.175370e-08
15.00 60 12.07 2 6.0328 2.398730e-03
15.00 90 0.64 1 0.6408 4.234266e-01
20.00 1 632.52 179 3.5336 6.368019e-52
20.00 2 328.46 89 3.6905 3.795815e-29
20.00 3 223.33 59 3.7853 6.065947e-21
20.00 4 168.13 44 3.8211 2.102963e-16
20.00 5 157.09 35 4.4882 2.120605e-17
20.00 6 138.91 29 4.7898 2.682005e-16
20.00 7 163.14 25 6.5255 3.064507e-22
20.00 8 113.85 22 5.1749 2.255764e-14
20.00 9 79.36 19 4.1767 2.398437e-09
20.00 10 108.33 17 6.3726 2.481547e-15
20.00 11 128.50 16 8.0310 1.256957e-19
20.00 12 73.82 14 5.2728 3.894737e-10
20.00 13 102.11 13 7.8544 6.471409e-16
20.00 14 83.61 12 6.9678 8.401639e-13
