Radius_m Chi2 DF Reduced_Chi2 P_Value
0.0000 0.00 1 0.0000 1.000000e+00
1.0000 43.01 19 2.2636 1.292948e-03
2.0000 43.01 19 2.2636 1.292948e-03
3.0000 42.79 19 2.2519 1.386638e-03
4.0000 42.31 19 2.2271 1.607027e-03
5.0000 42.01 19 2.2108 1.769191e-03
6.0000 41.70 19 2.1949 1.943453e-03
7.0000 41.25 19 2.1709 2.237173e-03
8.0000 41.09 19 2.1627 2.346519e-03
9.0000 41.27 19 2.1722 2.220294e-03
10.0000 41.46 19 2.1821 2.095542e-03
11.0000 41.24 19 2.1706 2.241244e-03
12.0000 40.70 19 2.1421 2.644933e-03
13.0000 40.18 19 2.1149 3.096376e-03
14.0000 39.59 19 2.0836 3.703664e-03
15.0000 39.02 19 2.0538 4.388203e-03
16.0000 38.37 19 2.0196 5.320230e-03
17.0000 37.41 19 1.9687 7.058378e-03
18.0000 36.32 19 1.9118 9.628509e-03
19.0000 35.31 19 1.8585 1.280842e-02
20.0000 34.41 19 1.8112 1.642341e-02
21.0000 33.65 19 1.7709 2.021567e-02
22.0000 33.11 19 1.7424 2.337056e-02
23.0000 32.64 19 1.7180 2.643284e-02
24.0000 32.02 19 1.6852 3.110535e-02
25.0000 31.36 19 1.6505 3.685577e-02
26.0000 30.94 19 1.6284 4.098514e-02
27.0000 30.59 19 1.6098 4.480489e-02
28.0000 30.34 19 1.5969 4.761896e-02
29.0000 30.08 19 1.5829 5.084046e-02
30.0000 29.88 19 1.5726 5.334152e-02
31.0000 29.95 19 1.5764 5.242408e-02
32.0000 30.08 19 1.5833 5.075083e-02
33.0000 30.15 19 1.5868 4.993139e-02
34.0000 30.23 19 1.5909 4.898838e-02
35.0000 30.48 19 1.6044 4.595971e-02
36.0000 30.68 19 1.6148 4.373878e-02
37.0000 30.80 19 1.6211 4.244354e-02
38.0000 30.93 19 1.6280 4.107213e-02
39.0000 31.05 19 1.6342 3.986574e-02
40.0000 31.21 19 1.6428 3.825399e-02
41.0000 31.33 19 1.6488 3.715732e-02
42.0000 31.40 19 1.6527 3.646785e-02
43.0000 31.43 19 1.6541 3.621298e-02
44.0000 31.46 19 1.6558 3.590855e-02
45.0000 31.46 19 1.6557 3.593935e-02
46.0000 31.53 19 1.6594 3.528625e-02
47.0000 31.79 19 1.6731 3.300189e-02
48.0000 32.18 19 1.6935 2.985945e-02
49.0000 32.60 19 1.7156 2.674909e-02
50.0000 32.96 19 1.7350 2.427013e-02
51.0000 33.38 19 1.7567 2.173659e-02
52.0000 33.84 19 1.7810 1.919624e-02
53.0000 34.36 19 1.8082 1.668108e-02
54.0000 34.91 19 1.8373 1.432552e-02
55.0000 35.37 19 1.8614 1.261458e-02
56.0000 35.77 19 1.8825 1.127073e-02
57.0000 36.15 19 1.9029 1.010371e-02
58.0000 36.70 19 1.9317 8.642508e-03
59.0000 37.51 19 1.9742 6.845470e-03
60.0000 38.43 19 2.0225 5.233373e-03
61.0000 39.29 19 2.0680 4.048169e-03
62.0000 40.17 19 2.1143 3.107477e-03
63.0000 40.95 19 2.1555 2.447738e-03
64.0000 41.80 19 2.1998 1.887636e-03
65.0000 42.75 19 2.2501 1.401186e-03
66.0000 43.77 19 2.3039 1.014909e-03
67.0000 44.86 19 2.3613 7.160226e-04
68.0000 45.98 19 2.4200 4.987549e-04
69.0000 47.14 19 2.4809 3.414575e-04
70.0000 48.32 19 2.5430 2.308483e-04
71.0000 49.57 19 2.6090 1.515314e-04
72.0000 50.88 19 2.6781 9.701257e-05
73.0000 52.10 19 2.7423 6.382142e-05
74.0000 53.26 19 2.8034 4.270039e-05
75.0000 54.33 19 2.8594 2.944117e-05
76.0000 55.42 19 2.9168 2.004139e-05
77.0000 56.70 19 2.9842 1.272077e-05
78.0000 58.08 19 3.0567 7.762453e-06
79.0000 59.48 19 3.1307 4.669600e-06
80.0000 60.89 19 3.2046 2.797879e-06
81.0000 62.29 19 3.2782 1.673833e-06
82.0000 63.70 19 3.3528 9.904248e-07
83.0000 64.96 19 3.4188 6.205460e-07
84.0000 66.12 19 3.4802 4.005030e-07
85.0000 67.19 19 3.5365 2.674705e-07
86.0000 68.06 19 3.5822 1.925470e-07
87.0000 68.89 19 3.6259 1.403831e-07
88.0000 69.60 19 3.6631 1.072053e-07
89.0000 70.27 19 3.6983 8.300302e-08
90.0000 71.03 19 3.7384 6.195778e-08
91.0000 71.83 19 3.7807 4.549262e-08
92.0000 72.57 19 3.8195 3.422105e-08
93.0000 73.24 19 3.8548 2.638834e-08
94.0000 73.92 19 3.8907 2.024064e-08
95.0000 74.54 19 3.9230 1.593920e-08
96.0000 75.11 19 3.9532 1.274591e-08
97.0000 75.61 19 3.9795 1.048404e-08
98.0000 76.06 19 4.0033 8.783775e-09
99.0000 76.47 19 4.0245 7.502288e-09
100.0000 76.78 19 4.0410 6.634384e-09
