# Detailed bin-by-bin Chi2 analysis for best bin size
# Radius: 30.0 m | Best bin size: 9 deg | Chi2: 39.0801 | DF: 19 | Red.Chi2: 2.0568 | P-value: 4.313008e-03
#
Bin      Angle_from Angle_to   Observed_O   Theory_E     O_minus_E    Chi2_contrib
0        1          9          402          422.56       -20.56       1.0003    
1        10         18         461          453.91       +7.09        0.1108    
2        19         27         446          452.85       -6.85        0.1036    
3        28         36         431          459.60       -28.60       1.7800    
4        37         45         490          468.77       +21.23       0.9615    
5        46         54         473          471.65       +1.35        0.0039    
6        55         63         452          469.20       -17.20       0.6308    
7        64         72         475          465.70       +9.30        0.1857    
8        73         81         506          463.60       +42.40       3.8784    
9        82         90         450          459.46       -9.46        0.1948    
10       91         99         459          459.12       -0.12        0.0000    
11       100        108        384          459.45       -75.45       12.3917   
12       109        117        422          463.63       -41.63       3.7380    
13       118        126        527          469.84       +57.16       6.9542    
14       127        135        486          501.73       -15.73       0.4930    
15       136        144        501          476.29       +24.71       1.2822    
16       145        153        503          476.39       +26.61       1.4868    
17       154        162        492          465.83       +26.17       1.4701    
18       163        171        477          454.28       +22.72       1.1364    
19       172        180        396          419.14       -23.14       1.2779    
#
# TOTAL Chi2 = 39.0801
