BinSize_deg Chi2 DF Reduced_Chi2 P_Value
1 327.75 179 1.8310 7.990774e-11
2 187.77 89 2.1098 4.964074e-09
3 132.33 59 2.2429 1.498709e-07
4 99.11 44 2.2524 3.952554e-06
5 68.82 35 1.9662 5.545325e-04
6 64.55 29 2.2260 1.622610e-04
9 39.08 19 2.0568 4.313008e-03
10 37.20 17 2.1883 3.160154e-03
12 36.65 14 2.6177 8.339929e-04
15 24.11 11 2.1919 1.227528e-02
18 12.88 9 1.4316 1.678876e-01
20 22.45 8 2.8067 4.141159e-03
30 18.04 5 3.6074 2.900110e-03
36 4.26 4 1.0660 3.714723e-01
45 5.67 3 1.8898 1.288494e-01
