Bin AngleFrom AngleTo Obs Theory Contrib
0 1 9 182 222.93 7.5144
1 10 18 273 253.43 1.5117
2 19 27 248 253.84 0.1346
3 28 36 254 253.25 0.0022
4 37 45 251 251.63 0.0016
5 46 54 240 252.61 0.6298
6 55 63 239 254.65 0.9620
7 64 72 249 256.51 0.2198
8 73 81 294 257.55 5.1572
9 82 90 283 258.06 2.4107
10 91 99 244 257.77 0.7360
11 100 108 243 257.12 0.7749
12 109 117 272 256.39 0.9501
13 118 126 238 255.87 1.2478
14 127 135 263 255.16 0.2408
15 136 144 296 255.16 6.5351
16 145 153 262 253.86 0.2612
17 154 162 255 253.82 0.0055
18 163 171 233 255.00 1.8978
19 172 180 263 256.22 0.1794
20 181 189 198 257.73 13.8425
21 190 198 239 260.22 1.7303
22 199 207 246 262.66 1.0562
23 208 216 232 265.65 4.2625
24 217 225 314 264.78 9.1488
25 226 234 255 265.65 0.4271
26 235 243 298 294.73 0.0364
27 244 252 280 265.99 0.7381
28 253 261 264 266.56 0.0246
29 262 270 274 263.71 0.4012
30 271 279 296 260.52 4.8314
31 280 288 256 256.34 0.0005
32 289 297 289 254.05 4.8093
33 298 306 247 251.93 0.0966
34 307 315 250 251.68 0.0112
35 316 324 213 219.97 0.2207
