Bin AngleFrom AngleTo Obs Theory Contrib
0 1 9 402 422.56 1.0003
1 10 18 461 453.91 0.1108
2 19 27 446 452.85 0.1036
3 28 36 431 459.60 1.7800
4 37 45 490 468.77 0.9615
5 46 54 473 471.65 0.0039
6 55 63 452 469.20 0.6308
7 64 72 475 465.70 0.1857
8 73 81 506 463.60 3.8784
9 82 90 450 459.46 0.1948
10 91 99 459 459.12 0.0000
11 100 108 384 459.45 12.3917
12 109 117 422 463.63 3.7380
13 118 126 527 469.84 6.9542
14 127 135 486 501.73 0.4930
15 136 144 501 476.29 1.2822
16 145 153 503 476.39 1.4868
17 154 162 492 465.83 1.4701
18 163 171 477 454.28 1.1364
19 172 180 396 419.14 1.2779
