Bin AngleFrom AngleTo Obs Theory Contrib
0 1 9 182 222.03 7.2181
1 10 18 273 252.43 1.6768
2 19 27 248 252.92 0.0956
3 28 36 254 252.47 0.0093
4 37 45 251 251.09 0.0000
5 46 54 240 252.46 0.6152
6 55 63 239 255.02 1.0067
7 64 72 249 257.40 0.2742
8 73 81 294 258.81 4.7858
9 82 90 283 259.46 2.1361
10 91 99 244 259.13 0.8838
11 100 108 243 258.27 0.9024
12 109 117 272 257.22 0.8494
13 118 126 238 256.39 1.3187
14 127 135 263 255.50 0.2201
15 136 144 296 255.46 6.4331
16 145 153 262 254.17 0.2409
17 154 162 255 254.09 0.0033
18 163 171 233 254.99 1.8963
19 172 180 263 255.69 0.2091
20 181 189 198 256.61 13.3879
21 190 198 239 258.71 1.5021
22 199 207 246 261.14 0.8779
23 208 216 232 264.50 3.9940
24 217 225 314 264.15 9.4060
25 226 234 255 265.39 0.4067
26 235 243 298 294.67 0.0377
27 244 252 280 266.23 0.7119
28 253 261 264 267.25 0.0396
29 262 270 274 264.81 0.3190
30 271 279 296 261.68 4.5015
31 280 288 256 257.12 0.0048
32 289 297 289 254.20 4.7650
33 298 306 247 251.51 0.0810
34 307 315 250 250.89 0.0032
35 316 324 213 219.13 0.1717
