RadiusR0_m Chi2 DF Reduced_Chi2 P_Value
0.0000 81.22 35 2.3207 1.542831e-05
1.0000 81.19 35 2.3197 1.558138e-05
2.0000 80.99 35 2.3139 1.658372e-05
3.0000 80.68 35 2.3051 1.821100e-05
4.0000 80.31 35 2.2945 2.035947e-05
5.0000 79.90 35 2.2828 2.305499e-05
6.0000 79.46 35 2.2702 2.631505e-05
7.0000 79.00 35 2.2573 3.014012e-05
8.0000 78.55 35 2.2443 3.452068e-05
9.0000 78.10 35 2.2315 3.944030e-05
10.0000 77.67 35 2.2190 4.487580e-05
11.0000 77.25 35 2.2070 5.079637e-05
12.0000 76.85 35 2.1956 5.716257e-05
13.0000 76.46 35 2.1847 6.392570e-05
14.0000 76.10 35 2.1744 7.102781e-05
15.0000 75.77 35 2.1647 7.840220e-05
16.0000 75.45 35 2.1557 8.597447e-05
17.0000 75.15 35 2.1472 9.366409e-05
18.0000 74.88 35 2.1394 1.013863e-04
19.0000 74.63 35 2.1322 1.090541e-04
20.0000 74.39 35 2.1255 1.165809e-04
21.0000 74.18 35 2.1195 1.238820e-04
22.0000 73.99 35 2.1140 1.308774e-04
23.0000 73.82 35 2.1091 1.374931e-04
24.0000 73.66 35 2.1047 1.436628e-04
25.0000 73.53 35 2.1008 1.493292e-04
26.0000 73.41 35 2.0975 1.544446e-04
27.0000 73.31 35 2.0946 1.589716e-04
28.0000 73.22 35 2.0921 1.628828e-04
29.0000 73.15 35 2.0901 1.661614e-04
30.0000 73.10 35 2.0885 1.687998e-04
31.0000 73.06 35 2.0873 1.707998e-04
32.0000 73.03 35 2.0865 1.721713e-04
33.0000 73.01 35 2.0861 1.729315e-04
34.0000 73.01 35 2.0860 1.731038e-04
35.0000 73.02 35 2.0862 1.727171e-04
36.0000 73.04 35 2.0868 1.718043e-04
37.0000 73.07 35 2.0876 1.704017e-04
38.0000 73.10 35 2.0887 1.685479e-04
39.0000 73.15 35 2.0900 1.662831e-04
40.0000 73.21 35 2.0916 1.636480e-04
41.0000 73.27 35 2.0935 1.606835e-04
42.0000 73.34 35 2.0955 1.574298e-04
43.0000 73.42 35 2.0978 1.539263e-04
44.0000 73.51 35 2.1002 1.502106e-04
45.0000 73.60 35 2.1029 1.463188e-04
46.0000 73.70 35 2.1057 1.422850e-04
47.0000 73.80 35 2.1086 1.381408e-04
48.0000 73.91 35 2.1117 1.339157e-04
49.0000 74.02 35 2.1150 1.296370e-04
50.0000 74.14 35 2.1183 1.253293e-04
51.0000 74.26 35 2.1218 1.210150e-04
52.0000 74.39 35 2.1254 1.167142e-04
53.0000 74.52 35 2.1291 1.124447e-04
54.0000 74.65 35 2.1329 1.082222e-04
55.0000 74.79 35 2.1368 1.040606e-04
56.0000 74.93 35 2.1408 9.997159e-05
57.0000 75.07 35 2.1448 9.596527e-05
58.0000 75.21 35 2.1489 9.205010e-05
59.0000 75.36 35 2.1531 8.823304e-05
60.0000 75.51 35 2.1573 8.451968e-05
61.0000 75.66 35 2.1616 8.091440e-05
62.0000 75.81 35 2.1660 7.742044e-05
63.0000 75.96 35 2.1703 7.404006e-05
64.0000 76.12 35 2.1748 7.077464e-05
65.0000 76.27 35 2.1792 6.762477e-05
66.0000 76.43 35 2.1837 6.459037e-05
67.0000 76.59 35 2.1882 6.167075e-05
68.0000 76.75 35 2.1927 5.886471e-05
69.0000 76.91 35 2.1973 5.617062e-05
70.0000 77.07 35 2.2019 5.358646e-05
71.0000 77.23 35 2.2064 5.110994e-05
72.0000 77.39 35 2.2111 4.873847e-05
73.0000 77.55 35 2.2157 4.646928e-05
74.0000 77.71 35 2.2203 4.429944e-05
75.0000 77.87 35 2.2249 4.222590e-05
76.0000 78.03 35 2.2295 4.024552e-05
77.0000 78.20 35 2.2342 3.835511e-05
78.0000 78.36 35 2.2388 3.655143e-05
79.0000 78.52 35 2.2434 3.483126e-05
80.0000 78.68 35 2.2480 3.319138e-05
81.0000 78.84 35 2.2526 3.162860e-05
82.0000 79.00 35 2.2573 3.013976e-05
83.0000 79.16 35 2.2619 2.872179e-05
84.0000 79.33 35 2.2664 2.737166e-05
85.0000 79.49 35 2.2710 2.608641e-05
86.0000 79.65 35 2.2756 2.486317e-05
87.0000 79.81 35 2.2801 2.369915e-05
88.0000 79.96 35 2.2847 2.259165e-05
89.0000 80.12 35 2.2892 2.153807e-05
90.0000 80.28 35 2.2937 2.053587e-05
91.0000 80.44 35 2.2982 1.958264e-05
92.0000 80.59 35 2.3027 1.867605e-05
93.0000 80.75 35 2.3071 1.781385e-05
94.0000 80.91 35 2.3116 1.699390e-05
95.0000 81.06 35 2.3160 1.621413e-05
96.0000 81.21 35 2.3204 1.547259e-05
97.0000 81.37 35 2.3248 1.476738e-05
98.0000 81.52 35 2.3291 1.409670e-05
99.0000 81.67 35 2.3335 1.345885e-05
100.0000 81.82 35 2.3378 1.285218e-05
