RadiusR0_m Chi2 DF Reduced_Chi2 P_Value
0.0000 81.22 35 2.3207 1.542831e-05
1.0000 81.22 35 2.3207 1.542870e-05
2.0000 81.17 35 2.3192 1.566487e-05
3.0000 80.97 35 2.3134 1.666151e-05
4.0000 80.68 35 2.3050 1.821935e-05
5.0000 80.35 35 2.2958 2.008448e-05
6.0000 80.04 35 2.2867 2.210887e-05
7.0000 79.72 35 2.2776 2.433379e-05
8.0000 79.38 35 2.2681 2.690823e-05
9.0000 79.02 35 2.2577 3.000605e-05
10.0000 78.62 35 2.2463 3.378886e-05
11.0000 78.19 35 2.2341 3.839387e-05
12.0000 77.74 35 2.2211 4.392919e-05
13.0000 77.27 35 2.2077 5.047009e-05
14.0000 76.79 35 2.1941 5.805591e-05
15.0000 76.32 35 2.1806 6.668917e-05
16.0000 75.86 35 2.1673 7.633747e-05
17.0000 75.41 35 2.1546 8.693798e-05
18.0000 74.98 35 2.1423 9.840356e-05
19.0000 74.58 35 2.1307 1.106290e-04
20.0000 74.19 35 2.1198 1.234967e-04
21.0000 73.83 35 2.1095 1.368807e-04
22.0000 73.50 35 2.1000 1.506491e-04
23.0000 73.19 35 2.0910 1.646661e-04
24.0000 72.90 35 2.0827 1.787914e-04
25.0000 72.63 35 2.0751 1.928811e-04
26.0000 72.38 35 2.0680 2.067872e-04
27.0000 72.16 35 2.0616 2.203578e-04
28.0000 71.95 35 2.0557 2.334381e-04
29.0000 71.77 35 2.0504 2.458717e-04
30.0000 71.60 35 2.0457 2.575027e-04
31.0000 71.46 35 2.0416 2.681788e-04
32.0000 71.33 35 2.0380 2.777543e-04
33.0000 71.22 35 2.0350 2.860941e-04
34.0000 71.14 35 2.0325 2.930774e-04
35.0000 71.07 35 2.0306 2.986017e-04
36.0000 71.02 35 2.0292 3.025860e-04
37.0000 70.99 35 2.0284 3.049739e-04
38.0000 70.98 35 2.0281 3.057356e-04
39.0000 71.00 35 2.0284 3.048695e-04
40.0000 71.02 35 2.0293 3.024021e-04
41.0000 71.07 35 2.0306 2.983874e-04
42.0000 71.14 35 2.0325 2.929057e-04
43.0000 71.22 35 2.0350 2.860603e-04
44.0000 71.33 35 2.0379 2.779747e-04
45.0000 71.45 35 2.0413 2.687888e-04
46.0000 71.58 35 2.0453 2.586544e-04
47.0000 71.74 35 2.0497 2.477307e-04
48.0000 71.91 35 2.0545 2.361806e-04
49.0000 72.09 35 2.0599 2.241657e-04
50.0000 72.30 35 2.0656 2.118434e-04
51.0000 72.51 35 2.0717 1.993627e-04
52.0000 72.74 35 2.0783 1.868624e-04
53.0000 72.98 35 2.0852 1.744684e-04
54.0000 73.24 35 2.0925 1.622923e-04
55.0000 73.50 35 2.1001 1.504306e-04
56.0000 73.78 35 2.1080 1.389647e-04
57.0000 74.07 35 2.1163 1.279603e-04
58.0000 74.37 35 2.1248 1.174686e-04
59.0000 74.67 35 2.1336 1.075272e-04
60.0000 74.99 35 2.1426 9.816077e-05
61.0000 75.31 35 2.1518 8.938270e-05
62.0000 75.64 35 2.1613 8.119648e-05
63.0000 75.98 35 2.1709 7.359707e-05
64.0000 76.33 35 2.1807 6.657230e-05
65.0000 76.67 35 2.1907 6.010424e-05
66.0000 77.03 35 2.2008 5.417047e-05
67.0000 77.39 35 2.2110 4.874518e-05
68.0000 77.75 35 2.2214 4.380022e-05
69.0000 78.11 35 2.2318 3.930598e-05
70.0000 78.48 35 2.2423 3.523213e-05
71.0000 78.85 35 2.2529 3.154823e-05
72.0000 79.22 35 2.2635 2.822430e-05
73.0000 79.60 35 2.2742 2.523117e-05
74.0000 79.97 35 2.2849 2.254080e-05
75.0000 80.35 35 2.2956 2.012652e-05
76.0000 80.72 35 2.3064 1.796318e-05
77.0000 81.10 35 2.3171 1.602722e-05
78.0000 81.47 35 2.3278 1.429673e-05
79.0000 81.85 35 2.3385 1.275146e-05
80.0000 82.22 35 2.3492 1.137279e-05
81.0000 82.59 35 2.3598 1.014367e-05
82.0000 82.97 35 2.3704 9.048554e-06
83.0000 83.33 35 2.3810 8.073321e-06
84.0000 83.70 35 2.3915 7.205191e-06
85.0000 84.07 35 2.4019 6.432627e-06
86.0000 84.43 35 2.4123 5.745243e-06
87.0000 84.79 35 2.4226 5.133710e-06
88.0000 85.15 35 2.4329 4.589670e-06
89.0000 85.51 35 2.4430 4.105644e-06
90.0000 85.86 35 2.4531 3.674953e-06
91.0000 86.21 35 2.4631 3.291641e-06
92.0000 86.56 35 2.4730 2.950404e-06
93.0000 86.90 35 2.4829 2.646522e-06
94.0000 87.24 35 2.4926 2.375800e-06
95.0000 87.58 35 2.5022 2.134513e-06
96.0000 87.91 35 2.5118 1.919354e-06
97.0000 88.24 35 2.5212 1.727392e-06
98.0000 88.57 35 2.5306 1.556025e-06
99.0000 88.89 35 2.5398 1.402950e-06
100.0000 89.21 35 2.5490 1.266124e-06
