Radius_m Chi2 DF Reduced_Chi2 P_Value
0.0000 81.22 35 2.3207 1.542831e-05
1.0000 81.22 35 2.3207 1.542831e-05
2.0000 81.22 35 2.3207 1.542831e-05
3.0000 81.05 35 2.3158 1.624010e-05
4.0000 80.62 35 2.3035 1.850908e-05
5.0000 80.24 35 2.2927 2.076186e-05
6.0000 79.85 35 2.2815 2.336001e-05
7.0000 79.20 35 2.2628 2.844618e-05
8.0000 78.82 35 2.2520 3.183490e-05
9.0000 78.84 35 2.2525 3.167856e-05
10.0000 78.87 35 2.2535 3.134370e-05
11.0000 78.51 35 2.2432 3.489965e-05
12.0000 78.00 35 2.2285 4.066169e-05
13.0000 77.55 35 2.2157 4.642708e-05
14.0000 77.08 35 2.2021 5.342811e-05
15.0000 76.53 35 2.1866 6.267791e-05
16.0000 75.87 35 2.1677 7.607472e-05
17.0000 74.91 35 2.1402 1.005086e-04
18.0000 73.95 35 2.1130 1.322635e-04
19.0000 73.05 35 2.0872 1.709649e-04
20.0000 72.23 35 2.0638 2.156043e-04
21.0000 71.50 35 2.0429 2.646626e-04
22.0000 70.99 35 2.0283 3.051966e-04
23.0000 70.55 35 2.0157 3.450922e-04
24.0000 69.97 35 1.9992 4.045082e-04
25.0000 69.42 35 1.9833 4.711848e-04
26.0000 69.09 35 1.9740 5.151514e-04
27.0000 68.92 35 1.9691 5.395203e-04
28.0000 68.88 35 1.9680 5.454729e-04
29.0000 68.83 35 1.9665 5.530119e-04
30.0000 68.82 35 1.9662 5.545325e-04
31.0000 68.98 35 1.9709 5.306095e-04
32.0000 69.17 35 1.9762 5.041690e-04
33.0000 69.27 35 1.9791 4.903853e-04
34.0000 69.35 35 1.9813 4.803805e-04
35.0000 69.58 35 1.9880 4.503668e-04
36.0000 69.76 35 1.9932 4.287383e-04
37.0000 69.87 35 1.9963 4.161862e-04
38.0000 69.99 35 1.9998 4.023604e-04
39.0000 70.08 35 2.0024 3.922337e-04
40.0000 70.22 35 2.0063 3.776997e-04
41.0000 70.34 35 2.0098 3.652980e-04
42.0000 70.45 35 2.0127 3.550885e-04
43.0000 70.49 35 2.0141 3.504718e-04
44.0000 70.52 35 2.0149 3.475141e-04
45.0000 70.53 35 2.0150 3.472444e-04
46.0000 70.60 35 2.0172 3.400551e-04
47.0000 70.86 35 2.0246 3.165302e-04
48.0000 71.24 35 2.0354 2.848672e-04
49.0000 71.64 35 2.0470 2.544289e-04
50.0000 72.03 35 2.0580 2.283167e-04
51.0000 72.46 35 2.0702 2.024631e-04
52.0000 72.94 35 2.0840 1.766499e-04
53.0000 73.47 35 2.0992 1.517795e-04
54.0000 74.04 35 2.1154 1.291200e-04
55.0000 74.52 35 2.1293 1.122904e-04
56.0000 74.96 35 2.1418 9.898718e-05
57.0000 75.39 35 2.1540 8.747767e-05
58.0000 75.97 35 2.1707 7.380212e-05
59.0000 76.81 35 2.1945 5.782610e-05
60.0000 77.75 35 2.2216 4.371884e-05
61.0000 78.66 35 2.2474 3.341532e-05
62.0000 79.57 35 2.2733 2.545996e-05
63.0000 80.38 35 2.2964 1.995289e-05
64.0000 81.24 35 2.3211 1.535640e-05
65.0000 82.19 35 2.3484 1.146893e-05
66.0000 83.22 35 2.3777 8.370139e-06
67.0000 84.32 35 2.4091 5.953131e-06
68.0000 85.46 35 2.4416 4.170811e-06
69.0000 86.64 35 2.4754 2.875290e-06
70.0000 87.83 35 2.5093 1.972640e-06
71.0000 89.09 35 2.5454 1.317321e-06
72.0000 90.44 35 2.5839 8.534402e-07
73.0000 91.70 35 2.6199 5.670329e-07
74.0000 92.90 35 2.6543 3.829291e-07
75.0000 94.01 35 2.6859 2.660451e-07
76.0000 95.12 35 2.7177 1.840588e-07
77.0000 96.41 35 2.7546 1.198485e-07
78.0000 97.80 35 2.7943 7.524854e-08
79.0000 99.23 35 2.8352 4.644571e-08
80.0000 100.66 35 2.8761 2.854658e-08
81.0000 102.07 35 2.9163 1.764929e-08
82.0000 103.48 35 2.9566 1.087692e-08
83.0000 104.72 35 2.9921 7.077235e-09
84.0000 105.87 35 3.0248 4.755881e-09
85.0000 106.91 35 3.0544 3.312338e-09
86.0000 107.74 35 3.0782 2.475115e-09
87.0000 108.54 35 3.1011 1.869271e-09
88.0000 109.22 35 3.1205 1.470091e-09
89.0000 109.87 35 3.1391 1.169150e-09
90.0000 110.61 35 3.1603 8.993118e-10
91.0000 111.39 35 3.1826 6.813823e-10
92.0000 112.11 35 3.2031 5.275219e-10
93.0000 112.76 35 3.2218 4.179674e-10
94.0000 113.43 35 3.2408 3.295421e-10
95.0000 114.03 35 3.2580 2.657237e-10
96.0000 114.59 35 3.2740 2.171017e-10
97.0000 115.09 35 3.2882 1.817069e-10
98.0000 115.54 35 3.3011 1.544821e-10
99.0000 115.94 35 3.3126 1.336091e-10
100.0000 116.25 35 3.3213 1.195648e-10
