Bin AngleFrom AngleTo Obs Theory Contrib
0 1 9 402 425.60 1.3085
1 10 18 461 456.72 0.0400
2 19 27 446 453.68 0.1302
3 28 36 431 457.24 1.5057
4 37 45 490 463.16 1.5549
5 46 54 473 464.52 0.1548
6 55 63 452 462.40 0.2340
7 64 72 475 460.46 0.4588
8 73 81 506 459.32 4.7443
9 82 90 450 456.50 0.0926
10 91 99 459 459.71 0.0011
11 100 108 384 465.27 14.1965
12 109 117 422 472.77 5.4528
13 118 126 527 477.40 5.1525
14 127 135 486 507.48 0.9088
15 136 144 501 479.24 0.9879
16 145 153 503 473.66 1.8171
17 154 162 492 462.10 1.9345
18 163 171 477 454.35 1.1293
19 172 180 396 421.40 1.5305
