RadiusR0_m Chi2 DF Reduced_Chi2 P_Value
0.0000 51.45 19 2.7079 7.995674e-05
1.0000 51.41 19 2.7060 8.091163e-05
2.0000 51.21 19 2.6953 8.678298e-05
3.0000 50.92 19 2.6799 9.592796e-05
4.0000 50.57 19 2.6616 1.079508e-04
5.0000 50.18 19 2.6412 1.232211e-04
6.0000 49.76 19 2.6191 1.420085e-04
7.0000 49.33 19 2.5962 1.644590e-04
8.0000 48.89 19 2.5731 1.906474e-04
9.0000 48.45 19 2.5501 2.205965e-04
10.0000 48.03 19 2.5277 2.542757e-04
11.0000 47.61 19 2.5060 2.915915e-04
12.0000 47.22 19 2.4852 3.323784e-04
13.0000 46.84 19 2.4653 3.763919e-04
14.0000 46.48 19 2.4465 4.233049e-04
15.0000 46.15 19 2.4287 4.727098e-04
16.0000 45.83 19 2.4120 5.241243e-04
17.0000 45.53 19 2.3964 5.770016e-04
18.0000 45.26 19 2.3820 6.307437e-04
19.0000 45.00 19 2.3686 6.847182e-04
20.0000 44.77 19 2.3563 7.382753e-04
21.0000 44.56 19 2.3450 7.907663e-04
22.0000 44.36 19 2.3348 8.415611e-04
23.0000 44.19 19 2.3256 8.900646e-04
24.0000 44.03 19 2.3173 9.357308e-04
25.0000 43.89 19 2.3100 9.780745e-04
26.0000 43.77 19 2.3036 1.016680e-03
27.0000 43.66 19 2.2981 1.051208e-03
28.0000 43.57 19 2.2934 1.081397e-03
29.0000 43.50 19 2.2895 1.107065e-03
30.0000 43.44 19 2.2863 1.128106e-03
31.0000 43.39 19 2.2839 1.144489e-03
32.0000 43.36 19 2.2822 1.156249e-03
33.0000 43.34 19 2.2812 1.163483e-03
34.0000 43.33 19 2.2808 1.166341e-03
35.0000 43.34 19 2.2810 1.165017e-03
36.0000 43.35 19 2.2817 1.159745e-03
37.0000 43.38 19 2.2830 1.150785e-03
38.0000 43.41 19 2.2848 1.138421e-03
39.0000 43.45 19 2.2871 1.122952e-03
40.0000 43.51 19 2.2898 1.104683e-03
41.0000 43.57 19 2.2930 1.083923e-03
42.0000 43.63 19 2.2965 1.060980e-03
43.0000 43.71 19 2.3004 1.036152e-03
44.0000 43.79 19 2.3047 1.009728e-03
45.0000 43.88 19 2.3093 9.819864e-04
46.0000 43.97 19 2.3143 9.531866e-04
47.0000 44.07 19 2.3195 9.235736e-04
48.0000 44.17 19 2.3249 8.933738e-04
49.0000 44.28 19 2.3307 8.627953e-04
50.0000 44.40 19 2.3367 8.320276e-04
51.0000 44.51 19 2.3429 8.012416e-04
52.0000 44.64 19 2.3493 7.705900e-04
53.0000 44.76 19 2.3558 7.402082e-04
54.0000 44.89 19 2.3626 7.102146e-04
55.0000 45.02 19 2.3695 6.807120e-04
56.0000 45.16 19 2.3766 6.517882e-04
57.0000 45.29 19 2.3838 6.235173e-04
58.0000 45.43 19 2.3912 5.959605e-04
59.0000 45.57 19 2.3987 5.691676e-04
60.0000 45.72 19 2.4062 5.431775e-04
61.0000 45.86 19 2.4139 5.180198e-04
62.0000 46.01 19 2.4217 4.937155e-04
63.0000 46.16 19 2.4295 4.702779e-04
64.0000 46.31 19 2.4374 4.477135e-04
65.0000 46.46 19 2.4454 4.260231e-04
66.0000 46.62 19 2.4535 4.052022e-04
67.0000 46.77 19 2.4616 3.852421e-04
68.0000 46.92 19 2.4697 3.661302e-04
69.0000 47.08 19 2.4779 3.478507e-04
70.0000 47.24 19 2.4861 3.303852e-04
71.0000 47.39 19 2.4944 3.137133e-04
72.0000 47.55 19 2.5026 2.978128e-04
73.0000 47.71 19 2.5109 2.826599e-04
74.0000 47.87 19 2.5193 2.682304e-04
75.0000 48.02 19 2.5276 2.544987e-04
76.0000 48.18 19 2.5359 2.414394e-04
77.0000 48.34 19 2.5442 2.290266e-04
78.0000 48.50 19 2.5526 2.172342e-04
79.0000 48.66 19 2.5609 2.060367e-04
80.0000 48.81 19 2.5692 1.954085e-04
81.0000 48.97 19 2.5775 1.853246e-04
82.0000 49.13 19 2.5858 1.757605e-04
83.0000 49.29 19 2.5941 1.666922e-04
84.0000 49.45 19 2.6024 1.580965e-04
85.0000 49.60 19 2.6106 1.499507e-04
86.0000 49.76 19 2.6189 1.422329e-04
87.0000 49.91 19 2.6271 1.349222e-04
88.0000 50.07 19 2.6353 1.279981e-04
89.0000 50.22 19 2.6434 1.214411e-04
90.0000 50.38 19 2.6515 1.152324e-04
91.0000 50.53 19 2.6596 1.093542e-04
92.0000 50.69 19 2.6677 1.037893e-04
93.0000 50.84 19 2.6757 9.852117e-05
94.0000 50.99 19 2.6837 9.353423e-05
95.0000 51.14 19 2.6917 8.881354e-05
96.0000 51.29 19 2.6997 8.434491e-05
97.0000 51.44 19 2.7076 8.011481e-05
98.0000 51.59 19 2.7154 7.611039e-05
99.0000 51.74 19 2.7232 7.231946e-05
100.0000 51.89 19 2.7310 6.873044e-05
