Bin AngleFrom AngleTo Obs Theory Contrib
0 1 9 182 221.37 7.0016
1 10 18 273 251.58 1.8233
2 19 27 248 252.18 0.0692
3 28 36 254 252.07 0.0148
4 37 45 251 251.14 0.0001
5 46 54 240 253.04 0.6722
6 55 63 239 256.19 1.1538
7 64 72 249 259.14 0.3966
8 73 81 294 260.97 4.1794
9 82 90 283 261.94 1.6934
10 91 99 244 261.83 1.2144
11 100 108 243 261.00 1.2414
12 109 117 272 259.79 0.5734
13 118 126 238 258.76 1.6654
14 127 135 263 257.71 0.1084
15 136 144 296 257.50 5.7556
16 145 153 262 255.87 0.1466
17 154 162 255 255.20 0.0002
18 163 171 233 255.27 1.9432
19 172 180 263 254.98 0.2524
20 181 189 198 254.80 12.6630
21 190 198 239 255.80 1.1039
22 199 207 246 257.48 0.5115
23 208 216 232 260.71 3.1626
24 217 225 314 260.79 10.8577
25 226 234 255 262.41 0.2091
26 235 243 298 291.53 0.1436
27 244 252 280 263.75 1.0007
28 253 261 264 265.86 0.0130
29 262 270 274 264.99 0.3062
30 271 279 296 262.97 4.1481
31 280 288 256 258.50 0.0242
32 289 297 289 254.99 4.5363
33 298 306 247 251.63 0.0854
34 307 315 250 250.57 0.0013
35 316 324 213 218.65 0.1459
