Bin AngleFrom AngleTo Obs Theory Contrib
0 1 9 402 422.36 0.9814
1 10 18 461 453.58 0.1215
2 19 27 446 452.29 0.0876
3 28 36 431 459.34 1.7482
4 37 45 490 469.68 0.8792
5 46 54 473 472.22 0.0013
6 55 63 452 469.66 0.6637
7 64 72 475 465.15 0.2084
8 73 81 506 463.32 3.9307
9 82 90 450 459.61 0.2011
10 91 99 459 459.13 0.0000
11 100 108 384 458.92 12.2303
12 109 117 422 462.49 3.5446
13 118 126 527 470.83 6.7007
14 127 135 486 502.48 0.5404
15 136 144 501 476.16 1.2961
16 145 153 503 477.91 1.3175
17 154 162 492 465.92 1.4597
18 163 171 477 453.23 1.2466
19 172 180 396 418.73 1.2334
