Height_m Chi2 DF P_Value
0.0000 51.45 19 7.995674e-05
0.1000 51.43 19 8.054843e-05
0.2000 51.17 19 8.784193e-05
0.3000 50.55 19 1.086762e-04
0.4000 49.98 19 1.319057e-04
0.5000 49.47 19 1.567997e-04
0.6000 48.99 19 1.841976e-04
0.7000 48.57 19 2.121452e-04
0.8000 48.06 19 2.511216e-04
0.9000 47.38 19 3.147732e-04
1.0000 46.54 19 4.148921e-04
1.1000 45.65 19 5.554183e-04
1.2000 44.75 19 7.418890e-04
1.3000 43.89 19 9.787292e-04
1.4000 43.05 19 1.274288e-03
1.5000 42.28 19 1.623432e-03
1.6000 41.62 19 1.996152e-03
1.7000 41.06 19 2.368399e-03
1.8000 40.62 19 2.714133e-03
1.9000 40.28 19 3.005577e-03
2.0000 40.04 19 3.236060e-03
2.1000 39.88 19 3.397884e-03
2.2000 39.79 19 3.484880e-03
2.3000 39.78 19 3.494071e-03
2.4000 39.85 19 3.423330e-03
2.5000 39.99 19 3.281829e-03
2.6000 40.18 19 3.094784e-03
2.7000 40.43 19 2.870866e-03
2.8000 40.73 19 2.624579e-03
2.9000 41.06 19 2.367116e-03
3.0000 41.45 19 2.103859e-03
3.1000 41.87 19 1.846636e-03
3.2000 42.33 19 1.598172e-03
3.3000 42.84 19 1.361737e-03
3.4000 43.40 19 1.141324e-03
3.5000 44.00 19 9.448288e-04
3.6000 44.65 19 7.678540e-04
3.7000 45.34 19 6.146048e-04
3.8000 46.08 19 4.833728e-04
3.9000 46.87 19 3.729333e-04
4.0000 47.71 19 2.826209e-04
4.1000 48.60 19 2.101730e-04
4.2000 49.53 19 1.538148e-04
4.3000 50.51 19 1.103487e-04
4.4000 51.52 19 7.794920e-05
4.5000 52.57 19 5.432691e-05
4.6000 53.65 19 3.737507e-05
4.7000 54.75 19 2.537443e-05
4.8000 55.86 19 1.712370e-05
4.9000 57.00 19 1.142577e-05
5.0000 58.15 19 7.564720e-06
5.1000 59.30 19 4.997694e-06
5.2000 60.44 19 3.296005e-06
5.3000 61.61 19 2.148841e-06
5.4000 62.75 19 1.410880e-06
5.5000 63.90 19 9.196773e-07
5.6000 65.03 19 6.034304e-07
5.7000 66.14 19 3.978012e-07
5.8000 67.25 19 2.622420e-07
5.9000 68.31 19 1.752715e-07
6.0000 69.35 19 1.177535e-07
6.1000 70.36 19 8.023151e-08
6.2000 71.32 19 5.542062e-08
6.3000 72.27 19 3.847022e-08
6.4000 73.16 19 2.726148e-08
6.5000 74.01 19 1.958423e-08
6.6000 74.83 19 1.424613e-08
6.7000 75.59 19 1.056002e-08
6.8000 76.33 19 7.926238e-09
6.9000 77.01 19 6.060790e-09
7.0000 77.65 19 4.718191e-09
7.1000 78.25 19 3.720010e-09
7.2000 78.80 19 2.985883e-09
7.3000 79.32 19 2.438531e-09
7.4000 79.79 19 2.024127e-09
7.5000 80.22 19 1.704714e-09
7.6000 80.61 19 1.458102e-09
7.7000 80.97 19 1.266230e-09
7.8000 81.29 19 1.114532e-09
7.9000 81.58 19 9.933205e-10
8.0000 81.83 19 8.989167e-10
8.1000 82.05 19 8.222723e-10
