Angle;Time_Minutes;Counts_34f
0;0;0
1;226.818;21
2;344.681;25
3;417.204;16
4;413.111;23
5;415.528;17
6;413.833;17
7;413.588;19
8;417.279;13
9;415.737;12
10;415.418;20
11;416.737;22
12;416.906;23
13;415.761;21
14;418.212;24
15;416.807;18
16;416.338;19
17;416.48;20
18;415.1;28
19;409.692;18
20;417.293;20
21;415.732;14
22;412.634;18
23;415.513;28
24;413.672;27
25;413.401;19
26;414.082;16
27;414.11;18
28;414.557;19
29;413.259;19
30;414.911;21
31;412.992;29
32;413.888;13
33;415.192;27
34;412.741;20
35;414.659;23
36;410.722;16
37;418.288;19
38;411.981;26
39;413.757;18
40;413.942;18
41;415.649;23
42;415.01;27
43;413.773;19
44;412.603;27
45;412.748;18
46;413.962;20
47;415.229;26
48;410.63;21
49;415.005;24
50;416.037;12
51;414.646;28
52;415.034;16
53;412.571;22
54;416.411;31
55;411.88;19
56;412.245;13
57;415.741;19
58;414.16;20
59;413.742;20
60;414.758;21
61;412.767;18
62;413.754;18
63;415.272;19
64;414.711;19
65;413.325;20
66;414.532;18
67;411.469;27
68;416.961;22
69;411.179;14
70;416.302;17
71;411.322;26
72;415.474;23
73;413.501;25
74;414.71;17
75;411.854;13
76;416.354;20
77;410.377;17
78;416.389;20
79;415.355;23
80;410.408;15
81;419.363;36
82;411.519;24
83;413.071;17
84;414.264;20
85;414.461;20
86;411.853;25
87;417.466;25
88;412.588;16
89;413.919;27
90;414.916;25
91;414.108;17
92;410.961;17
93;413.767;26
94;415.589;18
95;413.584;21
96;416.44;21
97;413.421;15
98;407.636;22
99;419.846;29
100;414.672;16
101;412.304;16
102;414.677;22
103;414.191;23
104;413.591;23
105;410.629;18
106;417.847;24
107;412.438;23
108;415.072;19
109;415.19;25
110;414.591;35
111;414.46;20
112;410.481;26
113;415.694;16
114;414.468;33
115;414.732;25
116;414.902;23
117;411.598;21
118;414.517;31
119;418.684;16
120;418.528;19
121;416.503;20
122;414.464;25
123;416.893;25
124;414.83;11
125;411.2;20
126;415.167;27
127;411.694;19
128;415.055;17
129;414.486;22
130;413.033;16
131;416.335;19
132;415.893;24
133;411.133;19
134;413.508;18
135;413.92;17
136;412.959;27
137;415.411;28
138;414.989;25
139;414.072;20
140;413.398;26
141;413.183;21
142;414.353;23
143;413.14;17
144;413.181;14
145;418.297;16
146;412.089;30
147;414.683;22
148;413.046;22
149;413.105;19
150;415.219;25
151;412.682;21
152;414.518;17
153;414.561;25
154;415.766;14
155;413.102;20
156;408.935;18
157;414.27;28
158;407.686;17
159;411.747;27
160;409.776;22
161;412.438;22
162;411.111;19
163;412.152;24
164;409.777;16
165;412.495;17
166;410.124;17
167;412.35;20
168;412.099;17
169;405.36;24
170;412.865;18
171;412.845;17
172;409.409;26
173;410.776;27
174;413.597;25
175;411.195;25
176;410.493;18
177;412.345;23
178;406.089;30
179;346.486;12
180;214.393;18
