Radius_m Chi2 DF Reduced_Chi2 P_Value
1.0000 34.36 35 0.9818 4.986025e-01
2.0000 34.38 35 0.9823 4.977837e-01
3.0000 34.43 35 0.9836 4.956893e-01
4.0000 34.48 35 0.9851 4.930609e-01
5.0000 34.53 35 0.9867 4.904508e-01
6.0000 34.58 35 0.9881 4.880455e-01
7.0000 34.63 35 0.9894 4.858305e-01
8.0000 34.67 35 0.9907 4.837187e-01
9.0000 34.72 35 0.9920 4.816125e-01
10.0000 34.76 35 0.9933 4.794284e-01
11.0000 34.81 35 0.9947 4.771025e-01
12.0000 34.87 35 0.9962 4.745909e-01
13.0000 34.92 35 0.9978 4.718657e-01
14.0000 34.99 35 0.9996 4.689118e-01
15.0000 35.05 35 1.0015 4.657241e-01
16.0000 35.12 35 1.0036 4.623043e-01
17.0000 35.20 35 1.0058 4.586596e-01
18.0000 35.28 35 1.0081 4.548005e-01
19.0000 35.37 35 1.0106 4.507402e-01
20.0000 35.46 35 1.0132 4.464931e-01
21.0000 35.56 35 1.0159 4.420748e-01
22.0000 35.65 35 1.0187 4.375010e-01
23.0000 35.76 35 1.0216 4.327876e-01
24.0000 35.86 35 1.0246 4.279503e-01
25.0000 35.97 35 1.0276 4.230042e-01
26.0000 36.08 35 1.0308 4.179640e-01
27.0000 36.19 35 1.0340 4.128438e-01
28.0000 36.30 35 1.0373 4.076569e-01
29.0000 36.42 35 1.0406 4.024159e-01
30.0000 36.54 35 1.0440 3.971328e-01
31.0000 36.66 35 1.0474 3.918186e-01
32.0000 36.78 35 1.0508 3.864837e-01
33.0000 36.90 35 1.0543 3.811378e-01
34.0000 37.02 35 1.0578 3.757897e-01
35.0000 37.14 35 1.0613 3.704480e-01
36.0000 37.27 35 1.0648 3.651200e-01
37.0000 37.39 35 1.0683 3.598128e-01
38.0000 37.52 35 1.0719 3.545328e-01
39.0000 37.64 35 1.0754 3.492858e-01
40.0000 37.76 35 1.0790 3.440770e-01
41.0000 37.89 35 1.0825 3.389112e-01
42.0000 38.01 35 1.0861 3.337927e-01
43.0000 38.14 35 1.0896 3.287254e-01
44.0000 38.26 35 1.0931 3.237126e-01
45.0000 38.38 35 1.0967 3.187574e-01
46.0000 38.51 35 1.1002 3.138624e-01
47.0000 38.63 35 1.1037 3.090300e-01
48.0000 38.75 35 1.1071 3.042621e-01
49.0000 38.87 35 1.1106 2.995604e-01
50.0000 38.99 35 1.1140 2.949265e-01
51.0000 39.11 35 1.1174 2.903614e-01
52.0000 39.23 35 1.1208 2.858661e-01
53.0000 39.35 35 1.1242 2.814414e-01
54.0000 39.47 35 1.1276 2.770878e-01
55.0000 39.58 35 1.1309 2.728057e-01
56.0000 39.70 35 1.1342 2.685952e-01
57.0000 39.81 35 1.1375 2.644564e-01
58.0000 39.93 35 1.1408 2.603893e-01
59.0000 40.04 35 1.1440 2.563936e-01
60.0000 40.15 35 1.1472 2.524691e-01
61.0000 40.26 35 1.1504 2.486152e-01
62.0000 40.37 35 1.1535 2.448315e-01
63.0000 40.48 35 1.1566 2.411175e-01
64.0000 40.59 35 1.1597 2.374724e-01
65.0000 40.70 35 1.1628 2.338955e-01
66.0000 40.81 35 1.1659 2.303861e-01
67.0000 40.91 35 1.1689 2.269433e-01
68.0000 41.02 35 1.1719 2.235663e-01
69.0000 41.12 35 1.1748 2.202542e-01
70.0000 41.22 35 1.1778 2.170059e-01
71.0000 41.32 35 1.1807 2.138206e-01
72.0000 41.42 35 1.1836 2.106973e-01
73.0000 41.52 35 1.1864 2.076350e-01
74.0000 41.62 35 1.1892 2.046326e-01
75.0000 41.72 35 1.1920 2.016891e-01
76.0000 41.82 35 1.1948 1.988035e-01
77.0000 41.91 35 1.1976 1.959747e-01
78.0000 42.01 35 1.2003 1.932017e-01
79.0000 42.10 35 1.2030 1.904835e-01
80.0000 42.20 35 1.2056 1.878189e-01
81.0000 42.29 35 1.2083 1.852071e-01
82.0000 42.38 35 1.2109 1.826468e-01
83.0000 42.47 35 1.2135 1.801372e-01
84.0000 42.56 35 1.2160 1.776771e-01
85.0000 42.65 35 1.2186 1.752656e-01
86.0000 42.74 35 1.2211 1.729017e-01
87.0000 42.83 35 1.2236 1.705844e-01
88.0000 42.91 35 1.2260 1.683127e-01
89.0000 43.00 35 1.2285 1.660857e-01
90.0000 43.08 35 1.2309 1.639024e-01
91.0000 43.16 35 1.2333 1.617618e-01
92.0000 43.25 35 1.2356 1.596632e-01
93.0000 43.33 35 1.2380 1.576055e-01
94.0000 43.41 35 1.2403 1.555878e-01
95.0000 43.49 35 1.2426 1.536094e-01
96.0000 43.57 35 1.2449 1.516693e-01
97.0000 43.65 35 1.2471 1.497668e-01
98.0000 43.73 35 1.2494 1.479009e-01
99.0000 43.80 35 1.2516 1.460709e-01
100.0000 43.88 35 1.2538 1.442760e-01
