Radius_m Chi2 DF Reduced_Chi2 P_Value
1.0000 34.37 35 0.9819 4.985824e-01
2.0000 34.36 35 0.9817 4.988004e-01
3.0000 34.37 35 0.9819 4.984530e-01
4.0000 34.40 35 0.9828 4.970353e-01
5.0000 34.45 35 0.9842 4.945579e-01
6.0000 34.52 35 0.9863 4.911074e-01
7.0000 34.60 35 0.9887 4.870820e-01
8.0000 34.69 35 0.9912 4.829356e-01
9.0000 34.77 35 0.9935 4.790271e-01
10.0000 34.84 35 0.9956 4.755804e-01
11.0000 34.91 35 0.9973 4.726922e-01
12.0000 34.95 35 0.9987 4.703613e-01
13.0000 34.99 35 0.9998 4.685219e-01
14.0000 35.02 35 1.0007 4.670723e-01
15.0000 35.05 35 1.0014 4.658965e-01
16.0000 35.07 35 1.0020 4.648791e-01
17.0000 35.09 35 1.0026 4.639144e-01
18.0000 35.11 35 1.0032 4.629115e-01
19.0000 35.14 35 1.0039 4.617955e-01
20.0000 35.16 35 1.0046 4.605068e-01
21.0000 35.19 35 1.0056 4.590001e-01
22.0000 35.23 35 1.0066 4.572417e-01
23.0000 35.27 35 1.0079 4.552078e-01
24.0000 35.32 35 1.0093 4.528823e-01
25.0000 35.38 35 1.0109 4.502551e-01
26.0000 35.44 35 1.0127 4.473211e-01
27.0000 35.51 35 1.0146 4.440785e-01
28.0000 35.59 35 1.0168 4.405287e-01
29.0000 35.67 35 1.0192 4.366754e-01
30.0000 35.76 35 1.0217 4.325239e-01
31.0000 35.86 35 1.0245 4.280813e-01
32.0000 35.96 35 1.0274 4.233562e-01
33.0000 36.07 35 1.0305 4.183581e-01
34.0000 36.18 35 1.0338 4.130979e-01
35.0000 36.31 35 1.0373 4.075875e-01
36.0000 36.43 35 1.0410 4.018399e-01
37.0000 36.57 35 1.0448 3.958689e-01
38.0000 36.71 35 1.0487 3.896893e-01
39.0000 36.85 35 1.0529 3.833165e-01
40.0000 37.00 35 1.0571 3.767666e-01
41.0000 37.15 35 1.0615 3.700564e-01
42.0000 37.31 35 1.0661 3.632032e-01
43.0000 37.48 35 1.0707 3.562244e-01
44.0000 37.64 35 1.0755 3.491378e-01
45.0000 37.82 35 1.0804 3.419612e-01
46.0000 37.99 35 1.0854 3.347125e-01
47.0000 38.17 35 1.0905 3.274092e-01
48.0000 38.35 35 1.0957 3.200687e-01
49.0000 38.53 35 1.1010 3.127078e-01
50.0000 38.72 35 1.1063 3.053431e-01
51.0000 38.91 35 1.1117 2.979902e-01
52.0000 39.10 35 1.1172 2.906643e-01
53.0000 39.30 35 1.1227 2.833797e-01
54.0000 39.49 35 1.1283 2.761499e-01
55.0000 39.69 35 1.1339 2.689875e-01
56.0000 39.88 35 1.1395 2.619043e-01
57.0000 40.08 35 1.1452 2.549110e-01
58.0000 40.28 35 1.1509 2.480174e-01
59.0000 40.48 35 1.1566 2.412324e-01
60.0000 40.68 35 1.1622 2.345638e-01
61.0000 40.88 35 1.1679 2.280188e-01
62.0000 41.08 35 1.1736 2.216034e-01
63.0000 41.28 35 1.1793 2.153228e-01
64.0000 41.47 35 1.1850 2.091813e-01
65.0000 41.67 35 1.1906 2.031824e-01
66.0000 41.87 35 1.1962 1.973291e-01
67.0000 42.06 35 1.2018 1.916234e-01
68.0000 42.26 35 1.2074 1.860667e-01
69.0000 42.45 35 1.2129 1.806599e-01
70.0000 42.64 35 1.2184 1.754030e-01
71.0000 42.84 35 1.2239 1.702960e-01
72.0000 43.03 35 1.2293 1.653381e-01
73.0000 43.21 35 1.2347 1.605280e-01
74.0000 43.40 35 1.2400 1.558642e-01
75.0000 43.58 35 1.2453 1.513449e-01
76.0000 43.77 35 1.2505 1.469678e-01
77.0000 43.95 35 1.2557 1.427306e-01
78.0000 44.13 35 1.2608 1.386306e-01
79.0000 44.30 35 1.2658 1.346649e-01
80.0000 44.48 35 1.2708 1.308305e-01
81.0000 44.65 35 1.2758 1.271244e-01
82.0000 44.82 35 1.2807 1.235433e-01
83.0000 44.99 35 1.2855 1.200839e-01
84.0000 45.16 35 1.2903 1.167429e-01
85.0000 45.32 35 1.2950 1.135169e-01
86.0000 45.49 35 1.2996 1.104025e-01
87.0000 45.65 35 1.3042 1.073963e-01
88.0000 45.81 35 1.3087 1.044948e-01
89.0000 45.96 35 1.3132 1.016949e-01
90.0000 46.12 35 1.3176 9.899309e-02
91.0000 46.27 35 1.3220 9.638615e-02
92.0000 46.42 35 1.3262 9.387085e-02
93.0000 46.57 35 1.3305 9.144404e-02
94.0000 46.71 35 1.3346 8.910261e-02
95.0000 46.86 35 1.3387 8.684355e-02
96.0000 47.00 35 1.3428 8.466389e-02
97.0000 47.14 35 1.3468 8.256078e-02
98.0000 47.27 35 1.3507 8.053141e-02
99.0000 47.41 35 1.3545 7.857307e-02
100.0000 47.54 35 1.3583 7.668312e-02
