Radius_m Chi2 DF Reduced_Chi2 P_Value
1.0000 34.37 35 0.9819 4.985816e-01
2.0000 34.37 35 0.9819 4.985816e-01
3.0000 34.32 35 0.9806 5.007428e-01
4.0000 34.40 35 0.9827 4.971266e-01
5.0000 34.48 35 0.9851 4.931737e-01
6.0000 34.49 35 0.9853 4.927029e-01
7.0000 34.56 35 0.9873 4.894270e-01
8.0000 34.69 35 0.9912 4.829611e-01
9.0000 34.92 35 0.9978 4.718104e-01
10.0000 35.14 35 1.0039 4.617305e-01
11.0000 35.30 35 1.0086 4.539027e-01
12.0000 35.37 35 1.0107 4.505594e-01
13.0000 35.45 35 1.0129 4.468857e-01
14.0000 35.51 35 1.0145 4.443820e-01
15.0000 35.63 35 1.0180 4.386212e-01
16.0000 35.76 35 1.0218 4.323798e-01
17.0000 35.73 35 1.0209 4.339192e-01
18.0000 35.56 35 1.0161 4.416467e-01
19.0000 35.40 35 1.0115 4.492021e-01
20.0000 35.27 35 1.0078 4.553446e-01
21.0000 35.22 35 1.0063 4.577540e-01
22.0000 35.28 35 1.0079 4.551992e-01
23.0000 35.30 35 1.0085 4.540694e-01
24.0000 35.24 35 1.0068 4.568735e-01
25.0000 35.16 35 1.0046 4.606615e-01
26.0000 35.17 35 1.0050 4.599667e-01
27.0000 35.18 35 1.0052 4.595728e-01
28.0000 35.21 35 1.0061 4.581186e-01
29.0000 35.24 35 1.0069 4.567875e-01
30.0000 35.28 35 1.0081 4.547850e-01
31.0000 35.37 35 1.0106 4.506675e-01
32.0000 35.47 35 1.0135 4.459139e-01
33.0000 35.58 35 1.0167 4.407742e-01
34.0000 35.74 35 1.0212 4.334552e-01
35.0000 35.96 35 1.0274 4.233598e-01
36.0000 36.19 35 1.0341 4.126347e-01
37.0000 36.41 35 1.0404 4.027123e-01
38.0000 36.63 35 1.0466 3.930041e-01
39.0000 36.84 35 1.0526 3.836565e-01
40.0000 37.06 35 1.0588 3.742380e-01
41.0000 37.25 35 1.0643 3.658389e-01
42.0000 37.45 35 1.0700 3.573253e-01
43.0000 37.67 35 1.0762 3.481572e-01
44.0000 37.90 35 1.0829 3.384228e-01
45.0000 38.12 35 1.0890 3.295560e-01
46.0000 38.37 35 1.0963 3.192734e-01
47.0000 38.66 35 1.1046 3.076600e-01
48.0000 38.96 35 1.1132 2.960837e-01
49.0000 39.22 35 1.1207 2.860448e-01
50.0000 39.47 35 1.1278 2.768436e-01
51.0000 39.78 35 1.1366 2.655630e-01
52.0000 40.12 35 1.1462 2.536948e-01
53.0000 40.46 35 1.1559 2.420441e-01
54.0000 40.79 35 1.1653 2.309872e-01
55.0000 41.07 35 1.1733 2.219375e-01
56.0000 41.36 35 1.1816 2.128267e-01
57.0000 41.66 35 1.1904 2.033793e-01
58.0000 42.01 35 1.2003 1.932114e-01
59.0000 42.43 35 1.2123 1.812934e-01
60.0000 42.85 35 1.2244 1.698406e-01
61.0000 43.26 35 1.2359 1.594429e-01
62.0000 43.67 35 1.2478 1.491819e-01
63.0000 44.07 35 1.2593 1.398142e-01
64.0000 44.49 35 1.2713 1.305011e-01
65.0000 44.92 35 1.2833 1.216262e-01
66.0000 45.35 35 1.2958 1.129910e-01
67.0000 45.80 35 1.3087 1.045208e-01
68.0000 46.27 35 1.3219 9.644289e-02
69.0000 46.74 35 1.3353 8.870390e-02
70.0000 47.18 35 1.3480 8.191350e-02
71.0000 47.64 35 1.3612 7.527550e-02
72.0000 48.16 35 1.3760 6.841454e-02
73.0000 48.66 35 1.3904 6.221585e-02
74.0000 49.15 35 1.4042 5.676446e-02
75.0000 49.59 35 1.4168 5.214074e-02
76.0000 50.01 35 1.4289 4.797434e-02
77.0000 50.49 35 1.4426 4.366500e-02
78.0000 51.00 35 1.4571 3.944822e-02
79.0000 51.50 35 1.4713 3.565009e-02
80.0000 51.98 35 1.4851 3.230432e-02
81.0000 52.42 35 1.4978 2.945617e-02
82.0000 52.87 35 1.5106 2.682544e-02
83.0000 53.28 35 1.5223 2.458637e-02
84.0000 53.65 35 1.5329 2.272907e-02
85.0000 54.01 35 1.5431 2.104973e-02
86.0000 54.33 35 1.5522 1.963864e-02
87.0000 54.64 35 1.5611 1.835046e-02
88.0000 54.91 35 1.5689 1.728941e-02
89.0000 55.17 35 1.5762 1.634355e-02
90.0000 55.45 35 1.5844 1.533752e-02
91.0000 55.75 35 1.5929 1.434583e-02
92.0000 56.03 35 1.6008 1.348789e-02
93.0000 56.28 35 1.6081 1.273572e-02
94.0000 56.54 35 1.6154 1.201852e-02
95.0000 56.77 35 1.6221 1.139495e-02
96.0000 56.99 35 1.6284 1.083587e-02
97.0000 57.18 35 1.6338 1.037168e-02
98.0000 57.36 35 1.6387 9.968296e-03
99.0000 57.51 35 1.6432 9.618512e-03
100.0000 57.63 35 1.6465 9.362687e-03
