Height_m Chi2 DF P_Value
0.0000 34.41 35 4.963860e-01
0.1000 34.50 35 4.920393e-01
0.2000 34.61 35 4.867534e-01
0.3000 34.77 35 4.790010e-01
0.4000 34.96 35 4.700113e-01
0.5000 35.16 35 4.606870e-01
0.6000 35.37 35 4.509720e-01
0.7000 35.56 35 4.419627e-01
0.8000 35.72 35 4.344833e-01
0.9000 35.84 35 4.288256e-01
1.0000 35.93 35 4.245807e-01
1.1000 36.01 35 4.210841e-01
1.2000 36.08 35 4.179189e-01
1.3000 36.15 35 4.148815e-01
1.4000 36.21 35 4.118639e-01
1.5000 36.28 35 4.086262e-01
1.6000 36.36 35 4.049477e-01
1.7000 36.46 35 4.006291e-01
1.8000 36.57 35 3.957152e-01
1.9000 36.70 35 3.901587e-01
2.0000 36.83 35 3.841517e-01
2.1000 36.98 35 3.778075e-01
2.2000 37.13 35 3.711031e-01
2.3000 37.29 35 3.641848e-01
2.4000 37.46 35 3.569125e-01
2.5000 37.64 35 3.494642e-01
2.6000 37.81 35 3.419696e-01
2.7000 38.00 35 3.343932e-01
2.8000 38.18 35 3.267975e-01
2.9000 38.37 35 3.192534e-01
3.0000 38.56 35 3.117679e-01
3.1000 38.74 35 3.044557e-01
3.2000 38.93 35 2.972958e-01
3.3000 39.11 35 2.903092e-01
3.4000 39.29 35 2.834942e-01
3.5000 39.47 35 2.769724e-01
3.6000 39.64 35 2.705856e-01
3.7000 39.81 35 2.644659e-01
3.8000 39.98 35 2.585474e-01
3.9000 40.14 35 2.528226e-01
4.0000 40.30 35 2.473163e-01
4.1000 40.46 35 2.420204e-01
4.2000 40.61 35 2.369757e-01
4.3000 40.75 35 2.321021e-01
4.4000 40.90 35 2.274491e-01
4.5000 41.03 35 2.230254e-01
4.6000 41.16 35 2.188077e-01
4.7000 41.29 35 2.147749e-01
4.8000 41.42 35 2.109757e-01
4.9000 41.53 35 2.073552e-01
5.0000 41.65 35 2.039095e-01
5.1000 41.75 35 2.006832e-01
5.2000 41.86 35 1.976487e-01
5.3000 41.96 35 1.947289e-01
5.4000 42.05 35 1.920354e-01
5.5000 42.14 35 1.894583e-01
5.6000 42.22 35 1.870708e-01
5.7000 42.30 35 1.848371e-01
5.8000 42.38 35 1.827222e-01
5.9000 42.45 35 1.807774e-01
6.0000 42.51 35 1.789467e-01
6.1000 42.58 35 1.772677e-01
6.2000 42.63 35 1.757160e-01
