Height_m Chi2 DF P_Value
0.0000 34.42 35 4.958055e-01
0.1000 34.53 35 4.907230e-01
0.2000 34.66 35 4.843439e-01
0.3000 34.85 35 4.752189e-01
0.4000 35.07 35 4.646878e-01
0.5000 35.31 35 4.536788e-01
0.6000 35.55 35 4.421646e-01
0.7000 35.79 35 4.313529e-01
0.8000 35.99 35 4.221683e-01
0.9000 36.14 35 4.149411e-01
1.0000 36.27 35 4.092417e-01
1.1000 36.38 35 4.043339e-01
1.2000 36.48 35 3.997533e-01
1.3000 36.58 35 3.952673e-01
1.4000 36.68 35 3.907622e-01
1.5000 36.79 35 3.859460e-01
1.6000 36.91 35 3.805840e-01
1.7000 37.05 35 3.744378e-01
1.8000 37.21 35 3.675801e-01
1.9000 37.39 35 3.599452e-01
2.0000 37.58 35 3.517667e-01
2.1000 37.79 35 3.431890e-01
2.2000 38.00 35 3.341804e-01
2.3000 38.23 35 3.249445e-01
2.4000 38.47 35 3.153045e-01
2.5000 38.72 35 3.055028e-01
2.6000 38.97 35 2.957053e-01
2.7000 39.23 35 2.858719e-01
2.8000 39.49 35 2.760855e-01
2.9000 39.76 35 2.664383e-01
3.0000 40.02 35 2.569425e-01
3.1000 40.29 35 2.477419e-01
3.2000 40.55 35 2.388092e-01
3.3000 40.81 35 2.301703e-01
3.4000 41.07 35 2.218234e-01
3.5000 41.32 35 2.139102e-01
3.6000 41.57 35 2.062393e-01
3.7000 41.81 35 1.989673e-01
3.8000 42.05 35 1.920096e-01
3.9000 42.28 35 1.853519e-01
4.0000 42.51 35 1.790202e-01
4.1000 42.73 35 1.729992e-01
4.2000 42.95 35 1.673282e-01
4.3000 43.16 35 1.619113e-01
4.4000 43.36 35 1.567989e-01
4.5000 43.56 35 1.519926e-01
4.6000 43.75 35 1.474614e-01
4.7000 43.93 35 1.431754e-01
4.8000 44.10 35 1.391832e-01
4.9000 44.27 35 1.354164e-01
5.0000 44.43 35 1.318714e-01
5.1000 44.58 35 1.285853e-01
5.2000 44.73 35 1.255266e-01
5.3000 44.87 35 1.226110e-01
5.4000 45.00 35 1.199467e-01
5.5000 45.13 35 1.174217e-01
5.6000 45.24 35 1.151029e-01
5.7000 45.35 35 1.129526e-01
5.8000 45.46 35 1.109342e-01
5.9000 45.56 35 1.090935e-01
6.0000 45.65 35 1.073746e-01
6.1000 45.73 35 1.058101e-01
6.2000 45.81 35 1.043761e-01
6.3000 45.89 35 1.030324e-01
6.4000 45.96 35 1.018252e-01
6.5000 46.02 35 1.007197e-01
6.6000 46.08 35 9.970209e-02
6.7000 46.13 35 9.878443e-02
6.8000 46.18 35 9.794048e-02
6.9000 46.22 35 9.718213e-02
7.0000 46.26 35 9.650042e-02
7.1000 46.30 35 9.587705e-02
7.2000 46.33 35 9.532079e-02
7.3000 46.36 35 9.482720e-02
7.4000 46.39 35 9.438766e-02
7.5000 46.41 35 9.399477e-02
7.6000 46.43 35 9.364766e-02
7.7000 46.45 35 9.334249e-02
7.8000 46.47 35 9.307367e-02
7.9000 46.48 35 9.283574e-02
8.0000 46.49 35 9.263349e-02
8.1000 46.50 35 9.245641e-02
8.2000 46.51 35 9.230577e-02
8.3000 46.52 35 9.217306e-02
8.4000 46.53 35 9.206058e-02
8.5000 46.53 35 9.196548e-02
8.6000 46.54 35 9.188465e-02
8.7000 46.54 35 9.181496e-02
8.8000 46.55 35 9.176064e-02
8.9000 46.55 35 9.171529e-02
9.0000 46.55 35 9.167868e-02
9.1000 46.55 35 9.164861e-02
9.2000 46.56 35 9.162816e-02
9.3000 46.56 35 9.161233e-02
9.4000 46.56 35 9.160058e-02
9.5000 46.56 35 9.159289e-02
9.6000 46.56 35 9.158836e-02
9.7000 46.56 35 9.158568e-02
9.8000 46.56 35 9.158425e-02
9.9000 46.56 35 9.158379e-02
10.0000 46.56 35 9.158379e-02
10.1000 46.56 35 9.158379e-02
10.2000 46.56 35 9.158379e-02
10.3000 46.56 35 9.158379e-02
10.4000 46.56 35 9.158379e-02
10.5000 46.56 35 9.158379e-02
10.6000 46.56 35 9.158379e-02
10.7000 46.56 35 9.158379e-02
10.8000 46.56 35 9.158379e-02
10.9000 46.56 35 9.158379e-02
11.0000 46.56 35 9.158379e-02
11.1000 46.56 35 9.158379e-02
11.2000 46.56 35 9.158379e-02
11.3000 46.56 35 9.158379e-02
11.4000 46.56 35 9.158379e-02
11.5000 46.56 35 9.158379e-02
11.6000 46.56 35 9.158379e-02
11.7000 46.56 35 9.158379e-02
11.8000 46.56 35 9.158379e-02
11.9000 46.56 35 9.158379e-02
12.0000 46.56 35 9.158379e-02
12.1000 46.56 35 9.158379e-02
12.2000 46.56 35 9.158379e-02
12.3000 46.56 35 9.158379e-02
12.4000 46.56 35 9.158379e-02
12.5000 46.56 35 9.158379e-02
12.6000 46.56 35 9.158379e-02
12.7000 46.56 35 9.158379e-02
12.8000 46.56 35 9.158379e-02
12.9000 46.56 35 9.158379e-02
13.0000 46.56 35 9.158379e-02
13.1000 46.56 35 9.158379e-02
13.2000 46.56 35 9.158379e-02
13.3000 46.56 35 9.158379e-02
13.4000 46.56 35 9.158379e-02
13.5000 46.56 35 9.158379e-02
13.6000 46.56 35 9.158379e-02
13.7000 46.56 35 9.158379e-02
13.8000 46.56 35 9.158379e-02
13.9000 46.56 35 9.158379e-02
14.0000 46.56 35 9.158379e-02
14.1000 46.56 35 9.158379e-02
14.2000 46.56 35 9.158379e-02
14.3000 46.56 35 9.158379e-02
14.4000 46.56 35 9.158379e-02
14.5000 46.56 35 9.158379e-02
14.6000 46.56 35 9.158379e-02
14.7000 46.56 35 9.158379e-02
14.8000 46.56 35 9.158379e-02
14.9000 46.56 35 9.158379e-02
15.0000 46.56 35 9.158379e-02
