Height_m Chi2 DF P_Value
0.0000 34.45 35 4.943096e-01
0.1000 34.58 35 4.882313e-01
0.2000 34.75 35 4.798754e-01
0.3000 34.99 35 4.684667e-01
0.4000 35.27 35 4.555240e-01
0.5000 35.55 35 4.421425e-01
0.6000 35.85 35 4.281859e-01
0.7000 36.15 35 4.148479e-01
0.8000 36.40 35 4.031354e-01
0.9000 36.62 35 3.934441e-01
1.0000 36.81 35 3.852933e-01
1.1000 36.97 35 3.779016e-01
1.2000 37.14 35 3.708055e-01
1.3000 37.30 35 3.637869e-01
1.4000 37.46 35 3.567224e-01
1.5000 37.64 35 3.492732e-01
1.6000 37.83 35 3.412187e-01
1.7000 38.05 35 3.323280e-01
1.8000 38.29 35 3.226770e-01
1.9000 38.55 35 3.121762e-01
2.0000 38.83 35 3.010768e-01
2.1000 39.13 35 2.895604e-01
2.2000 39.45 35 2.775772e-01
2.3000 39.79 35 2.653739e-01
2.4000 40.14 35 2.527597e-01
2.5000 40.51 35 2.400403e-01
2.6000 40.90 35 2.273969e-01
2.7000 41.29 35 2.148062e-01
2.8000 41.70 35 2.023694e-01
2.9000 42.11 35 1.902008e-01
3.0000 42.54 35 1.783457e-01
3.1000 42.96 35 1.669566e-01
3.2000 43.39 35 1.560075e-01
3.3000 43.83 35 1.455554e-01
3.4000 44.26 35 1.355877e-01
3.5000 44.69 35 1.262722e-01
3.6000 45.13 35 1.173857e-01
3.7000 45.56 35 1.091042e-01
3.8000 45.98 35 1.013327e-01
3.9000 46.41 35 9.404927e-02
4.0000 46.83 35 8.727282e-02
4.1000 47.24 35 8.096944e-02
4.2000 47.65 35 7.517517e-02
4.3000 48.05 35 6.976827e-02
4.4000 48.45 35 6.478885e-02
4.5000 48.84 35 6.022844e-02
4.6000 49.21 35 5.603471e-02
4.7000 49.58 35 5.216905e-02
4.8000 49.94 35 4.865112e-02
4.9000 50.29 35 4.542589e-02
5.0000 50.63 35 4.245963e-02
5.1000 50.96 35 3.978043e-02
5.2000 51.27 35 3.734116e-02
5.3000 51.58 35 3.507600e-02
5.4000 51.87 35 3.305377e-02
5.5000 52.15 35 3.117713e-02
5.6000 52.42 35 2.949128e-02
5.7000 52.67 35 2.795844e-02
5.8000 52.92 35 2.654730e-02
5.9000 53.15 35 2.528321e-02
6.0000 53.37 35 2.412246e-02
6.1000 53.58 35 2.308388e-02
6.2000 53.77 35 2.214290e-02
6.3000 53.96 35 2.127278e-02
6.4000 54.13 35 2.050090e-02
6.5000 54.29 35 1.980123e-02
6.6000 54.44 35 1.916243e-02
6.7000 54.58 35 1.859158e-02
6.8000 54.71 35 1.806841e-02
6.9000 54.83 35 1.760143e-02
7.0000 54.94 35 1.718233e-02
7.1000 55.04 35 1.679956e-02
7.2000 55.13 35 1.645836e-02
7.3000 55.22 35 1.615588e-02
7.4000 55.29 35 1.588532e-02
7.5000 55.36 35 1.564265e-02
7.6000 55.43 35 1.542744e-02
7.7000 55.48 35 1.523724e-02
7.8000 55.53 35 1.506860e-02
7.9000 55.58 35 1.491767e-02
8.0000 55.62 35 1.478868e-02
8.1000 55.65 35 1.467483e-02
8.2000 55.68 35 1.457692e-02
8.3000 55.71 35 1.448983e-02
8.4000 55.73 35 1.441558e-02
8.5000 55.75 35 1.435232e-02
8.6000 55.77 35 1.429799e-02
8.7000 55.78 35 1.425072e-02
8.8000 55.79 35 1.421372e-02
8.9000 55.80 35 1.418258e-02
9.0000 55.81 35 1.415713e-02
9.1000 55.82 35 1.413598e-02
9.2000 55.82 35 1.412150e-02
9.3000 55.83 35 1.411016e-02
9.4000 55.83 35 1.410161e-02
9.5000 55.83 35 1.409595e-02
9.6000 55.83 35 1.409258e-02
9.7000 55.83 35 1.409055e-02
9.8000 55.83 35 1.408944e-02
9.9000 55.83 35 1.408907e-02
10.0000 55.83 35 1.408907e-02
10.1000 55.83 35 1.408907e-02
10.2000 55.83 35 1.408907e-02
10.3000 55.83 35 1.408907e-02
10.4000 55.83 35 1.408907e-02
10.5000 55.83 35 1.408907e-02
10.6000 55.83 35 1.408907e-02
10.7000 55.83 35 1.408907e-02
10.8000 55.83 35 1.408907e-02
10.9000 55.83 35 1.408907e-02
11.0000 55.83 35 1.408907e-02
11.1000 55.83 35 1.408907e-02
11.2000 55.83 35 1.408907e-02
11.3000 55.83 35 1.408907e-02
11.4000 55.83 35 1.408907e-02
11.5000 55.83 35 1.408907e-02
11.6000 55.83 35 1.408907e-02
11.7000 55.83 35 1.408907e-02
11.8000 55.83 35 1.408907e-02
11.9000 55.83 35 1.408907e-02
12.0000 55.83 35 1.408907e-02
12.1000 55.83 35 1.408907e-02
12.2000 55.83 35 1.408907e-02
12.3000 55.83 35 1.408907e-02
12.4000 55.83 35 1.408907e-02
12.5000 55.83 35 1.408907e-02
12.6000 55.83 35 1.408907e-02
12.7000 55.83 35 1.408907e-02
12.8000 55.83 35 1.408907e-02
12.9000 55.83 35 1.408907e-02
13.0000 55.83 35 1.408907e-02
13.1000 55.83 35 1.408907e-02
13.2000 55.83 35 1.408907e-02
13.3000 55.83 35 1.408907e-02
13.4000 55.83 35 1.408907e-02
13.5000 55.83 35 1.408907e-02
13.6000 55.83 35 1.408907e-02
13.7000 55.83 35 1.408907e-02
13.8000 55.83 35 1.408907e-02
13.9000 55.83 35 1.408907e-02
14.0000 55.83 35 1.408907e-02
14.1000 55.83 35 1.408907e-02
14.2000 55.83 35 1.408907e-02
14.3000 55.83 35 1.408907e-02
14.4000 55.83 35 1.408907e-02
14.5000 55.83 35 1.408907e-02
14.6000 55.83 35 1.408907e-02
14.7000 55.83 35 1.408907e-02
14.8000 55.83 35 1.408907e-02
14.9000 55.83 35 1.408907e-02
15.0000 55.83 35 1.408907e-02
