Angle;Time_Minutes;Counts_34f
0;0;0
1;294.408;19
2;451.363;43
3;515.633;46
4;518.058;39
5;513.584;27
6;516.709;54
7;515.899;48
8;515.957;32
9;513.756;39
10;518.436;44
11;515.054;48
12;516.733;38
13;513.307;40
14;517.807;45
15;516.8;47
16;514.904;39
17;516.396;49
18;515.548;44
19;517.716;38
20;513.38;49
21;510.201;52
22;510.151;46
23;508.612;41
24;511.246;57
25;509.802;46
26;510.471;40
27;509.714;49
28;508.749;37
29;509.868;44
30;511.529;40
31;507.648;49
32;512.216;42
33;512.628;33
34;513.244;42
35;514.709;39
36;509.933;40
37;514.901;49
38;513.35;46
39;512.538;42
40;514.269;37
41;509.706;36
42;515.468;55
43;513.455;39
44;513.539;41
45;512.235;39
46;512.702;36
47;515.468;40
48;510.519;45
49;514.532;46
50;511.233;43
51;512.829;49
52;514.247;41
53;513.121;49
54;512.318;37
55;511.866;37
56;515.038;43
57;512.014;44
58;513.128;34
59;514.336;43
60;510.949;40
61;512.066;41
62;514.384;48
63;514.25;39
64;511.487;40
65;513.281;40
66;511.81;35
67;515.121;53
68;512.335;38
69;511.557;37
70;513.806;37
71;513.964;35
72;513.08;37
73;512.797;31
74;512.204;46
75;513.408;39
76;512.779;45
77;512.637;34
78;513.105;39
79;514.32;37
80;511.808;36
81;511.117;36
82;508.887;44
83;504.718;45
84;506.399;48
85;509.16;46
86;505.527;34
87;507.275;40
88;507.022;43
89;509.091;43
90;503.731;32
91;509.039;44
92;508.444;45
93;505.884;51
94;505.516;47
95;508.38;40
96;507.158;39
97;506.431;38
98;505.253;39
99;507.131;26
100;508.451;51
101;506.901;43
102;505.219;34
103;506.964;44
104;507.389;39
105;508.155;44
106;507.213;31
107;508.9;37
108;506.936;40
109;507.834;43
110;504.7;32
111;507.03;39
112;506.828;52
113;506.664;50
114;507.198;52
115;505.189;44
116;508.997;33
117;506.719;61
118;508.09;58
119;505.768;42
120;506.309;54
121;501.914;50
122;500.119;34
123;494.985;38
124;493.747;69
125;495.768;45
126;492.732;32
127;497.94;46
128;497.214;49
129;497.806;51
130;499.738;45
131;496.027;41
132;499.732;44
133;501.428;35
134;499.947;42
135;501.407;38
136;497.164;47
137;497.911;48
138;497.481;55
139;499.582;45
140;498.222;39
141;499.693;37
142;506.254;55
143;503.893;44
144;504.238;30
145;502.967;45
146;505.104;42
147;503.964;40
148;502.627;39
149;503.923;44
150;503.77;33
151;504.922;47
152;504.539;37
153;504.166;29
154;503.648;37
155;505.786;34
156;500.882;40
157;505.16;35
158;503.774;41
159;505.046;33
160;501.693;37
161;504.002;51
162;504.551;50
163;504.99;43
164;503.462;46
165;504.028;37
166;503.378;43
167;504.533;41
168;504.641;41
169;502.635;47
170;506.021;31
171;503.032;44
172;506.604;57
173;500.399;56
174;508.585;40
175;510.122;55
176;506.03;32
177;508.707;38
178;505.309;42
179;442.893;27
180;279.519;17
