Angle;Time_Minutes;Counts_34f
0;0;0
1;294.408;35
2;451.363;44
3;515.633;27
4;518.058;39
5;513.584;40
6;516.709;33
7;515.899;42
8;515.957;44
9;513.756;28
10;518.436;34
11;515.054;53
12;516.733;32
13;513.307;19
14;517.807;47
15;516.8;33
16;514.904;39
17;516.396;49
18;515.548;34
19;517.716;33
20;513.38;46
21;510.201;35
22;510.151;46
23;508.612;43
24;511.246;56
25;509.802;41
26;510.471;49
27;509.714;49
28;508.749;43
29;509.868;42
30;511.529;43
31;507.648;42
32;512.216;50
33;512.628;49
34;513.244;43
35;514.709;37
36;509.933;43
37;514.901;49
38;513.35;53
39;512.538;59
40;514.269;42
41;509.706;42
42;515.468;34
43;513.455;32
44;513.539;38
45;512.235;39
46;512.702;48
47;515.468;45
48;510.519;41
49;514.532;46
50;511.233;41
51;512.829;28
52;514.247;34
53;513.121;35
54;512.318;41
55;511.866;30
56;515.038;45
57;512.014;54
58;513.128;42
59;514.336;46
60;510.949;40
61;512.066;39
62;514.384;44
63;514.25;35
64;511.487;34
65;513.281;44
66;511.81;46
67;515.121;42
68;512.335;38
69;511.557;45
70;513.806;50
71;513.964;45
72;513.08;40
73;512.797;51
74;512.204;42
75;513.408;45
76;512.779;50
77;512.637;44
78;513.105;38
79;514.32;40
80;511.808;44
81;511.117;35
82;508.887;30
83;504.718;42
84;506.399;34
85;509.16;53
86;505.527;56
87;507.275;39
88;507.022;46
89;509.091;30
90;503.731;42
91;509.039;31
92;508.444;36
93;505.884;46
94;505.516;44
95;508.38;33
96;507.158;42
97;506.431;45
98;505.253;44
99;507.131;27
100;508.451;45
101;506.901;47
102;505.219;38
103;506.964;53
104;507.389;36
105;508.155;46
106;507.213;43
107;508.9;42
108;506.936;47
109;507.834;49
110;504.7;36
111;507.03;34
112;506.828;31
113;506.664;33
114;507.198;51
115;505.189;47
116;508.997;51
117;506.719;49
118;508.09;34
119;505.768;41
120;506.309;53
121;501.914;41
122;500.119;32
123;494.985;37
124;493.747;58
125;495.768;40
126;492.732;36
127;497.94;52
128;497.214;59
129;497.806;38
130;499.738;40
131;496.027;37
132;499.732;40
133;501.428;33
134;499.947;37
135;501.407;43
136;497.164;53
137;497.911;43
138;497.481;52
139;499.582;43
140;498.222;42
141;499.693;52
142;506.254;47
143;503.893;51
144;504.238;42
145;502.967;51
146;505.104;46
147;503.964;42
148;502.627;36
149;503.923;38
150;503.77;47
151;504.922;43
152;504.539;43
153;504.166;50
154;503.648;48
155;505.786;37
156;500.882;37
157;505.16;46
158;503.774;25
159;505.046;44
160;501.693;45
161;504.002;41
162;504.551;35
163;504.99;39
164;503.462;38
165;504.028;38
166;503.378;36
167;504.533;37
168;504.641;27
169;502.635;42
170;506.021;53
171;503.032;43
172;506.604;40
173;500.399;25
174;508.585;36
175;510.122;32
176;506.03;32
177;508.707;40
178;505.309;35
179;442.893;38
180;279.519;26
