Angle;Time_Minutes;Counts_34f
0;0;0
1;294.408;27
2;451.363;38
3;515.633;39
4;518.058;47
5;513.584;51
6;516.709;42
7;515.899;47
8;515.957;34
9;513.756;38
10;518.436;39
11;515.054;57
12;516.733;32
13;513.307;43
14;517.807;32
15;516.8;34
16;514.904;43
17;516.396;33
18;515.548;38
19;517.716;32
20;513.38;43
21;510.201;41
22;510.151;35
23;508.612;49
24;511.246;32
25;509.802;49
26;510.471;42
27;509.714;34
28;508.749;54
29;509.868;36
30;511.529;44
31;507.648;30
32;512.216;45
33;512.628;38
34;513.244;55
35;514.709;42
36;509.933;32
37;514.901;52
38;513.35;40
39;512.538;50
40;514.269;54
41;509.706;46
42;515.468;47
43;513.455;41
44;513.539;42
45;512.235;48
46;512.702;37
47;515.468;51
48;510.519;38
49;514.532;30
50;511.233;47
51;512.829;41
52;514.247;35
53;513.121;36
54;512.318;40
55;511.866;51
56;515.038;47
57;512.014;55
58;513.128;45
59;514.336;42
60;510.949;46
61;512.066;41
62;514.384;53
63;514.25;47
64;511.487;35
65;513.281;52
66;511.81;31
67;515.121;39
68;512.335;48
69;511.557;54
70;513.806;37
71;513.964;34
72;513.08;46
73;512.797;44
74;512.204;34
75;513.408;46
76;512.779;33
77;512.637;44
78;513.105;43
79;514.32;39
80;511.808;34
81;511.117;45
82;508.887;46
83;504.718;38
84;506.399;39
85;509.16;36
86;505.527;47
87;507.275;40
88;507.022;41
89;509.091;29
90;503.731;41
91;509.039;54
92;508.444;40
93;505.884;40
94;505.516;46
95;508.38;45
96;507.158;40
97;506.431;43
98;505.253;38
99;507.131;48
100;508.451;33
101;506.901;35
102;505.219;38
103;506.964;38
104;507.389;37
105;508.155;35
106;507.213;41
107;508.9;26
108;506.936;35
109;507.834;40
110;504.7;44
111;507.03;43
112;506.828;45
113;506.664;40
114;507.198;29
115;505.189;39
116;508.997;38
117;506.719;44
118;508.09;35
119;505.768;50
120;506.309;43
121;501.914;45
122;500.119;49
123;494.985;46
124;493.747;49
125;495.768;51
126;492.732;38
127;497.94;49
128;497.214;41
129;497.806;55
130;499.738;42
131;496.027;50
132;499.732;54
133;501.428;46
134;499.947;46
135;501.407;52
136;497.164;38
137;497.911;42
138;497.481;53
139;499.582;41
140;498.222;47
141;499.693;45
142;506.254;45
143;503.893;39
144;504.238;38
145;502.967;51
146;505.104;51
147;503.964;43
148;502.627;38
149;503.923;57
150;503.77;50
151;504.922;35
152;504.539;43
153;504.166;40
154;503.648;34
155;505.786;37
156;500.882;47
157;505.16;42
158;503.774;38
159;505.046;38
160;501.693;42
161;504.002;40
162;504.551;40
163;504.99;38
164;503.462;31
165;504.028;44
166;503.378;34
167;504.533;52
168;504.641;41
169;502.635;43
170;506.021;44
171;503.032;40
172;506.604;28
173;500.399;29
174;508.585;45
175;510.122;27
176;506.03;47
177;508.707;36
178;505.309;43
179;442.893;35
180;279.519;31
