Radius_m Chi2 DF Reduced_Chi2 P_Value
1.0000 81.41 35 2.3259 1.459514e-05
2.0000 81.36 35 2.3245 1.480860e-05
3.0000 81.13 35 2.3181 1.585643e-05
4.0000 80.80 35 2.3085 1.755442e-05
5.0000 80.42 35 2.2976 1.970294e-05
6.0000 80.02 35 2.2862 2.223303e-05
7.0000 79.60 35 2.2744 2.518085e-05
8.0000 79.17 35 2.2621 2.863950e-05
9.0000 78.73 35 2.2494 3.271722e-05
10.0000 78.27 35 2.2363 3.751695e-05
11.0000 77.80 35 2.2229 4.312756e-05
12.0000 77.33 35 2.2093 4.961903e-05
13.0000 76.85 35 2.1958 5.703997e-05
14.0000 76.39 35 2.1824 6.541795e-05
15.0000 75.93 35 2.1694 7.476251e-05
16.0000 75.48 35 2.1567 8.506998e-05
17.0000 75.06 35 2.1444 9.632896e-05
18.0000 74.64 35 2.1326 1.085252e-04
19.0000 74.25 35 2.1213 1.216457e-04
20.0000 73.86 35 2.1104 1.356807e-04
21.0000 73.50 35 2.1000 1.506246e-04
22.0000 73.15 35 2.0899 1.664757e-04
23.0000 72.81 35 2.0803 1.832348e-04
24.0000 72.48 35 2.0710 2.009033e-04
25.0000 72.17 35 2.0620 2.194805e-04
26.0000 71.87 35 2.0533 2.389617e-04
27.0000 71.58 35 2.0450 2.593347e-04
28.0000 71.29 35 2.0369 2.805781e-04
29.0000 71.02 35 2.0292 3.026585e-04
30.0000 70.76 35 2.0217 3.255284e-04
31.0000 70.51 35 2.0145 3.491248e-04
32.0000 70.26 35 2.0075 3.733678e-04
33.0000 70.03 35 2.0009 3.981597e-04
34.0000 69.81 35 1.9945 4.233854e-04
35.0000 69.59 35 1.9884 4.489123e-04
36.0000 69.39 35 1.9826 4.745918e-04
37.0000 69.20 35 1.9770 5.002610e-04
38.0000 69.01 35 1.9718 5.257452e-04
39.0000 68.84 35 1.9669 5.508604e-04
40.0000 68.68 35 1.9623 5.754168e-04
41.0000 68.53 35 1.9581 5.992225e-04
42.0000 68.39 35 1.9541 6.220870e-04
43.0000 68.27 35 1.9505 6.438255e-04
44.0000 68.15 35 1.9472 6.642620e-04
45.0000 68.05 35 1.9442 6.832335e-04
46.0000 67.95 35 1.9415 7.005925e-04
47.0000 67.87 35 1.9392 7.162105e-04
48.0000 67.80 35 1.9371 7.299792e-04
49.0000 67.74 35 1.9354 7.418130e-04
50.0000 67.69 35 1.9340 7.516497e-04
51.0000 67.65 35 1.9329 7.594506e-04
52.0000 67.62 35 1.9321 7.652006e-04
53.0000 67.61 35 1.9316 7.689075e-04
54.0000 67.60 35 1.9314 7.706005e-04
55.0000 67.60 35 1.9314 7.703291e-04
56.0000 67.61 35 1.9317 7.681605e-04
57.0000 67.63 35 1.9323 7.641779e-04
58.0000 67.66 35 1.9331 7.584779e-04
59.0000 67.69 35 1.9341 7.511683e-04
60.0000 67.74 35 1.9353 7.423657e-04
61.0000 67.79 35 1.9368 7.321928e-04
62.0000 67.85 35 1.9385 7.207766e-04
63.0000 67.91 35 1.9404 7.082460e-04
64.0000 67.98 35 1.9424 6.947300e-04
65.0000 68.06 35 1.9446 6.803562e-04
66.0000 68.15 35 1.9470 6.652490e-04
67.0000 68.23 35 1.9495 6.495286e-04
68.0000 68.33 35 1.9522 6.333099e-04
69.0000 68.43 35 1.9550 6.167015e-04
70.0000 68.53 35 1.9580 5.998055e-04
71.0000 68.64 35 1.9610 5.827168e-04
72.0000 68.75 35 1.9642 5.655228e-04
73.0000 68.86 35 1.9674 5.483034e-04
74.0000 68.98 35 1.9708 5.311309e-04
75.0000 69.10 35 1.9742 5.140705e-04
76.0000 69.22 35 1.9777 4.971797e-04
77.0000 69.34 35 1.9813 4.805097e-04
78.0000 69.47 35 1.9849 4.641046e-04
79.0000 69.60 35 1.9886 4.480025e-04
80.0000 69.73 35 1.9923 4.322357e-04
81.0000 69.86 35 1.9961 4.168311e-04
82.0000 70.00 35 1.9999 4.018107e-04
83.0000 70.13 35 2.0038 3.871918e-04
84.0000 70.27 35 2.0076 3.729878e-04
85.0000 70.40 35 2.0115 3.592083e-04
86.0000 70.54 35 2.0154 3.458594e-04
87.0000 70.68 35 2.0194 3.329446e-04
88.0000 70.82 35 2.0233 3.204645e-04
89.0000 70.95 35 2.0272 3.084174e-04
90.0000 71.09 35 2.0312 2.968000e-04
91.0000 71.23 35 2.0351 2.856069e-04
92.0000 71.37 35 2.0391 2.748315e-04
93.0000 71.51 35 2.0430 2.644657e-04
94.0000 71.64 35 2.0469 2.545008e-04
95.0000 71.78 35 2.0508 2.449269e-04
96.0000 71.92 35 2.0547 2.357336e-04
97.0000 72.05 35 2.0586 2.269102e-04
98.0000 72.19 35 2.0625 2.184452e-04
99.0000 72.32 35 2.0663 2.103273e-04
100.0000 72.45 35 2.0701 2.025447e-04
