Radius_m Chi2 DF Reduced_Chi2 P_Value
1.0000 81.41 35 2.3259 1.459489e-05
2.0000 81.41 35 2.3259 1.459489e-05
3.0000 81.31 35 2.3231 1.503876e-05
4.0000 80.68 35 2.3052 1.817467e-05
5.0000 80.25 35 2.2927 2.075079e-05
6.0000 79.88 35 2.2823 2.316274e-05
7.0000 79.22 35 2.2635 2.824315e-05
8.0000 78.66 35 2.2473 3.343174e-05
9.0000 78.40 35 2.2400 3.609800e-05
10.0000 78.12 35 2.2321 3.918398e-05
11.0000 77.52 35 2.2149 4.681721e-05
12.0000 76.96 35 2.1988 5.528797e-05
13.0000 76.45 35 2.1842 6.424824e-05
14.0000 75.96 35 2.1702 7.411880e-05
15.0000 75.38 35 2.1537 8.770016e-05
16.0000 74.69 35 2.1340 1.070947e-04
17.0000 73.88 35 2.1109 1.350118e-04
18.0000 73.26 35 2.0932 1.611259e-04
19.0000 72.71 35 2.0773 1.886469e-04
20.0000 72.19 35 2.0625 2.183643e-04
21.0000 71.61 35 2.0461 2.566789e-04
22.0000 71.11 35 2.0316 2.956728e-04
23.0000 70.66 35 2.0188 3.346848e-04
24.0000 70.25 35 2.0071 3.750131e-04
25.0000 69.91 35 1.9975 4.110768e-04
26.0000 69.64 35 1.9897 4.430474e-04
27.0000 69.44 35 1.9840 4.683055e-04
28.0000 69.29 35 1.9798 4.872206e-04
29.0000 69.15 35 1.9758 5.060200e-04
30.0000 69.07 35 1.9735 5.175447e-04
31.0000 69.04 35 1.9725 5.225917e-04
32.0000 68.93 35 1.9694 5.381250e-04
33.0000 68.75 35 1.9644 5.642879e-04
34.0000 68.54 35 1.9582 5.985650e-04
35.0000 68.46 35 1.9560 6.110308e-04
36.0000 68.34 35 1.9527 6.303800e-04
37.0000 68.20 35 1.9486 6.551531e-04
38.0000 68.08 35 1.9451 6.773265e-04
39.0000 67.94 35 1.9411 7.032520e-04
40.0000 67.83 35 1.9380 7.237817e-04
41.0000 67.73 35 1.9350 7.447119e-04
42.0000 67.59 35 1.9312 7.720121e-04
43.0000 67.41 35 1.9259 8.112565e-04
44.0000 67.19 35 1.9198 8.586210e-04
45.0000 66.98 35 1.9137 9.089259e-04
46.0000 66.80 35 1.9085 9.541638e-04
47.0000 66.71 35 1.9061 9.753004e-04
48.0000 66.71 35 1.9061 9.756562e-04
49.0000 66.76 35 1.9073 9.641523e-04
50.0000 66.79 35 1.9083 9.554315e-04
51.0000 66.79 35 1.9084 9.544303e-04
52.0000 66.83 35 1.9093 9.466968e-04
53.0000 66.90 35 1.9115 9.275605e-04
54.0000 67.02 35 1.9147 9.002405e-04
55.0000 67.11 35 1.9176 8.766975e-04
56.0000 67.16 35 1.9189 8.660889e-04
57.0000 67.18 35 1.9193 8.622419e-04
58.0000 67.27 35 1.9219 8.421147e-04
59.0000 67.48 35 1.9279 7.963247e-04
60.0000 67.73 35 1.9353 7.428115e-04
61.0000 67.97 35 1.9420 6.975391e-04
62.0000 68.21 35 1.9490 6.529872e-04
63.0000 68.42 35 1.9548 6.181609e-04
64.0000 68.67 35 1.9620 5.774973e-04
65.0000 69.01 35 1.9717 5.262092e-04
66.0000 69.39 35 1.9826 4.744054e-04
67.0000 69.80 35 1.9942 4.244543e-04
68.0000 70.21 35 2.0059 3.791123e-04
69.0000 70.64 35 2.0182 3.366058e-04
70.0000 71.10 35 2.0315 2.959302e-04
71.0000 71.63 35 2.0465 2.554541e-04
72.0000 72.20 35 2.0628 2.177312e-04
73.0000 72.72 35 2.0778 1.878455e-04
74.0000 73.22 35 2.0920 1.630338e-04
75.0000 73.69 35 2.1054 1.427380e-04
76.0000 74.19 35 2.1196 1.237251e-04
77.0000 74.79 35 2.1368 1.040962e-04
78.0000 75.45 35 2.1557 8.595412e-05
79.0000 76.16 35 2.1759 6.995508e-05
80.0000 76.88 35 2.1967 5.651310e-05
81.0000 77.62 35 2.2177 4.550540e-05
82.0000 78.36 35 2.2389 3.651807e-05
83.0000 79.01 35 2.2575 3.007717e-05
84.0000 79.61 35 2.2746 2.512306e-05
85.0000 80.16 35 2.2904 2.127512e-05
86.0000 80.59 35 2.3027 1.868007e-05
87.0000 81.01 35 2.3146 1.646187e-05
88.0000 81.37 35 2.3250 1.473792e-05
89.0000 81.72 35 2.3349 1.325121e-05
90.0000 82.13 35 2.3464 1.171299e-05
91.0000 82.55 35 2.3587 1.026909e-05
92.0000 82.94 35 2.3698 9.110876e-06
93.0000 83.30 35 2.3801 8.154038e-06
94.0000 83.67 35 2.3905 7.283970e-06
95.0000 84.00 35 2.3999 6.575223e-06
96.0000 84.31 35 2.4088 5.971465e-06
97.0000 84.59 35 2.4167 5.476530e-06
98.0000 84.85 35 2.4242 5.049357e-06
99.0000 85.08 35 2.4310 4.686270e-06
100.0000 85.26 35 2.4361 4.429345e-06
