Angle;Time_Minutes;Counts_34f
0;0;0
1;500;54
2;500;51
3;500;56
4;500;55
5;500;59
6;500;54
7;500;44
8;500;56
9;500;50
10;500;61
11;500;45
12;500;59
13;500;52
14;500;38
15;500;55
16;500;52
17;500;66
18;500;54
19;500;48
20;500;55
21;500;51
22;500;56
23;500;47
24;500;48
25;500;64
26;500;65
27;500;48
28;500;47
29;500;40
30;500;60
31;500;64
32;500;48
33;500;56
34;500;68
35;500;67
36;500;62
37;500;67
38;500;57
39;500;54
40;500;65
41;500;53
42;500;50
43;500;54
44;500;62
45;500;60
46;500;63
47;500;49
48;500;55
49;500;49
50;500;54
51;500;64
52;500;51
53;500;51
54;500;49
55;500;58
56;500;57
57;500;39
58;500;62
59;500;42
60;500;51
61;500;52
62;500;50
63;500;65
64;500;60
65;500;67
66;500;50
67;500;60
68;500;45
69;500;51
70;500;61
71;500;54
72;500;66
73;500;45
74;500;45
75;500;58
76;500;53
77;500;69
78;500;58
79;500;59
80;500;59
81;500;50
82;500;53
83;500;65
84;500;65
85;500;45
86;500;56
87;500;70
88;500;59
89;500;56
90;500;70
91;500;61
92;500;44
93;500;51
94;500;57
95;500;48
96;500;51
97;500;50
98;500;46
99;500;50
100;500;69
101;500;58
102;500;55
103;500;58
104;500;53
105;500;64
106;500;67
107;500;57
108;500;59
109;500;69
110;500;59
111;500;57
112;500;49
113;500;42
114;500;71
115;500;66
116;500;53
117;500;62
118;500;60
119;500;52
120;500;65
121;500;63
122;500;64
123;500;57
124;500;49
125;500;54
126;500;59
127;500;58
128;500;64
129;500;70
130;500;58
131;500;54
132;500;56
133;500;65
134;500;55
135;500;55
136;500;49
137;500;53
138;500;55
139;500;58
140;500;62
141;500;62
142;500;48
143;500;52
144;500;53
145;500;43
146;500;65
147;500;62
148;500;55
149;500;61
150;500;43
151;500;58
152;500;61
153;500;51
154;500;46
155;500;49
156;500;58
157;500;60
158;500;59
159;500;52
160;500;56
161;500;46
162;500;63
163;500;53
164;500;52
165;500;50
166;500;53
167;500;51
168;500;52
169;500;40
170;500;51
171;500;49
172;500;45
173;500;51
174;500;55
175;500;64
176;500;63
177;500;52
178;500;65
179;500;54
180;500;45
