Angle;Time_Minutes;Counts_34f
0;0;0.000000
1;500.000000;52.938466
2;500.000000;52.940152
3;500.000000;52.943365
4;500.000000;52.949013
5;500.000000;52.957151
6;500.000000;52.968462
7;500.000000;52.982913
8;500.000000;52.998594
9;500.000000;53.013422
10;500.000000;53.025739
11;500.000000;53.036980
12;500.000000;53.045301
13;500.000000;53.054464
14;500.000000;53.063607
15;500.000000;53.074158
16;500.000000;53.084315
17;500.000000;53.095279
18;500.000000;53.108112
19;500.000000;53.123142
20;500.000000;53.143412
21;500.000000;53.167050
22;500.000000;53.198776
23;500.000000;53.240500
24;500.000000;53.292975
25;500.000000;53.354303
26;500.000000;53.426335
27;500.000000;53.509640
28;500.000000;53.606257
29;500.000000;53.714102
30;500.000000;53.832867
31;500.000000;53.961313
32;500.000000;54.099808
33;500.000000;54.246443
34;500.000000;54.393759
35;500.000000;54.536204
36;500.000000;54.674130
37;500.000000;54.807613
38;500.000000;54.932406
39;500.000000;55.047103
40;500.000000;55.146876
41;500.000000;55.229611
42;500.000000;55.295044
43;500.000000;55.345268
44;500.000000;55.384224
45;500.000000;55.413760
46;500.000000;55.439733
47;500.000000;55.462549
48;500.000000;55.480692
49;500.000000;55.493960
50;500.000000;55.495998
51;500.000000;55.491146
52;500.000000;55.484415
53;500.000000;55.474850
54;500.000000;55.460694
55;500.000000;55.438160
56;500.000000;55.404579
57;500.000000;55.360733
58;500.000000;55.303879
59;500.000000;55.232069
60;500.000000;55.148231
61;500.000000;55.062160
62;500.000000;54.979901
63;500.000000;54.899171
64;500.000000;54.819162
65;500.000000;54.743099
66;500.000000;54.676294
67;500.000000;54.617883
68;500.000000;54.569058
69;500.000000;54.529805
70;500.000000;54.508506
71;500.000000;54.506841
72;500.000000;54.523431
73;500.000000;54.549588
74;500.000000;54.586971
75;500.000000;54.639917
76;500.000000;54.707143
77;500.000000;54.788077
78;500.000000;54.880159
79;500.000000;54.985388
80;500.000000;55.104140
81;500.000000;55.229414
82;500.000000;55.352495
83;500.000000;55.470564
84;500.000000;55.585229
85;500.000000;55.697269
86;500.000000;55.803971
87;500.000000;55.903322
88;500.000000;55.991711
89;500.000000;56.067297
90;500.000000;56.126512
91;500.000000;56.164627
92;500.000000;56.184808
93;500.000000;56.193136
94;500.000000;56.193908
95;500.000000;56.187577
96;500.000000;56.176074
97;500.000000;56.160411
98;500.000000;56.134383
99;500.000000;56.097567
100;500.000000;56.053089
101;500.000000;56.007302
102;500.000000;55.977745
103;500.000000;55.970328
104;500.000000;55.982085
105;500.000000;56.011559
106;500.000000;56.062135
107;500.000000;56.128646
108;500.000000;56.203433
109;500.000000;56.293124
110;500.000000;56.407114
111;500.000000;56.556649
112;500.000000;56.741668
113;500.000000;56.955519
114;500.000000;57.179458
115;500.000000;57.409426
116;500.000000;57.647620
117;500.000000;57.886635
118;500.000000;58.124039
119;500.000000;58.368241
120;500.000000;58.617795
121;500.000000;58.861521
122;500.000000;59.086017
123;500.000000;59.277604
124;500.000000;59.424895
125;500.000000;59.530722
126;500.000000;59.604885
127;500.000000;59.652879
128;500.000000;59.684306
129;500.000000;59.702968
130;500.000000;59.708494
131;500.000000;59.706799
132;500.000000;59.694976
133;500.000000;59.678594
134;500.000000;59.659160
135;500.000000;59.641050
136;500.000000;59.623126
137;500.000000;59.602674
138;500.000000;59.571110
139;500.000000;59.520784
140;500.000000;59.446218
141;500.000000;59.347460
142;500.000000;59.214760
143;500.000000;59.044552
144;500.000000;58.846721
145;500.000000;58.622828
146;500.000000;58.378069
147;500.000000;58.119745
148;500.000000;57.858659
149;500.000000;57.594820
150;500.000000;57.326289
151;500.000000;57.050282
152;500.000000;56.764207
153;500.000000;56.477905
154;500.000000;56.197558
155;500.000000;55.924174
156;500.000000;55.658477
157;500.000000;55.407466
158;500.000000;55.167458
159;500.000000;54.929889
160;500.000000;54.698743
161;500.000000;54.477423
162;500.000000;54.273141
163;500.000000;54.090840
164;500.000000;53.930270
165;500.000000;53.787680
166;500.000000;53.660885
167;500.000000;53.547763
168;500.000000;53.444557
169;500.000000;53.350996
170;500.000000;53.268865
171;500.000000;53.199705
172;500.000000;53.141687
173;500.000000;53.093819
174;500.000000;53.053851
175;500.000000;53.019489
176;500.000000;52.990751
177;500.000000;52.968576
178;500.000000;52.953143
179;500.000000;52.943630
180;500.000000;52.939401
