Angle;Time_Minutes;Counts_34f
0;0;0.000000
1;500.000000;53.081144
2;500.000000;53.109982
3;500.000000;53.143538
4;500.000000;53.184378
5;500.000000;53.232265
6;500.000000;53.287812
7;500.000000;53.348086
8;500.000000;53.410451
9;500.000000;53.474818
10;500.000000;53.543098
11;500.000000;53.612663
12;500.000000;53.685924
13;500.000000;53.765073
14;500.000000;53.849168
15;500.000000;53.936213
16;500.000000;54.025613
17;500.000000;54.118054
18;500.000000;54.213995
19;500.000000;54.314187
20;500.000000;54.419421
21;500.000000;54.526521
22;500.000000;54.635263
23;500.000000;54.744074
24;500.000000;54.843618
25;500.000000;54.934246
26;500.000000;55.015882
27;500.000000;55.085762
28;500.000000;55.139370
29;500.000000;55.178333
30;500.000000;55.203946
31;500.000000;55.218766
32;500.000000;55.223205
33;500.000000;55.219410
34;500.000000;55.209569
35;500.000000;55.197608
36;500.000000;55.186814
37;500.000000;55.175285
38;500.000000;55.160593
39;500.000000;55.138122
40;500.000000;55.105764
41;500.000000;55.064546
42;500.000000;55.016997
43;500.000000;54.964084
44;500.000000;54.908776
45;500.000000;54.848692
46;500.000000;54.779380
47;500.000000;54.703023
48;500.000000;54.630215
49;500.000000;54.566791
50;500.000000;54.526685
51;500.000000;54.518097
52;500.000000;54.541924
53;500.000000;54.592127
54;500.000000;54.660803
55;500.000000;54.744305
56;500.000000;54.836604
57;500.000000;54.939760
58;500.000000;55.053042
59;500.000000;55.166997
60;500.000000;55.274263
61;500.000000;55.369012
62;500.000000;55.441190
63;500.000000;55.491563
64;500.000000;55.526070
65;500.000000;55.545316
66;500.000000;55.552497
67;500.000000;55.557626
68;500.000000;55.564745
69;500.000000;55.571265
70;500.000000;55.576378
71;500.000000;55.577844
72;500.000000;55.579260
73;500.000000;55.584467
74;500.000000;55.594308
75;500.000000;55.605641
76;500.000000;55.621412
77;500.000000;55.644257
78;500.000000;55.668646
79;500.000000;55.689548
80;500.000000;55.705292
81;500.000000;55.720585
82;500.000000;55.739510
83;500.000000;55.767509
84;500.000000;55.800647
85;500.000000;55.832959
86;500.000000;55.858042
87;500.000000;55.871638
88;500.000000;55.868658
89;500.000000;55.852769
90;500.000000;55.833230
91;500.000000;55.819852
92;500.000000;55.815065
93;500.000000;55.817181
94;500.000000;55.828753
95;500.000000;55.852418
96;500.000000;55.892242
97;500.000000;55.957358
98;500.000000;56.058067
99;500.000000;56.196289
100;500.000000;56.369040
101;500.000000;56.567843
102;500.000000;56.785141
103;500.000000;57.020130
104;500.000000;57.270514
105;500.000000;57.531010
106;500.000000;57.792605
107;500.000000;58.044615
108;500.000000;58.279308
109;500.000000;58.489508
110;500.000000;58.673972
111;500.000000;58.835432
112;500.000000;58.977996
113;500.000000;59.103761
114;500.000000;59.202040
115;500.000000;59.270673
116;500.000000;59.310329
117;500.000000;59.329284
118;500.000000;59.331180
119;500.000000;59.322168
120;500.000000;59.310071
121;500.000000;59.302372
122;500.000000;59.300399
123;500.000000;59.301819
124;500.000000;59.305774
125;500.000000;59.317062
126;500.000000;59.334997
127;500.000000;59.352272
128;500.000000;59.361614
129;500.000000;59.363596
130;500.000000;59.355222
131;500.000000;59.329361
132;500.000000;59.277446
133;500.000000;59.184718
134;500.000000;59.048069
135;500.000000;58.864741
136;500.000000;58.630522
137;500.000000;58.345826
138;500.000000;58.026172
139;500.000000;57.681170
140;500.000000;57.320028
141;500.000000;56.946949
142;500.000000;56.568094
143;500.000000;56.197277
144;500.000000;55.839363
145;500.000000;55.504483
146;500.000000;55.195064
147;500.000000;54.921064
148;500.000000;54.684557
149;500.000000;54.483897
150;500.000000;54.316760
151;500.000000;54.176379
152;500.000000;54.056292
153;500.000000;53.952204
154;500.000000;53.856004
155;500.000000;53.766515
156;500.000000;53.682943
157;500.000000;53.604647
158;500.000000;53.531487
159;500.000000;53.460675
160;500.000000;53.391774
161;500.000000;53.321679
162;500.000000;53.253599
163;500.000000;53.188993
164;500.000000;53.131835
165;500.000000;53.083932
166;500.000000;53.045621
167;500.000000;53.016365
168;500.000000;52.994996
169;500.000000;52.979811
170;500.000000;52.970257
171;500.000000;52.966009
172;500.000000;52.966476
173;500.000000;52.970302
174;500.000000;52.976372
175;500.000000;52.983849
176;500.000000;52.993414
177;500.000000;53.005044
178;500.000000;53.018864
179;500.000000;53.035587
180;500.000000;53.056515
