Angle;Time_Minutes;Counts_34f
0;0;0
1;249.802;23
2;390.805;15
3;467.471;39
4;464.327;20
5;465.022;24
6;465.205;25
7;464.542;23
8;468.146;40
9;468.416;30
10;465.328;24
11;467.162;34
12;470.059;27
13;465.826;30
14;468.856;33
15;468.941;30
16;466.623;25
17;466.109;26
18;466.412;19
19;461.443;13
20;467.573;21
21;467.65;27
22;463.557;21
23;465.687;23
24;467.274;28
25;463.886;32
26;463.746;17
27;465.155;35
28;466.15;25
29;463.437;28
30;465.275;32
31;464.462;44
32;466.329;24
33;469.798;25
34;465.737;24
35;469.125;24
36;465.65;31
37;470.795;31
38;467.055;19
39;466.691;25
40;468.506;30
41;469.489;20
42;469.79;22
43;467.06;30
44;466.798;43
45;467.006;30
46;468.492;26
47;467.71;20
48;465.851;23
49;469.121;33
50;468.693;27
51;468.917;22
52;469.138;35
53;465.916;26
54;471.693;28
55;465.415;31
56;466.177;23
57;469.436;32
58;468.656;21
59;466.71;31
60;469.91;18
61;467.49;33
62;466.652;33
63;470.009;20
64;467.743;25
65;466.426;26
66;469.761;23
67;465.444;36
68;471.084;30
69;466.545;23
70;468.806;23
71;466.149;26
72;468.393;22
73;468.351;23
74;468.388;18
75;465.996;28
76;470.118;25
77;463.904;35
78;471.115;22
79;469.042;25
80;464.522;20
81;472.597;25
82;466.772;19
83;466.33;19
84;467.346;22
85;468.629;29
86;466.223;30
87;471.724;35
88;465.803;25
89;470.66;36
90;466.773;26
91;468.976;26
92;464.409;25
93;468.208;29
94;469.163;29
95;467.892;31
96;469.899;25
97;467.878;16
98;462.917;34
99;471.792;20
100;468.265;29
101;468.61;20
102;468.112;26
103;467.969;44
104;468.406;20
105;464.54;26
106;469.814;31
107;467.83;40
108;469.572;25
109;468.24;24
110;469.149;36
111;466.53;25
112;466.164;25
113;470.242;24
114;467.022;39
115;469.213;33
116;468.868;34
117;465.962;29
118;469.532;28
119;471.663;20
120;472.977;35
121;468.7;31
122;469.231;22
123;470.71;38
124;469.126;22
125;466.474;27
126;467.963;29
127;467.574;37
128;467.385;29
129;468.908;30
130;468.364;25
131;467.859;24
132;470.474;39
133;464.999;24
134;467.126;27
135;469.084;30
136;466.625;19
137;469.716;33
138;469.472;29
139;467.363;25
140;467.095;27
141;467.778;36
142;467.18;22
143;468.296;25
144;466.629;32
145;471.957;23
146;465.598;19
147;469.944;29
148;466.217;27
149;467.447;35
150;468.828;28
151;466.368;31
152;468.88;32
153;468.317;34
154;470.908;28
155;468.426;23
156;465.193;41
157;469.84;23
158;463.672;22
159;470.024;34
160;466.712;34
161;469.1;35
162;468.822;30
163;467.934;33
164;468.039;20
165;469.871;22
166;467.128;21
167;467.883;33
168;469.444;29
169;462.716;22
170;470.053;26
171;468.732;26
172;467.938;28
173;466.713;25
174;471.54;26
175;467.941;21
176;466.868;36
177;469.325;27
178;465.231;37
179;393.999;21
180;241.978;21
