Angle;Time_Minutes;Counts_34f
0;0;0
1;540;51
2;540;52
3;540;34
4;540;46
5;540;41
6;540;48
7;540;43
8;540;49
9;540;44
10;540;36
11;540;37
12;540;37
13;540;43
14;540;46
15;540;37
16;540;38
17;540;42
18;540;39
19;540;59
20;540;31
21;540;50
22;540;45
23;540;43
24;540;53
25;540;37
26;540;44
27;540;52
28;540;29
29;540;41
30;540;46
31;540;44
32;540;46
33;540;40
34;540;47
35;540;39
36;540;49
37;540;50
38;540;41
39;540;48
40;540;46
41;540;65
42;540;55
43;540;41
44;540;37
45;540;49
46;540;52
47;540;42
48;540;47
49;540;44
50;540;49
51;540;32
52;540;50
53;540;50
54;540;44
55;540;36
56;540;48
57;540;34
58;540;57
59;540;36
60;540;52
61;540;38
62;540;56
63;540;34
64;540;49
65;540;45
66;540;55
67;540;58
68;540;43
69;540;46
70;540;46
71;540;46
72;540;39
73;540;45
74;540;43
75;540;39
76;540;41
77;540;53
78;540;41
79;540;45
80;540;51
81;540;35
82;540;44
83;540;44
84;540;42
85;540;53
86;540;46
87;540;44
88;540;43
89;540;38
90;540;40
91;540;43
92;540;48
93;540;35
94;540;40
95;540;49
96;540;53
97;540;50
98;540;50
99;540;46
100;540;52
101;540;53
102;540;55
103;540;31
104;540;56
105;540;45
106;540;50
107;540;47
108;540;49
109;540;39
110;540;44
111;540;48
112;540;41
113;540;42
114;540;42
115;540;46
116;540;55
117;540;47
118;540;49
119;540;56
120;540;61
121;540;42
122;540;48
123;540;33
124;540;46
125;540;36
126;540;45
127;540;52
128;540;42
129;540;36
130;540;48
131;540;46
132;540;43
133;540;39
134;540;42
135;540;53
136;540;35
137;540;38
138;540;47
139;540;44
140;540;45
141;540;56
142;540;36
143;540;46
144;540;66
145;540;44
146;540;41
147;540;30
148;540;51
149;540;46
150;540;33
151;540;44
152;540;53
153;540;49
154;540;40
155;540;49
156;540;39
157;540;42
158;540;41
159;540;44
160;540;35
161;540;53
162;540;39
163;540;48
164;540;54
165;540;45
166;540;32
167;540;50
168;540;46
169;540;54
170;540;43
171;540;42
172;540;53
173;540;37
174;540;42
175;540;45
176;540;46
177;540;55
178;540;38
179;540;41
180;540;38
