BinSize_deg Chi2 DF Reduced_Chi2 P_Value
1 560.94 179 3.1337 5.659315e-41
2 279.24 89 3.1375 1.690802e-21
3 196.67 59 3.3333 1.044807e-16
4 151.19 44 3.4361 1.117192e-13
5 130.48 35 3.7280 6.269788e-13
6 110.74 29 3.8186 1.746637e-11
7 91.72 25 3.6686 1.498828e-09
8 102.22 22 4.6463 2.635298e-12
9 61.58 19 3.2409 2.173827e-06
10 78.25 17 4.6027 7.843835e-10
11 75.41 16 4.7134 1.103198e-09
12 65.66 14 4.6901 1.165621e-08
13 56.17 13 4.3211 2.511757e-07
14 48.90 12 4.0754 2.173297e-06
15 55.26 11 5.0233 6.956843e-08
16 29.25 11 2.6591 2.075310e-03
17 43.42 10 4.3418 4.185917e-06
18 27.83 9 3.0918 1.019853e-03
19 25.68 9 2.8534 2.303534e-03
20 42.91 8 5.3634 9.145225e-07
30 37.79 5 7.5571 4.166798e-07
36 6.25 4 1.5634 1.809871e-01
45 9.66 3 3.2200 2.169001e-02
60 13.23 2 6.6170 1.337381e-03
90 0.43 1 0.4270 5.134804e-01
