Radius_m Chi2 DF Reduced_Chi2 P_Value
1.0000 34.94 35 0.9984 4.708191e-01
2.0000 34.90 35 0.9970 4.731570e-01
3.0000 34.84 35 0.9954 4.758805e-01
4.0000 34.77 35 0.9935 4.790774e-01
5.0000 34.69 35 0.9912 4.829103e-01
6.0000 34.60 35 0.9886 4.872763e-01
7.0000 34.50 35 0.9858 4.919714e-01
8.0000 34.40 35 0.9829 4.967957e-01
9.0000 34.30 35 0.9801 5.015882e-01
10.0000 34.21 35 0.9773 5.062300e-01
11.0000 34.12 35 0.9747 5.106372e-01
12.0000 34.03 35 0.9723 5.147533e-01
13.0000 33.95 35 0.9701 5.185416e-01
14.0000 33.88 35 0.9680 5.219798e-01
15.0000 33.82 35 0.9662 5.250561e-01
16.0000 33.76 35 0.9646 5.277660e-01
17.0000 33.71 35 0.9633 5.301108e-01
18.0000 33.67 35 0.9621 5.320951e-01
19.0000 33.64 35 0.9611 5.337269e-01
20.0000 33.61 35 0.9604 5.350159e-01
21.0000 33.59 35 0.9598 5.359732e-01
22.0000 33.58 35 0.9595 5.366110e-01
23.0000 33.57 35 0.9593 5.369423e-01
24.0000 33.57 35 0.9592 5.369804e-01
25.0000 33.58 35 0.9594 5.367388e-01
26.0000 33.59 35 0.9597 5.362310e-01
27.0000 33.60 35 0.9601 5.354707e-01
28.0000 33.62 35 0.9607 5.344712e-01
29.0000 33.65 35 0.9614 5.332457e-01
30.0000 33.68 35 0.9623 5.318071e-01
31.0000 33.71 35 0.9632 5.301679e-01
32.0000 33.75 35 0.9643 5.283403e-01
33.0000 33.79 35 0.9655 5.263363e-01
34.0000 33.84 35 0.9668 5.241671e-01
35.0000 33.88 35 0.9681 5.218438e-01
36.0000 33.94 35 0.9696 5.193769e-01
37.0000 33.99 35 0.9711 5.167767e-01
38.0000 34.04 35 0.9727 5.140528e-01
39.0000 34.10 35 0.9744 5.112145e-01
40.0000 34.16 35 0.9761 5.082707e-01
41.0000 34.23 35 0.9779 5.052300e-01
42.0000 34.29 35 0.9798 5.021004e-01
43.0000 34.36 35 0.9817 4.988896e-01
44.0000 34.43 35 0.9836 4.956049e-01
45.0000 34.50 35 0.9856 4.922533e-01
46.0000 34.57 35 0.9876 4.888415e-01
47.0000 34.64 35 0.9897 4.853757e-01
48.0000 34.71 35 0.9918 4.818618e-01
49.0000 34.79 35 0.9939 4.783053e-01
50.0000 34.86 35 0.9961 4.747119e-01
51.0000 34.94 35 0.9983 4.710863e-01
52.0000 35.02 35 1.0005 4.674334e-01
53.0000 35.09 35 1.0027 4.637576e-01
54.0000 35.17 35 1.0049 4.600631e-01
55.0000 35.25 35 1.0072 4.563539e-01
56.0000 35.33 35 1.0094 4.526339e-01
57.0000 35.41 35 1.0117 4.489063e-01
58.0000 35.49 35 1.0140 4.451747e-01
59.0000 35.57 35 1.0163 4.414419e-01
60.0000 35.65 35 1.0185 4.377111e-01
61.0000 35.73 35 1.0208 4.339848e-01
62.0000 35.81 35 1.0231 4.302655e-01
63.0000 35.89 35 1.0254 4.265558e-01
64.0000 35.97 35 1.0277 4.228576e-01
65.0000 36.05 35 1.0300 4.191732e-01
66.0000 36.13 35 1.0323 4.155044e-01
67.0000 36.21 35 1.0346 4.118528e-01
68.0000 36.29 35 1.0369 4.082204e-01
69.0000 36.37 35 1.0392 4.046085e-01
70.0000 36.45 35 1.0415 4.010185e-01
71.0000 36.53 35 1.0438 3.974517e-01
72.0000 36.61 35 1.0460 3.939092e-01
73.0000 36.69 35 1.0483 3.903923e-01
74.0000 36.77 35 1.0505 3.869018e-01
75.0000 36.85 35 1.0528 3.834386e-01
76.0000 36.93 35 1.0550 3.800036e-01
77.0000 37.00 35 1.0572 3.765974e-01
78.0000 37.08 35 1.0594 3.732209e-01
79.0000 37.16 35 1.0617 3.698745e-01
80.0000 37.23 35 1.0638 3.665588e-01
81.0000 37.31 35 1.0660 3.632742e-01
82.0000 37.39 35 1.0682 3.600212e-01
83.0000 37.46 35 1.0704 3.568001e-01
84.0000 37.54 35 1.0725 3.536111e-01
85.0000 37.61 35 1.0746 3.504546e-01
86.0000 37.69 35 1.0768 3.473308e-01
87.0000 37.76 35 1.0789 3.442397e-01
88.0000 37.83 35 1.0810 3.411816e-01
89.0000 37.91 35 1.0830 3.381565e-01
90.0000 37.98 35 1.0851 3.351645e-01
91.0000 38.05 35 1.0872 3.322055e-01
92.0000 38.12 35 1.0892 3.292797e-01
93.0000 38.19 35 1.0913 3.263868e-01
94.0000 38.26 35 1.0933 3.235269e-01
95.0000 38.33 35 1.0953 3.206999e-01
96.0000 38.40 35 1.0973 3.179056e-01
97.0000 38.47 35 1.0992 3.151440e-01
98.0000 38.54 35 1.1012 3.124148e-01
99.0000 38.61 35 1.1032 3.097179e-01
100.0000 38.68 35 1.1051 3.070532e-01
