Radius_m Chi2 DF Reduced_Chi2 P_Value
1.0000 34.96 35 0.9988 4.702676e-01
2.0000 34.93 35 0.9981 4.713540e-01
3.0000 34.87 35 0.9963 4.743187e-01
4.0000 34.81 35 0.9946 4.772602e-01
5.0000 34.76 35 0.9932 4.795587e-01
6.0000 34.73 35 0.9922 4.812157e-01
7.0000 34.70 35 0.9913 4.827227e-01
8.0000 34.66 35 0.9902 4.846136e-01
9.0000 34.60 35 0.9886 4.872258e-01
10.0000 34.53 35 0.9866 4.906793e-01
11.0000 34.44 35 0.9840 4.949313e-01
12.0000 34.34 35 0.9811 4.998412e-01
13.0000 34.23 35 0.9779 5.052232e-01
14.0000 34.11 35 0.9746 5.108820e-01
15.0000 33.99 35 0.9712 5.166365e-01
16.0000 33.87 35 0.9678 5.223325e-01
17.0000 33.76 35 0.9646 5.278475e-01
18.0000 33.65 35 0.9615 5.330906e-01
19.0000 33.55 35 0.9586 5.379987e-01
20.0000 33.46 35 0.9560 5.425309e-01
21.0000 33.37 35 0.9536 5.466631e-01
22.0000 33.30 35 0.9514 5.503832e-01
23.0000 33.23 35 0.9495 5.536867e-01
24.0000 33.17 35 0.9478 5.565742e-01
25.0000 33.12 35 0.9463 5.590484e-01
26.0000 33.08 35 0.9451 5.611135e-01
27.0000 33.04 35 0.9441 5.627737e-01
28.0000 33.02 35 0.9434 5.640332e-01
29.0000 33.00 35 0.9429 5.648957e-01
30.0000 32.99 35 0.9426 5.653645e-01
31.0000 32.99 35 0.9426 5.654430e-01
32.0000 33.00 35 0.9428 5.651344e-01
33.0000 33.01 35 0.9432 5.644420e-01
34.0000 33.03 35 0.9438 5.633696e-01
35.0000 33.06 35 0.9446 5.619214e-01
36.0000 33.10 35 0.9457 5.601023e-01
37.0000 33.14 35 0.9470 5.579180e-01
38.0000 33.20 35 0.9485 5.553747e-01
39.0000 33.26 35 0.9502 5.524799e-01
40.0000 33.32 35 0.9521 5.492416e-01
41.0000 33.40 35 0.9541 5.456690e-01
42.0000 33.48 35 0.9564 5.417720e-01
43.0000 33.56 35 0.9589 5.375614e-01
44.0000 33.65 35 0.9615 5.330488e-01
45.0000 33.75 35 0.9644 5.282468e-01
46.0000 33.86 35 0.9673 5.231684e-01
47.0000 33.97 35 0.9705 5.178275e-01
48.0000 34.08 35 0.9738 5.122386e-01
49.0000 34.20 35 0.9772 5.064165e-01
50.0000 34.33 35 0.9808 5.003768e-01
51.0000 34.46 35 0.9845 4.941351e-01
52.0000 34.59 35 0.9883 4.877075e-01
53.0000 34.73 35 0.9923 4.811104e-01
54.0000 34.87 35 0.9963 4.743598e-01
55.0000 35.02 35 1.0004 4.674724e-01
56.0000 35.16 35 1.0047 4.604644e-01
57.0000 35.31 35 1.0090 4.533518e-01
58.0000 35.47 35 1.0134 4.461506e-01
59.0000 35.62 35 1.0178 4.388763e-01
60.0000 35.78 35 1.0223 4.315442e-01
61.0000 35.94 35 1.0269 4.241690e-01
62.0000 36.10 35 1.0315 4.167650e-01
63.0000 36.27 35 1.0362 4.093458e-01
64.0000 36.43 35 1.0409 4.019248e-01
65.0000 36.60 35 1.0456 3.945143e-01
66.0000 36.76 35 1.0504 3.871262e-01
67.0000 36.93 35 1.0552 3.797717e-01
68.0000 37.10 35 1.0599 3.724612e-01
69.0000 37.27 35 1.0647 3.652045e-01
70.0000 37.43 35 1.0695 3.580108e-01
71.0000 37.60 35 1.0743 3.508883e-01
72.0000 37.77 35 1.0791 3.438447e-01
73.0000 37.94 35 1.0839 3.368871e-01
74.0000 38.10 35 1.0887 3.300216e-01
75.0000 38.27 35 1.0935 3.232540e-01
76.0000 38.44 35 1.0982 3.165892e-01
77.0000 38.60 35 1.1029 3.100318e-01
78.0000 38.77 35 1.1076 3.035854e-01
79.0000 38.93 35 1.1123 2.972534e-01
80.0000 39.09 35 1.1169 2.910385e-01
81.0000 39.25 35 1.1215 2.849430e-01
82.0000 39.41 35 1.1261 2.789687e-01
83.0000 39.57 35 1.1307 2.731169e-01
84.0000 39.73 35 1.1352 2.673886e-01
85.0000 39.89 35 1.1396 2.617843e-01
86.0000 40.04 35 1.1441 2.563042e-01
87.0000 40.20 35 1.1484 2.509483e-01
88.0000 40.35 35 1.1528 2.457162e-01
89.0000 40.50 35 1.1571 2.406072e-01
90.0000 40.65 35 1.1613 2.356204e-01
91.0000 40.79 35 1.1655 2.307548e-01
92.0000 40.94 35 1.1697 2.260089e-01
93.0000 41.08 35 1.1738 2.213814e-01
94.0000 41.23 35 1.1779 2.168707e-01
95.0000 41.37 35 1.1819 2.124749e-01
96.0000 41.51 35 1.1859 2.081922e-01
97.0000 41.64 35 1.1898 2.040206e-01
98.0000 41.78 35 1.1937 1.999581e-01
99.0000 41.91 35 1.1975 1.960025e-01
100.0000 42.05 35 1.2013 1.921518e-01
