Radius_m Chi2 DF Reduced_Chi2 P_Value
1.0000 34.96 35 0.9988 4.702651e-01
2.0000 34.96 35 0.9988 4.702651e-01
3.0000 34.84 35 0.9954 4.758709e-01
4.0000 34.74 35 0.9927 4.804017e-01
5.0000 34.72 35 0.9919 4.817057e-01
6.0000 34.69 35 0.9910 4.831618e-01
7.0000 34.58 35 0.9880 4.882810e-01
8.0000 34.55 35 0.9871 4.896966e-01
9.0000 34.70 35 0.9914 4.825608e-01
10.0000 34.84 35 0.9953 4.759444e-01
11.0000 34.85 35 0.9958 4.752166e-01
12.0000 34.71 35 0.9918 4.818567e-01
13.0000 34.59 35 0.9881 4.880009e-01
14.0000 34.39 35 0.9825 4.974764e-01
15.0000 34.25 35 0.9786 5.040411e-01
16.0000 34.13 35 0.9752 5.098646e-01
17.0000 33.91 35 0.9687 5.208291e-01
18.0000 33.54 35 0.9583 5.385414e-01
19.0000 33.17 35 0.9476 5.568836e-01
20.0000 32.84 35 0.9382 5.729265e-01
21.0000 32.64 35 0.9327 5.824059e-01
22.0000 32.63 35 0.9322 5.832451e-01
23.0000 32.58 35 0.9308 5.855273e-01
24.0000 32.40 35 0.9257 5.942891e-01
25.0000 32.23 35 0.9207 6.027348e-01
26.0000 32.19 35 0.9197 6.044412e-01
27.0000 32.15 35 0.9185 6.065657e-01
28.0000 32.08 35 0.9167 6.095959e-01
29.0000 31.99 35 0.9139 6.142792e-01
30.0000 31.94 35 0.9126 6.165255e-01
31.0000 32.05 35 0.9157 6.112640e-01
32.0000 32.23 35 0.9208 6.025842e-01
33.0000 32.37 35 0.9249 5.956369e-01
34.0000 32.49 35 0.9284 5.896304e-01
35.0000 32.65 35 0.9328 5.821155e-01
36.0000 32.77 35 0.9363 5.762163e-01
37.0000 32.86 35 0.9389 5.717948e-01
38.0000 32.96 35 0.9416 5.671065e-01
39.0000 33.02 35 0.9434 5.639734e-01
40.0000 33.09 35 0.9455 5.604599e-01
41.0000 33.19 35 0.9483 5.556115e-01
42.0000 33.32 35 0.9520 5.492834e-01
43.0000 33.43 35 0.9552 5.438407e-01
44.0000 33.52 35 0.9577 5.396436e-01
45.0000 33.61 35 0.9603 5.352197e-01
46.0000 33.72 35 0.9635 5.296581e-01
47.0000 33.88 35 0.9681 5.219591e-01
48.0000 34.06 35 0.9731 5.134217e-01
49.0000 34.22 35 0.9776 5.057263e-01
50.0000 34.42 35 0.9834 4.960574e-01
51.0000 34.64 35 0.9897 4.854092e-01
52.0000 34.89 35 0.9968 4.736090e-01
53.0000 35.14 35 1.0040 4.615100e-01
54.0000 35.41 35 1.0116 4.490462e-01
55.0000 35.67 35 1.0190 4.369287e-01
56.0000 35.93 35 1.0265 4.248635e-01
57.0000 36.19 35 1.0341 4.126301e-01
58.0000 36.51 35 1.0431 3.984903e-01
59.0000 36.91 35 1.0545 3.807659e-01
60.0000 37.36 35 1.0675 3.610825e-01
61.0000 37.81 35 1.0802 3.423041e-01
62.0000 38.24 35 1.0926 3.244302e-01
63.0000 38.64 35 1.1039 3.087100e-01
64.0000 39.05 35 1.1158 2.926069e-01
65.0000 39.47 35 1.1276 2.770211e-01
66.0000 39.91 35 1.1402 2.611115e-01
67.0000 40.38 35 1.1537 2.446105e-01
68.0000 40.89 35 1.1683 2.276253e-01
69.0000 41.42 35 1.1834 2.108425e-01
70.0000 41.91 35 1.1974 1.960854e-01
71.0000 42.42 35 1.2121 1.814565e-01
72.0000 43.00 35 1.2287 1.658675e-01
73.0000 43.56 35 1.2446 1.518998e-01
74.0000 44.09 35 1.2596 1.395266e-01
75.0000 44.58 35 1.2737 1.286882e-01
76.0000 45.04 35 1.2868 1.191428e-01
77.0000 45.54 35 1.3012 1.093640e-01
78.0000 46.09 35 1.3168 9.951041e-02
79.0000 46.66 35 1.3333 8.985810e-02
80.0000 47.24 35 1.3498 8.099745e-02
81.0000 47.77 35 1.3650 7.349054e-02
82.0000 48.28 35 1.3794 6.691604e-02
83.0000 48.72 35 1.3921 6.154275e-02
84.0000 49.11 35 1.4031 5.718375e-02
85.0000 49.45 35 1.4128 5.357133e-02
86.0000 49.72 35 1.4206 5.080982e-02
87.0000 49.99 35 1.4282 4.821189e-02
88.0000 50.23 35 1.4351 4.599771e-02
89.0000 50.46 35 1.4416 4.394578e-02
90.0000 50.72 35 1.4492 4.170081e-02
91.0000 51.00 35 1.4571 3.943432e-02
92.0000 51.25 35 1.4643 3.747074e-02
93.0000 51.48 35 1.4710 3.574239e-02
94.0000 51.72 35 1.4777 3.406683e-02
95.0000 51.94 35 1.4839 3.257785e-02
96.0000 52.14 35 1.4898 3.121732e-02
97.0000 52.33 35 1.4952 3.003008e-02
98.0000 52.51 35 1.5002 2.894938e-02
99.0000 52.67 35 1.5047 2.799659e-02
100.0000 52.78 35 1.5081 2.731402e-02
