Height_m Chi2 DF P_Value
0.0000 34.90 35 4.727282e-01
0.1000 34.73 35 4.810376e-01
0.2000 34.52 35 4.913448e-01
0.3000 34.35 35 4.994754e-01
0.4000 34.25 35 5.040222e-01
0.5000 34.19 35 5.072617e-01
0.6000 34.13 35 5.100518e-01
0.7000 34.07 35 5.130617e-01
0.8000 33.98 35 5.173671e-01
0.9000 33.86 35 5.232475e-01
1.0000 33.71 35 5.301120e-01
1.1000 33.58 35 5.368016e-01
1.2000 33.46 35 5.427044e-01
1.3000 33.36 35 5.475997e-01
1.4000 33.27 35 5.515448e-01
1.5000 33.22 35 5.544174e-01
1.6000 33.18 35 5.560269e-01
1.7000 33.18 35 5.563884e-01
1.8000 33.19 35 5.555971e-01
1.9000 33.23 35 5.537085e-01
2.0000 33.29 35 5.510068e-01
2.1000 33.35 35 5.476671e-01
2.2000 33.43 35 5.437411e-01
2.3000 33.52 35 5.393462e-01
2.4000 33.63 35 5.343693e-01
2.5000 33.74 35 5.289736e-01
2.6000 33.85 35 5.233302e-01
2.7000 33.98 35 5.174122e-01
2.8000 34.10 35 5.112926e-01
2.9000 34.23 35 5.050677e-01
3.0000 34.36 35 4.987539e-01
3.1000 34.49 35 4.924590e-01
3.2000 34.62 35 4.861895e-01
3.3000 34.75 35 4.799073e-01
3.4000 34.89 35 4.736117e-01
3.5000 35.02 35 4.674270e-01
3.6000 35.15 35 4.611894e-01
3.7000 35.28 35 4.550353e-01
3.8000 35.41 35 4.489302e-01
3.9000 35.54 35 4.428564e-01
4.0000 35.67 35 4.368752e-01
4.1000 35.79 35 4.309816e-01
4.2000 35.92 35 4.252522e-01
4.3000 36.04 35 4.195897e-01
4.4000 36.16 35 4.140839e-01
4.5000 36.28 35 4.087412e-01
4.6000 36.40 35 4.035660e-01
4.7000 36.51 35 3.985403e-01
4.8000 36.61 35 3.937512e-01
4.9000 36.72 35 3.891202e-01
5.0000 36.82 35 3.846756e-01
5.1000 36.91 35 3.804742e-01
5.2000 37.01 35 3.764908e-01
5.3000 37.09 35 3.726294e-01
5.4000 37.18 35 3.690473e-01
5.5000 37.26 35 3.656074e-01
5.6000 37.33 35 3.624076e-01
5.7000 37.40 35 3.594160e-01
5.8000 37.47 35 3.565766e-01
5.9000 37.53 35 3.539694e-01
6.0000 37.59 35 3.515233e-01
6.1000 37.64 35 3.492736e-01
6.2000 37.69 35 3.472106e-01
6.3000 37.74 35 3.452712e-01
6.4000 37.78 35 3.435195e-01
6.5000 37.82 35 3.419124e-01
6.6000 37.85 35 3.404363e-01
6.7000 37.88 35 3.391061e-01
6.8000 37.91 35 3.378930e-01
6.9000 37.94 35 3.368046e-01
7.0000 37.96 35 3.358363e-01
7.1000 37.98 35 3.349582e-01
7.2000 38.00 35 3.341839e-01
7.3000 38.02 35 3.335016e-01
7.4000 38.03 35 3.329022e-01
7.5000 38.05 35 3.323771e-01
7.6000 38.06 35 3.319188e-01
7.7000 38.07 35 3.315249e-01
7.8000 38.08 35 3.311848e-01
7.9000 38.08 35 3.308930e-01
8.0000 38.09 35 3.306525e-01
8.1000 38.09 35 3.304463e-01
8.2000 38.10 35 3.302747e-01
8.3000 38.10 35 3.301249e-01
8.4000 38.11 35 3.299986e-01
8.5000 38.11 35 3.298912e-01
8.6000 38.11 35 3.297993e-01
8.7000 38.11 35 3.297188e-01
8.8000 38.11 35 3.296555e-01
8.9000 38.11 35 3.296020e-01
9.0000 38.12 35 3.295584e-01
9.1000 38.12 35 3.295221e-01
9.2000 38.12 35 3.294970e-01
9.3000 38.12 35 3.294771e-01
9.4000 38.12 35 3.294622e-01
9.5000 38.12 35 3.294523e-01
