Height_m Chi2 DF P_Value
0.0000 34.89 35 4.731980e-01
0.1000 34.70 35 4.824853e-01
0.2000 34.47 35 4.937272e-01
0.3000 34.29 35 5.023207e-01
0.4000 34.19 35 5.070062e-01
0.5000 34.13 35 5.101588e-01
0.6000 34.07 35 5.126895e-01
0.7000 34.02 35 5.154008e-01
0.8000 33.93 35 5.194849e-01
0.9000 33.81 35 5.252689e-01
1.0000 33.67 35 5.321115e-01
1.1000 33.54 35 5.387047e-01
1.2000 33.42 35 5.443454e-01
1.3000 33.33 35 5.487859e-01
1.4000 33.26 35 5.520815e-01
1.5000 33.22 35 5.540644e-01
1.6000 33.21 35 5.545128e-01
1.7000 33.24 35 5.534147e-01
1.8000 33.29 35 5.508815e-01
1.9000 33.37 35 5.469532e-01
2.0000 33.47 35 5.419606e-01
2.1000 33.59 35 5.361221e-01
2.2000 33.73 35 5.294695e-01
2.3000 33.88 35 5.221860e-01
2.4000 34.04 35 5.140912e-01
2.5000 34.22 35 5.054293e-01
2.6000 34.41 35 4.964296e-01
2.7000 34.60 35 4.870500e-01
2.8000 34.81 35 4.773953e-01
2.9000 35.01 35 4.676029e-01
3.0000 35.22 35 4.576944e-01
3.1000 35.43 35 4.478350e-01
3.2000 35.64 35 4.380313e-01
3.3000 35.85 35 4.282526e-01
3.4000 36.07 35 4.185068e-01
3.5000 36.28 35 4.089835e-01
3.6000 36.49 35 3.994509e-01
3.7000 36.70 35 3.901240e-01
3.8000 36.90 35 3.809446e-01
3.9000 37.11 35 3.718931e-01
4.0000 37.32 35 3.630582e-01
4.1000 37.52 35 3.544346e-01
4.2000 37.72 35 3.461257e-01
4.3000 37.91 35 3.379936e-01
4.4000 38.10 35 3.301601e-01
4.5000 38.29 35 3.226347e-01
4.6000 38.47 35 3.154123e-01
4.7000 38.64 35 3.084620e-01
4.8000 38.81 35 3.018978e-01
4.9000 38.97 35 2.956063e-01
5.0000 39.13 35 2.896221e-01
5.1000 39.28 35 2.840109e-01
5.2000 39.42 35 2.787365e-01
5.3000 39.56 35 2.736635e-01
5.4000 39.69 35 2.689919e-01
5.5000 39.81 35 2.645388e-01
5.6000 39.93 35 2.604251e-01
5.7000 40.03 35 2.566021e-01
5.8000 40.14 35 2.529984e-01
5.9000 40.23 35 2.497082e-01
6.0000 40.32 35 2.466372e-01
6.1000 40.40 35 2.438313e-01
6.2000 40.48 35 2.412697e-01
6.3000 40.55 35 2.388726e-01
6.4000 40.61 35 2.367185e-01
6.5000 40.67 35 2.347508e-01
6.6000 40.73 35 2.329495e-01
6.7000 40.78 35 2.313315e-01
6.8000 40.82 35 2.298587e-01
6.9000 40.86 35 2.285414e-01
7.0000 40.90 35 2.273707e-01
7.1000 40.93 35 2.263102e-01
7.2000 40.96 35 2.253749e-01
7.3000 40.98 35 2.245515e-01
7.4000 41.01 35 2.238279e-01
7.5000 41.03 35 2.231923e-01
7.6000 41.04 35 2.226370e-01
7.7000 41.06 35 2.221579e-01
7.8000 41.07 35 2.217431e-01
7.9000 41.08 35 2.213853e-01
8.0000 41.09 35 2.210882e-01
8.1000 41.10 35 2.208326e-01
8.2000 41.11 35 2.206189e-01
8.3000 41.11 35 2.204324e-01
8.4000 41.12 35 2.202751e-01
8.5000 41.12 35 2.201420e-01
8.6000 41.13 35 2.200287e-01
8.7000 41.13 35 2.199302e-01
8.8000 41.13 35 2.198533e-01
8.9000 41.13 35 2.197887e-01
9.0000 41.14 35 2.197363e-01
9.1000 41.14 35 2.196930e-01
9.2000 41.14 35 2.196633e-01
9.3000 41.14 35 2.196399e-01
9.4000 41.14 35 2.196224e-01
9.5000 41.14 35 2.196109e-01
9.6000 41.14 35 2.196039e-01
9.7000 41.14 35 2.195998e-01
9.8000 41.14 35 2.195976e-01
9.9000 41.14 35 2.195969e-01
10.0000 41.14 35 2.195969e-01
10.1000 41.14 35 2.195969e-01
10.2000 41.14 35 2.195969e-01
10.3000 41.14 35 2.195969e-01
10.4000 41.14 35 2.195969e-01
10.5000 41.14 35 2.195969e-01
10.6000 41.14 35 2.195969e-01
10.7000 41.14 35 2.195969e-01
10.8000 41.14 35 2.195969e-01
10.9000 41.14 35 2.195969e-01
11.0000 41.14 35 2.195969e-01
11.1000 41.14 35 2.195969e-01
11.2000 41.14 35 2.195969e-01
11.3000 41.14 35 2.195969e-01
11.4000 41.14 35 2.195969e-01
11.5000 41.14 35 2.195969e-01
11.6000 41.14 35 2.195969e-01
11.7000 41.14 35 2.195969e-01
11.8000 41.14 35 2.195969e-01
11.9000 41.14 35 2.195969e-01
12.0000 41.14 35 2.195969e-01
12.1000 41.14 35 2.195969e-01
12.2000 41.14 35 2.195969e-01
12.3000 41.14 35 2.195969e-01
12.4000 41.14 35 2.195969e-01
12.5000 41.14 35 2.195969e-01
12.6000 41.14 35 2.195969e-01
12.7000 41.14 35 2.195969e-01
12.8000 41.14 35 2.195969e-01
12.9000 41.14 35 2.195969e-01
13.0000 41.14 35 2.195969e-01
13.1000 41.14 35 2.195969e-01
13.2000 41.14 35 2.195969e-01
13.3000 41.14 35 2.195969e-01
13.4000 41.14 35 2.195969e-01
13.5000 41.14 35 2.195969e-01
13.6000 41.14 35 2.195969e-01
13.7000 41.14 35 2.195969e-01
13.8000 41.14 35 2.195969e-01
13.9000 41.14 35 2.195969e-01
14.0000 41.14 35 2.195969e-01
14.1000 41.14 35 2.195969e-01
14.2000 41.14 35 2.195969e-01
14.3000 41.14 35 2.195969e-01
14.4000 41.14 35 2.195969e-01
14.5000 41.14 35 2.195969e-01
14.6000 41.14 35 2.195969e-01
14.7000 41.14 35 2.195969e-01
14.8000 41.14 35 2.195969e-01
14.9000 41.14 35 2.195969e-01
15.0000 41.14 35 2.195969e-01
