Height_m Chi2 DF P_Value
0.0000 34.88 35 4.739665e-01
0.1000 34.68 35 4.833700e-01
0.2000 34.44 35 4.948882e-01
0.3000 34.27 35 5.031587e-01
0.4000 34.19 35 5.071912e-01
0.5000 34.14 35 5.093575e-01
0.6000 34.12 35 5.106399e-01
0.7000 34.09 35 5.119175e-01
0.8000 34.04 35 5.144350e-01
0.9000 33.95 35 5.185717e-01
1.0000 33.85 35 5.237122e-01
1.1000 33.75 35 5.284797e-01
1.2000 33.67 35 5.321430e-01
1.3000 33.63 35 5.344504e-01
1.4000 33.60 35 5.354539e-01
1.5000 33.62 35 5.349264e-01
1.6000 33.66 35 5.326221e-01
1.7000 33.75 35 5.284820e-01
1.8000 33.87 35 5.226313e-01
1.9000 34.02 35 5.150428e-01
2.0000 34.21 35 5.060540e-01
2.1000 34.42 35 4.959101e-01
2.2000 34.66 35 4.845947e-01
2.3000 34.91 35 4.723553e-01
2.4000 35.20 35 4.589222e-01
2.5000 35.50 35 4.446473e-01
2.6000 35.82 35 4.298076e-01
2.7000 36.16 35 4.143643e-01
2.8000 36.51 35 3.984555e-01
2.9000 36.87 35 3.822836e-01
3.0000 37.25 35 3.659220e-01
3.1000 37.63 35 3.496034e-01
3.2000 38.02 35 3.333531e-01
3.3000 38.42 35 3.172155e-01
3.4000 38.83 35 3.012150e-01
3.5000 39.23 35 2.856941e-01
3.6000 39.65 35 2.703166e-01
3.7000 40.07 35 2.554492e-01
3.8000 40.49 35 2.410267e-01
3.9000 40.91 35 2.270446e-01
4.0000 41.33 35 2.136348e-01
4.1000 41.75 35 2.007848e-01
4.2000 42.17 35 1.886575e-01
4.3000 42.58 35 1.770365e-01
4.4000 43.00 35 1.660872e-01
4.5000 43.40 35 1.558229e-01
4.6000 43.80 35 1.461975e-01
4.7000 44.19 35 1.371564e-01
4.8000 44.57 35 1.288009e-01
4.9000 44.95 35 1.210101e-01
5.0000 45.31 35 1.137549e-01
5.1000 45.66 35 1.071215e-01
5.2000 46.00 35 1.010158e-01
5.3000 46.33 35 9.528702e-02
5.4000 46.65 35 9.012857e-02
5.5000 46.96 35 8.530621e-02
5.6000 47.25 35 8.094249e-02
5.7000 47.52 35 7.695898e-02
5.8000 47.79 35 7.327112e-02
5.9000 48.04 35 6.995650e-02
6.0000 48.28 35 6.690596e-02
6.1000 48.50 35 6.416243e-02
6.2000 48.71 35 6.167863e-02
6.3000 48.91 35 5.937888e-02
6.4000 49.09 35 5.733420e-02
6.5000 49.27 35 5.547998e-02
6.6000 49.43 35 5.378959e-02
6.7000 49.57 35 5.227937e-02
6.8000 49.71 35 5.090074e-02
6.9000 49.84 35 4.967081e-02
7.0000 49.95 35 4.857215e-02
7.1000 50.06 35 4.757199e-02
7.2000 50.15 35 4.668403e-02
7.3000 50.24 35 4.589847e-02
7.4000 50.32 35 4.519951e-02
7.5000 50.39 35 4.457703e-02
7.6000 50.45 35 4.402703e-02
7.7000 50.50 35 4.354449e-02
7.8000 50.55 35 4.311941e-02
7.9000 50.60 35 4.274305e-02
8.0000 50.63 35 4.242419e-02
8.1000 50.67 35 4.214451e-02
8.2000 50.70 35 4.190544e-02
8.3000 50.72 35 4.169333e-02
8.4000 50.74 35 4.151266e-02
8.5000 50.76 35 4.135847e-02
8.6000 50.78 35 4.122582e-02
8.7000 50.79 35 4.110985e-02
8.8000 50.80 35 4.101896e-02
8.9000 50.81 35 4.094222e-02
9.0000 50.82 35 4.087932e-02
9.1000 50.83 35 4.082688e-02
9.2000 50.83 35 4.079076e-02
9.3000 50.83 35 4.076220e-02
9.4000 50.84 35 4.074058e-02
9.5000 50.84 35 4.072618e-02
9.6000 50.84 35 4.071749e-02
9.7000 50.84 35 4.071221e-02
9.8000 50.84 35 4.070936e-02
9.9000 50.84 35 4.070843e-02
10.0000 50.84 35 4.070843e-02
10.1000 50.84 35 4.070843e-02
10.2000 50.84 35 4.070843e-02
10.3000 50.84 35 4.070843e-02
10.4000 50.84 35 4.070843e-02
10.5000 50.84 35 4.070843e-02
10.6000 50.84 35 4.070843e-02
10.7000 50.84 35 4.070843e-02
10.8000 50.84 35 4.070843e-02
10.9000 50.84 35 4.070843e-02
11.0000 50.84 35 4.070843e-02
11.1000 50.84 35 4.070843e-02
11.2000 50.84 35 4.070843e-02
11.3000 50.84 35 4.070843e-02
11.4000 50.84 35 4.070843e-02
11.5000 50.84 35 4.070843e-02
11.6000 50.84 35 4.070843e-02
11.7000 50.84 35 4.070843e-02
11.8000 50.84 35 4.070843e-02
11.9000 50.84 35 4.070843e-02
12.0000 50.84 35 4.070843e-02
12.1000 50.84 35 4.070843e-02
12.2000 50.84 35 4.070843e-02
12.3000 50.84 35 4.070843e-02
12.4000 50.84 35 4.070843e-02
12.5000 50.84 35 4.070843e-02
12.6000 50.84 35 4.070843e-02
12.7000 50.84 35 4.070843e-02
12.8000 50.84 35 4.070843e-02
12.9000 50.84 35 4.070843e-02
13.0000 50.84 35 4.070843e-02
13.1000 50.84 35 4.070843e-02
13.2000 50.84 35 4.070843e-02
13.3000 50.84 35 4.070843e-02
13.4000 50.84 35 4.070843e-02
13.5000 50.84 35 4.070843e-02
13.6000 50.84 35 4.070843e-02
13.7000 50.84 35 4.070843e-02
13.8000 50.84 35 4.070843e-02
13.9000 50.84 35 4.070843e-02
14.0000 50.84 35 4.070843e-02
14.1000 50.84 35 4.070843e-02
14.2000 50.84 35 4.070843e-02
14.3000 50.84 35 4.070843e-02
14.4000 50.84 35 4.070843e-02
14.5000 50.84 35 4.070843e-02
14.6000 50.84 35 4.070843e-02
14.7000 50.84 35 4.070843e-02
14.8000 50.84 35 4.070843e-02
14.9000 50.84 35 4.070843e-02
15.0000 50.84 35 4.070843e-02
