Angle;Time_h;Substraction;Significance
0;4.90679;-1.17411;-1.75269
1;7.52272;0.102247;0.152634
2;8.59388;-0.245536;-0.366535
3;8.6343;-1.76734;-2.63827
4;8.55974;-0.817148;-1.21983
5;8.61181;0.2102;0.313785
6;8.59832;-0.366284;-0.546786
7;8.59929;1.14403;1.7078
8;8.5626;0.229148;0.34207
9;8.6406;-0.0379481;-0.0566485
10;8.58424;-0.597623;-0.892126
11;8.61222;-0.956376;-1.42767
12;8.55511;0.814165;1.21538
13;8.63012;0.543187;0.810865
14;8.61333;0.782794;1.16855
15;8.58174;0.681813;1.0178
16;8.6066;-0.14472;-0.216036
17;8.59247;-0.0234834;-0.0350557
18;8.6286;-0.734981;-1.09717
19;8.55634;-0.0106634;-0.0159183
20;8.50335;-0.342506;-0.511289
21;8.50252;-0.461965;-0.689617
22;8.47686;1.78619;2.66641
23;8.52077;-0.357846;-0.534189
24;8.49669;0.000349783;0.000522153
25;8.50784;-0.00935689;-0.0139679
26;8.49524;-0.833636;-1.24444
27;8.47916;-0.952821;-1.42236
28;8.49781;-0.0247297;-0.0369162
29;8.52548;1.24556;1.85936
30;8.4608;-0.498445;-0.744074
31;8.53693;-1.12206;-1.67501
32;8.54379;0.504457;0.753049
33;8.55407;0.840035;1.254
34;8.57848;-0.464959;-0.694086
35;8.49889;0.0268268;0.0400468
36;8.58168;-0.484735;-0.723608
37;8.55583;-0.950927;-1.41954
38;8.5423;-0.603133;-0.900352
39;8.57116;1.01279;1.51188
40;8.49509;-0.244903;-0.365589
41;8.59113;1.57353;2.34896
42;8.55759;1.00681;1.50296
43;8.55898;-0.398672;-0.595133
44;8.53725;1.48207;2.21243
45;8.54503;-0.0458545;-0.0684511
46;8.59113;1.32928;1.98434
47;8.50865;0.437468;0.653048
48;8.57554;-0.179493;-0.267945
49;8.52056;0.782598;1.16825
50;8.54716;-0.752288;-1.12301
51;8.57078;-0.293509;-0.438148
52;8.55202;-0.986767;-1.47304
53;8.53863;1.12667;1.68188
54;8.53109;-0.156846;-0.234138
55;8.58396;-1.2254;-1.82926
56;8.53356;-0.269786;-0.402734
57;8.55213;-0.273533;-0.408327
58;8.57227;0.539721;0.805691
59;8.51581;-1.18736;-1.77248
60;8.53444;0.218956;0.326855
61;8.57306;-0.259945;-0.388044
62;8.57084;-0.486867;-0.726791
63;8.52478;1.29583;1.9344
64;8.55468;-0.586921;-0.876151
65;8.53016;-0.10429;-0.155683
66;8.58535;-0.00687823;-0.0102678
67;8.53891;-0.685285;-1.02299
68;8.52595;-1.02876;-1.53572
69;8.56344;0.246993;0.368709
70;8.56606;1.18191;1.76435
71;8.55133;-0.562215;-0.83927
72;8.54662;-1.49505;-2.23179
73;8.53673;-0.436848;-0.652123
74;8.55679;-0.326749;-0.487768
75;8.54632;0.380074;0.567372
76;8.54396;-0.320726;-0.478777
77;8.55176;1.07924;1.61108
78;8.572;1.41693;2.11517
79;8.53013;0.619533;0.924833
80;8.51862;1.20971;1.80584
81;8.48145;0.756906;1.1299
82;8.41197;-0.397749;-0.593756
83;8.43998;0.417412;0.623108
84;8.486;-1.14057;-1.70263
85;8.42545;1.01062;1.50864
86;8.45458;-0.665644;-0.993668
87;8.45037;-0.194776;-0.29076
88;8.48486;-1.038;-1.54951
89;8.39551;0.0595989;0.0889687
90;8.48399;-0.336094;-0.501717
