Angle;Time_h;Substraction;Significance
1;41.6667;-0.0174092;-0.043523
6;41.6667;-0.0174952;-0.0437381
11;41.6667;-0.0176121;-0.0440303
16;41.6667;-0.017759;-0.0443976
21;41.6667;-0.0179288;-0.0448221
26;41.6667;-0.0180559;-0.0451397
31;41.6667;-0.0180851;-0.0452128
36;41.6667;-0.0180653;-0.0451632
41;41.6667;-0.0180022;-0.0450055
46;41.6667;-0.0178975;-0.0447439
51;41.6667;-0.0178878;-0.0447196
56;41.6667;-0.0180328;-0.045082
61;41.6667;-0.0181705;-0.0454263
66;41.6667;-0.0182;-0.0454999
71;41.6667;-0.0182078;-0.0455195
76;41.6667;-0.0182332;-0.0455829
81;41.6667;-0.018268;-0.04567
86;41.6667;-0.0182957;-0.0457393
91;41.6667;-0.0157892;-0.0394731
96;41.6667;0.00344568;0.0086142
101;41.6667;0.0476101;0.119025
106;41.6667;0.0971355;0.242839
111;41.6667;0.124094;0.310235
116;41.6667;0.118647;0.296618
121;41.6667;0.0825289;0.206322
126;41.6667;0.0310267;0.0775669
131;41.6667;-0.00589267;-0.0147317
136;41.6667;-0.0181524;-0.045381
141;41.6667;-0.0184118;-0.0460295
146;41.6667;-0.0179234;-0.0448086
151;41.6667;-0.0176749;-0.0441873
156;41.6667;-0.017535;-0.0438374
161;41.6667;-0.0174242;-0.0435605
166;41.6667;-0.0173604;-0.0434011
171;41.6667;-0.0173509;-0.0433774
176;41.6667;-0.0173671;-0.0434178
