Angle;Time_h;Substraction;Significance
1;41.6667;-0.0100961;-0.0252401
6;41.6667;-0.0102301;-0.0255752
11;41.6667;-0.0102987;-0.0257467
16;41.6667;-0.010251;-0.0256274
21;41.6667;-0.0102209;-0.0255523
26;41.6667;-0.0102846;-0.0257114
31;41.6667;-0.0103259;-0.0258146
36;41.6667;-0.0102592;-0.025648
41;41.6667;-0.0101436;-0.025359
46;41.6667;-0.0100713;-0.0251782
51;41.6667;-0.0100588;-0.025147
56;41.6667;-0.0100632;-0.0251581
61;41.6667;-0.0100582;-0.0251456
66;41.6667;-0.0100611;-0.0251528
71;41.6667;-0.010101;-0.0252524
76;41.6667;-0.0101906;-0.0254765
81;41.6667;-0.0103608;-0.0259021
86;41.6667;-0.0105804;-0.026451
91;41.6667;-0.0107322;-0.0268305
96;41.6667;-0.0107686;-0.0269215
101;41.6667;-0.0107801;-0.0269502
106;41.6667;-0.0108149;-0.0270373
111;41.6667;-0.0103474;-0.0258685
116;41.6667;0.00161347;0.00403368
121;41.6667;0.0401427;0.100357
126;41.6667;0.0898856;0.224714
131;41.6667;0.100015;0.250039
136;41.6667;0.0594863;0.148716
141;41.6667;0.0128631;0.0321577
146;41.6667;-0.00751469;-0.0187867
151;41.6667;-0.00982262;-0.0245566
156;41.6667;-0.00986446;-0.0246611
161;41.6667;-0.00989664;-0.0247416
166;41.6667;-0.00990302;-0.0247576
171;41.6667;-0.0099211;-0.0248027
176;41.6667;-0.00998537;-0.0249634
