Angle;Time_Minutes;Counts_34f
1;506.784;18
2;796.446;43
3;924.573;45
4;925.945;25
5;920.971;37
6;925.694;53
7;923.335;44
8;926.173;61
9;923.218;50
10;927.568;50
11;925.941;41
12;929.784;28
13;922.642;58
14;929.361;50
15;929.924;59
16;924.641;54
17;927.361;46
18;927.346;49
19;926.338;46
20;925.041;45
21;918.492;52
22;916.185;42
23;916.513;62
24;921.527;42
25;917.093;42
26;918.519;53
27;918.723;42
28;914.486;33
29;917.538;38
30;919.906;59
31;914.83;45
32;920.754;35
33;922.159;49
34;918.056;62
35;924.849;40
36;915.654;49
37;924.769;46
38;920.056;40
39;921.008;45
40;922.727;60
41;918.268;43
42;924.612;64
43;921.847;58
44;919.712;44
45;920.032;76
46;920.254;49
47;924.799;64
48;916.354;61
49;922.173;47
50;921.658;48
51;920.709;45
52;923.011;40
53;919.865;38
54;922.121;58
55;919.611;51
56;920.635;35
57;921.398;49
58;920.494;46
59;922.289;61
60;919.954;39
61;919.203;56
62;923.048;44
63;927.071;48
64;921.214;68
65;923.61;42
66;923.013;45
67;925.3;53
68;924.595;41
69;921.386;39
70;924.922;48
71;924.615;69
72;924.694;47
73;923.817;37
74;923.46;48
75;922.222;48
76;926.271;51
77;919.238;50
78;926.047;57
79;926.997;69
80;920.654;61
81;924.363;65
82;914.914;51
83;913.608;37
84;912.462;57
85;920.226;36
86;911.785;60
87;918.024;45
88;912.264;52
89;918.157;38
90;912.525;42
91;916.179;45
92;913.078;36
93;915.146;43
94;915.863;47
95;916.66;50
96;915.796;37
97;913.884;57
98;908.47;65
99;917.903;60
100;918.045;35
101;914.154;37
102;913.683;39
103;915.323;38
104;913.48;39
105;915.399;36
106;915.225;54
107;917.668;48
108;918.169;38
109;913.657;32
110;912.797;51
111;916.304;46
112;913.517;39
113;913.602;50
114;915.459;56
115;915.349;49
116;917.54;49
117;912.709;34
118;913.764;46
119;915.157;42
120;914.401;48
121;909.615;62
122;907.629;80
123;900.35;53
124;901.127;42
125;898.572;66
126;900.311;64
127;901.029;48
128;900.233;37
129;904.508;43
130;904.237;53
131;901.303;63
132;1429.69;78
133;906.96;37
134;909.081;47
135;908.249;58
136;904.658;50
137;907.808;60
138;906.102;67
139;906.557;42
140;905.336;52
141;908.709;39
142;917.354;46
143;915.761;68
144;913.092;52
145;918.026;41
146;914.593;49
147;916.883;51
148;912.113;54
149;914.823;61
150;915.097;41
151;914.831;60
152;916.082;59
153;914.814;59
154;917.65;44
155;915.253;61
156;910.032;55
157;917.879;39
158;912.352;34
159;917.005;65
160;911.997;48
161;915.656;63
162;914.735;59
163;918.097;53
164;913.718;62
165;916.431;38
166;913.718;44
167;915.631;51
168;917.122;46
169;909.427;52
170;916.895;41
171;916.272;65
172;917.414;49
173;909.539;49
174;924.647;36
175;923.654;36
176;916.763;57
177;921.045;43
178;914.523;40
179;787.482;36
180;484.16;25
