Angle;Time_Minutes;Counts
1;53.6594;2
2;79.7138;1
3;100.745;3
4;97.9185;4
5;98.698;4
6;99.2442;1
7;99.8042;0
8;98.6861;4
9;100.85;7
10;98.4952;3
11;98.7565;3
12;97.8395;1
13;99.2883;2
14;98.6982;3
15;98.3028;3
16;99.664;8
17;97.431;2
18;96.4926;1
19;94.4532;2
20;95.7194;1
21;98.0971;4
22;95.4694;1
23;97.1184;5
24;95.6239;0
25;94.9847;1
26;96.1499;2
27;95.3635;4
28;97.7373;4
29;95.4892;3
30;96.0719;2
31;96.4237;2
32;95.2728;0
33;96.2425;1
34;96.5844;2
35;94.8091;3
36;95.7217;4
37;97.2048;1
38;95.6704;3
39;95.7542;0
40;96.3572;1
41;95.845;2
42;96.3338;2
43;95.7803;2
44;96.6089;1
45;94.2582;2
46;97.6832;2
47;94.889;2
48;95.2556;4
49;97.0528;2
50;95.1705;4
51;97.1022;2
52;95.5855;1
53;96.5456;4
54;96.7024;2
55;93.472;3
56;97.0235;3
57;96.1257;3
58;96.238;3
59;96.0368;0
60;96.55;4
61;95.4399;2
62;95.1705;2
63;96.059;3
64;96.1491;5
65;95.8968;2
66;97.3745;1
67;94.1872;2
68;96.8238;4
69;96.1829;4
70;97.0893;1
71;94.7229;1
72;96.4659;3
73;95.859;6
74;95.7653;3
75;95.7443;1
76;96.658;2
77;95.1449;1
78;96.9027;4
79;96.1802;0
80;94.7804;1
81;97.6124;2
82;96.2446;2
83;93.955;6
84;97.0238;2
85;95.7254;4
86;94.5204;4
87;96.8232;0
88;96.8186;4
89;96.5238;5
90;94.7376;5
91;96.9324;1
92;96.2339;2
93;94.8621;2
94;95.8097;2
95;95.7745;5
96;96.5837;2
97;96.332;2
98;94.3263;2
99;97.9836;1
100;95.9035;2
101;95.899;0
102;96.182;1
103;95.4218;3
104;96.2662;4
105;96.2109;1
106;96.3505;2
107;95.5414;2
108;95.783;5
109;97.5537;1
110;95.4931;6
111;95.5408;0
112;95.0443;2
113;97.373;0
114;95.6718;2
115;95.4868;2
116;96.5651;0
117;95.493;3
118;96.2213;3
119;96.4736;2
120;97.3233;5
121;94.1685;3
122;94.4755;4
123;98.095;2
124;95.6295;0
125;95.7761;2
126;94.4049;3
127;96.6313;2
128;96.7401;1
129;95.6712;0
130;96.5183;4
131;95.9231;2
132;97.0164;3
133;95.5213;4
134;95.1673;4
135;96.6842;2
136;95.0606;3
137;95.7739;0
138;96.898;2
139;96.1384;1
140;96.4158;3
141;95.6333;5
142;95.8109;2
143;95.4927;2
144;97.352;7
145;96.085;2
146;94.7928;2
147;96.3518;5
148;96.3083;5
149;94.7207;3
150;96.5047;3
151;95.5254;1
152;96.8761;4
153;95.362;3
154;96.6086;3
155;96.7034;2
156;95.3038;2
157;96.7911;4
158;94.2882;1
159;96.7288;2
160;95.5966;6
161;96.759;2
162;95.9569;2
163;95.7184;3
164;96.3955;4
165;95.6004;3
166;96.9893;4
167;95.373;1
168;96.5642;5
169;94.5353;2
170;98.1582;1
171;94.8474;2
172;95.8826;4
173;95.2278;1
174;97.6658;4
175;95.5562;4
176;96.35;4
177;95.9496;2
178;94.6456;1
179;80.7526;3
180;49.34;2
